original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
11,26,Local-gov,Prof-school,15,Never-married,Protective-serv,Wife,White,Male,0,115,47,United-States,0,1
25,24,Self-emp-inc,7th-8th,15,Separated,Protective-serv,Own-child,White,Female,12099,1816,69,Cuba,1,0
25,24,Self-emp-inc,7th-8th,15,Separated,Protective-serv,Own-child,Asian-Pac-Islander,Female,12099,1816,69,Cuba,1,0
26,26,Without-pay,Doctorate,13,Married-AF-spouse,Armed-Forces,Unmarried,Other,Female,12099,1828,1,Cuba,1,0
33,26,Never-worked,Bachelors,9,Widowed,Sales,Wife,White,Female,4386,2200,42,Jamaica,1,0
48,24,State-gov,12th,13,Married-civ-spouse,Craft-repair,Unmarried,White,Male,4386,1816,47,Jamaica,0,1
49,29,Federal-gov,Bachelors,15,Married-spouse-absent,Transport-moving,Other-relative,White,Female,12099,1828,47,India,1,0
49,29,Federal-gov,Bachelors,15,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Female,12099,1828,47,India,1,0
51,37,Self-emp-not-inc,11th,9,Divorced,Machine-op-inspct,Wife,Black,Male,12099,2200,51,India,0,1
51,37,Self-emp-not-inc,11th,9,Divorced,Machine-op-inspct,Wife,White,Male,12099,2200,51,India,0,1
52,90,Local-gov,Masters,11,Widowed,Tech-support,Not-in-family,White,Female,3103,1816,6,India,1,0
52,90,Local-gov,Masters,11,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander,Female,3103,1816,6,India,1,0
54,22,Never-worked,Some-college,14,Married-AF-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,3103,1587,35,India,0,1
72,29,Self-emp-inc,Assoc-voc,13,Married-AF-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,3103,2200,69,Mexico,0,1
72,29,Self-emp-inc,Assoc-voc,13,Married-AF-spouse,Handlers-cleaners,Not-in-family,White,Male,3103,2200,69,Mexico,0,1
96,34,Local-gov,12th,15,Married-AF-spouse,Armed-Forces,Not-in-family,White,Female,12099,2462,42,South,1,0
96,34,Local-gov,12th,15,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,12099,2462,42,South,1,0
98,17,State-gov,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,3103,1828,69,Puerto-Rico,0,1
103,34,Local-gov,Assoc-acdm,15,Married-civ-spouse,Sales,Other-relative,White,Male,3820,1894,47,Puerto-Rico,0,1
108,24,Never-worked,5th-6th,8,Married-AF-spouse,Tech-support,Unmarried,Black,Male,12099,1587,47,Puerto-Rico,0,1
108,24,Never-worked,5th-6th,8,Married-AF-spouse,Tech-support,Unmarried,White,Female,12099,1587,47,Puerto-Rico,0,1
108,24,Never-worked,5th-6th,8,Married-AF-spouse,Tech-support,Unmarried,White,Male,12099,1587,47,Puerto-Rico,0,1
112,90,Federal-gov,12th,15,Widowed,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,4386,1564,35,Puerto-Rico,0,1
112,90,Federal-gov,12th,15,Widowed,Adm-clerical,Husband,White,Male,4386,1564,35,Puerto-Rico,0,1
115,24,State-gov,11th,15,Married-AF-spouse,Other-service,Wife,Black,Male,3820,2462,69,Honduras,0,1
115,24,State-gov,11th,15,Married-AF-spouse,Other-service,Wife,White,Female,3820,2462,69,Honduras,0,1
115,24,State-gov,11th,15,Married-AF-spouse,Other-service,Wife,White,Male,3820,2462,69,Honduras,0,1
131,26,Federal-gov,11th,14,Married-civ-spouse,Craft-repair,Husband,White,Male,3820,1816,6,England,0,1
135,90,Never-worked,Assoc-acdm,14,Divorced,Tech-support,Unmarried,White,Female,0,115,47,England,1,0
135,90,Never-worked,Assoc-acdm,14,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Female,0,115,47,England,1,0
136,22,Self-emp-not-inc,Assoc-voc,9,Married-civ-spouse,Protective-serv,Other-relative,White,Male,12099,1587,6,England,0,1
166,37,Local-gov,Some-college,9,Divorced,Priv-house-serv,Wife,White,Male,12099,1564,35,Germany,0,1
176,34,Private,12th,15,Widowed,Machine-op-inspct,Wife,White,Female,3103,1587,42,Germany,1,0
176,34,Private,12th,15,Widowed,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,3103,1587,42,Germany,1,0
199,17,Self-emp-not-inc,Assoc-acdm,11,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,3820,1816,69,Philippines,1,0
200,22,Private,Assoc-voc,14,Married-spouse-absent,Sales,Wife,White,Male,3103,1587,42,Philippines,0,1
217,29,Federal-gov,7th-8th,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,4386,1587,39,Italy,0,1
230,37,Never-worked,Some-college,9,Divorced,Transport-moving,Wife,White,Female,4386,1564,47,Poland,1,0
230,37,Never-worked,Some-college,9,Divorced,Transport-moving,Wife,Amer-Indian-Eskimo,Female,4386,1564,47,Poland,1,0
231,17,Self-emp-not-inc,Assoc-acdm,11,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,12099,1816,69,Poland,1,0
239,26,Private,Preschool,9,Married-AF-spouse,Machine-op-inspct,Wife,Black,Male,4386,1564,42,Poland,0,1
239,26,Private,Preschool,9,Married-AF-spouse,Machine-op-inspct,Wife,White,Male,4386,1564,42,Poland,0,1
240,24,Federal-gov,12th,13,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,3103,1816,51,Poland,0,1
