original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
11,26,Local-gov,Prof-school,15,Never-married,Protective-serv,Wife,Asian-Pac-Islander,Male,0,115,47,United-States,0,1
11,26,Local-gov,Prof-school,15,Never-married,Protective-serv,Wife,White,Male,0,115,47,United-States,0,1
23,17,Federal-gov,Assoc-acdm,13,Divorced,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,3103,2462,69,Cuba,0,1
23,17,Federal-gov,Assoc-acdm,13,Divorced,Machine-op-inspct,Wife,White,Female,3103,2462,69,Cuba,0,1
23,17,Federal-gov,Assoc-acdm,13,Divorced,Machine-op-inspct,Wife,White,Male,3103,2462,69,Cuba,0,1
35,34,Local-gov,11th,8,Separated,Transport-moving,Not-in-family,Black,Female,12099,1587,35,Jamaica,1,0
37,90,Without-pay,9th,8,Married-civ-spouse,Machine-op-inspct,Own-child,Other,Male,3820,1564,39,Jamaica,0,1
37,90,Without-pay,9th,8,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,3820,1564,39,Jamaica,0,1
39,22,Private,Assoc-acdm,11,Widowed,Protective-serv,Unmarried,White,Male,3103,1828,51,Jamaica,0,1
44,37,Local-gov,5th-6th,14,Divorced,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,4386,1828,69,Jamaica,0,1
44,37,Local-gov,5th-6th,14,Divorced,Handlers-cleaners,Husband,White,Female,4386,1828,69,Jamaica,0,1
44,37,Local-gov,5th-6th,14,Divorced,Handlers-cleaners,Husband,White,Male,4386,1828,69,Jamaica,0,1
60,90,Federal-gov,5th-6th,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,3820,2462,35,India,0,1
60,90,Federal-gov,5th-6th,9,Married-civ-spouse,Other-service,Wife,White,Male,3820,2462,35,India,0,1
67,90,Never-worked,11th,14,Married-AF-spouse,Protective-serv,Not-in-family,White,Female,3103,1894,42,Mexico,1,0
67,90,Never-worked,11th,14,Married-AF-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,3103,1894,42,Mexico,1,0
71,26,Self-emp-not-inc,Assoc-acdm,15,Married-civ-spouse,Exec-managerial,Own-child,Other,Female,4386,1564,42,Mexico,1,0
