original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
41,26,State-gov,7th-8th,14,Separated,Priv-house-serv,Husband,Asian-Pac-Islander,Male,3820,2462,51,Jamaica,0,1
41,26,State-gov,7th-8th,14,Separated,Priv-house-serv,Husband,White,Male,3820,2462,51,Jamaica,0,1
98,17,State-gov,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,3103,1828,69,Puerto-Rico,0,1
98,17,State-gov,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,White,Female,3103,1828,69,Puerto-Rico,0,1
98,17,State-gov,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,3103,1828,69,Puerto-Rico,0,1
100,24,Never-worked,Masters,1,Separated,Handlers-cleaners,Own-child,White,Female,12099,2462,35,Puerto-Rico,1,0
100,24,Never-worked,Masters,1,Separated,Handlers-cleaners,Own-child,Black,Female,12099,2462,35,Puerto-Rico,1,0
106,17,Self-emp-inc,Doctorate,14,Married-civ-spouse,Farming-fishing,Other-relative,White,Female,3103,2462,39,Puerto-Rico,1,0
115,24,State-gov,11th,15,Married-AF-spouse,Other-service,Wife,Asian-Pac-Islander,Male,3820,2462,69,Honduras,1,0
170,90,Without-pay,Doctorate,15,Married-AF-spouse,Prof-specialty,Wife,White,Female,0,115,42,Germany,1,0
195,26,Local-gov,11th,13,Separated,Adm-clerical,Own-child,Other,Male,12099,1894,6,Philippines,0,1
195,26,Local-gov,11th,13,Separated,Adm-clerical,Own-child,White,Female,12099,1894,6,Philippines,0,1
195,26,Local-gov,11th,13,Separated,Adm-clerical,Own-child,White,Male,12099,1894,6,Philippines,0,1
196,29,Self-emp-inc,Masters,15,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,3820,2200,35,Philippines,1,0
196,29,Self-emp-inc,Masters,15,Married-AF-spouse,Exec-managerial,Unmarried,Other,Female,3820,2200,35,Philippines,1,0
205,24,Self-emp-inc,10th,14,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Male,3820,2462,1,Philippines,1,0
207,37,State-gov,Preschool,14,Married-spouse-absent,Armed-Forces,Wife,White,Female,3820,1894,51,Philippines,0,1
212,90,Private,Masters,15,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,3820,2200,35,Italy,1,0
212,90,Private,Masters,15,Married-AF-spouse,Prof-specialty,Wife,White,Male,3820,2200,35,Italy,1,0
215,34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Male,3820,1816,69,Italy,1,0
215,34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Wife,White,Male,3820,1816,69,Italy,1,0
233,90,Self-emp-not-inc,7th-8th,15,Divorced,Tech-support,Other-relative,White,Female,3820,2462,1,Poland,1,0
233,90,Self-emp-not-inc,7th-8th,15,Divorced,Tech-support,Other-relative,Asian-Pac-Islander,Female,3820,2462,1,Poland,1,0
267,90,Self-emp-inc,Prof-school,15,Separated,Armed-Forces,Wife,White,Female,3820,1564,39,Cambodia,1,0
267,90,Self-emp-inc,Prof-school,15,Separated,Armed-Forces,Wife,Black,Female,3820,1564,39,Cambodia,1,0
315,26,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,3103,2462,69,Laos,0,1
315,26,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Armed-Forces,Other-relative,White,Male,3103,2462,69,Laos,0,1
379,17,Federal-gov,Prof-school,1,Widowed,Armed-Forces,Own-child,Black,Male,12099,2200,42,Dominican-Republic,1,0
379,17,Federal-gov,Prof-school,1,Widowed,Armed-Forces,Own-child,White,Male,12099,2200,42,Dominican-Republic,1,0
404,90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Black,Male,3820,2200,35,France,0,1
404,90,Private,Masters,15,Married-AF-spouse,Sales,Wife,White,Male,3820,2200,35,France,0,1
410,90,Never-worked,Doctorate,14,Separated,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,3103,1894,47,France,0,1
410,90,Never-worked,Doctorate,14,Separated,Protective-serv,Not-in-family,White,Female,3103,1894,47,France,0,1
410,90,Never-worked,Doctorate,14,Separated,Protective-serv,Not-in-family,White,Male,3103,1894,47,France,0,1
