original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
10,24,Federal-gov,Doctorate,14,Widowed,Tech-support,Husband,White,Female,0,115,42,United-States,1,0
10,24,Federal-gov,Doctorate,14,Widowed,Tech-support,Husband,Asian-Pac-Islander,Female,0,115,42,United-States,1,0
33,26,Never-worked,Bachelors,9,Widowed,Sales,Wife,White,Male,4386,2200,42,Jamaica,0,1
45,90,Self-emp-inc,10th,15,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,12099,1894,1,Jamaica,0,1
45,90,Self-emp-inc,10th,15,Divorced,Prof-specialty,Wife,White,Female,12099,1894,1,Jamaica,0,1
45,90,Self-emp-inc,10th,15,Divorced,Prof-specialty,Wife,White,Male,12099,1894,1,Jamaica,0,1
59,37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,Black,Male,4386,1587,42,India,0,1
59,37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,White,Male,4386,1587,42,India,0,1
85,24,Never-worked,9th,11,Married-AF-spouse,Exec-managerial,Wife,Other,Male,4386,2200,69,South,0,1
85,24,Never-worked,9th,11,Married-AF-spouse,Exec-managerial,Wife,White,Male,4386,2200,69,South,0,1
132,29,Self-emp-inc,Masters,15,Never-married,Transport-moving,Wife,White,Male,3103,1564,69,England,0,1
139,90,Self-emp-inc,Prof-school,9,Divorced,Adm-clerical,Wife,Black,Male,3820,1816,39,England,0,1
139,90,Self-emp-inc,Prof-school,9,Divorced,Adm-clerical,Wife,White,Female,3820,1816,39,England,0,1
139,90,Self-emp-inc,Prof-school,9,Divorced,Adm-clerical,Wife,White,Male,3820,1816,39,England,0,1
154,34,Private,Doctorate,13,Married-AF-spouse,Exec-managerial,Own-child,White,Male,3103,1587,69,Canada,0,1
196,29,Self-emp-inc,Masters,15,Married-AF-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,3820,2200,35,Philippines,1,0
198,37,Never-worked,Some-college,9,Divorced,Prof-specialty,Wife,White,Male,12099,1564,47,Philippines,0,1
199,17,Self-emp-not-inc,Assoc-acdm,11,Married-civ-spouse,Other-service,Wife,White,Male,3820,1816,69,Philippines,0,1
219,37,State-gov,Prof-school,15,Married-civ-spouse,Tech-support,Other-relative,Other,Female,4386,1828,6,Italy,1,0
253,17,Self-emp-inc,10th,15,Married-civ-spouse,Adm-clerical,Wife,White,Male,3103,1816,35,Columbia,0,1
260,29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,White,Male,3820,2200,35,Cambodia,0,1
300,90,Federal-gov,5th-6th,13,Married-civ-spouse,Priv-house-serv,Other-relative,White,Male,4386,2200,35,Ecuador,0,1
315,26,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Armed-Forces,Other-relative,Black,Male,3103,2462,69,Laos,0,1
315,26,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Armed-Forces,Other-relative,White,Female,3103,2462,69,Laos,0,1
315,26,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Armed-Forces,Other-relative,White,Male,3103,2462,69,Laos,0,1
331,26,State-gov,Prof-school,15,Separated,Armed-Forces,Wife,White,Male,3820,1564,51,Taiwan,0,1
377,22,Private,7th-8th,11,Married-civ-spouse,Tech-support,Wife,White,Male,4386,115,42,Dominican-Republic,0,1
394,24,Self-emp-inc,Doctorate,11,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,4386,1816,51,El-Salvador,1,0
394,24,Self-emp-inc,Doctorate,11,Married-civ-spouse,Protective-serv,Not-in-family,Black,Female,4386,1816,51,El-Salvador,1,0
407,34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Farming-fishing,Wife,Black,Female,12099,1816,69,France,1,0
452,29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,White,Male,3820,2200,35,Japan,0,1
503,34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Farming-fishing,Wife,White,Male,4386,1816,69,Outlying-US(Guam-USVI-etc),0,1
535,34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Farming-fishing,Wife,White,Female,12099,1816,69,Trinadad&Tobago,1,0
535,34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Farming-fishing,Wife,Asian-Pac-Islander,Female,12099,1816,69,Trinadad&Tobago,1,0
542,22,State-gov,1st-4th,15,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,4386,1894,35,Trinadad&Tobago,0,1
542,22,State-gov,1st-4th,15,Divorced,Exec-managerial,Wife,White,Male,4386,1894,35,Trinadad&Tobago,0,1
556,29,Self-emp-inc,5th-6th,13,Married-civ-spouse,Priv-house-serv,Husband,White,Male,3103,2462,47,Greece,0,1
558,90,Federal-gov,1st-4th,13,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,4386,1587,35,Greece,0,1
558,90,Federal-gov,1st-4th,13,Never-married,Exec-managerial,Husband,White,Male,4386,1587,35,Greece,0,1
590,29,Self-emp-inc,1st-4th,14,Divorced,Exec-managerial,Wife,Other,Female,12099,1587,35,Vietnam,1,0
620,90,Self-emp-inc,5th-6th,14,Divorced,Priv-house-serv,Wife,White,Male,3820,2200,39,Ireland,0,1
633,24,Never-worked,7th-8th,14,Married-civ-spouse,Tech-support,Other-relative,White,Male,3103,2462,69,Hungary,0,1
