original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
6,52,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,1,0
6,52,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,1,0
6,52,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States,1,0
13,32,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,59,United-States,1,0
13,32,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,59,United-States,1,0
17,47,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,0,50,United-States,1,0
17,47,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,50,United-States,1,0
31,36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,1
42,66,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,2501,0,40,United-States,1,0
42,66,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,2501,0,40,United-States,1,0
43,51,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,2514,0,40,United-States,1,0
43,51,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Female,2514,0,40,United-States,1,0
44,34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Female,4299,0,40,United-States,1,0
44,34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Female,4299,0,40,United-States,1,0
44,34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,4299,0,40,United-States,1,0
50,35,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,0,1
50,35,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,40,United-States,0,1
59,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,44,United-States,0,1
59,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,44,United-States,0,1
59,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,44,United-States,0,1
75,57,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,0,1961,24,United-States,1,0
75,57,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Husband,Other,Female,0,1961,24,United-States,1,0
85,43,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,50,United-States,1,0
85,43,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,0,0,50,United-States,1,0
85,43,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Other,Male,0,0,50,United-States,1,0
89,24,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,57,United-States,1,0
93,36,State-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,57,United-States,1,0
93,36,State-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,0,0,57,United-States,1,0
93,36,State-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,57,United-States,1,0
94,37,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,1,0
94,37,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,40,United-States,1,0
94,37,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,0
97,32,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,40,United-States,0,1
97,32,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,1
101,56,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,58,United-States,0,1
101,56,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,58,United-States,0,1
101,56,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,58,United-States,0,1
115,35,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,1,0
