original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
4,22,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,59,United-States,0,1
6,41,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,6174,0,40,United-States,1,0
6,41,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Other,Female,6174,0,40,United-States,1,0
9,50,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,59,United-States,1,0
9,50,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,59,United-States,1,0
15,58,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,5823,0,40,United-States,1,0
15,58,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Female,5823,0,40,United-States,1,0
23,26,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,4735,0,40,United-States,0,1
26,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,59,United-States,1,0
26,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,Other,Female,0,0,59,United-States,1,0
26,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,0,0,59,United-States,1,0
33,30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,59,United-States,1,0
34,53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,60,United-States,1,0
36,42,Federal-gov,Prof-school,15,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,0,1
36,42,Federal-gov,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,1
40,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Female,3119,0,45,United-States,1,0
42,30,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,56,United-States,1,0
42,30,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,56,United-States,1,0
45,29,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,2230,40,United-States,0,1
48,26,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,45,United-States,1,0
48,26,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,45,United-States,1,0
62,41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,8313,0,40,United-States,1,0
62,41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Female,8313,0,40,United-States,1,0
71,58,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,8267,0,40,United-States,1,0
71,58,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Female,8267,0,40,United-States,1,0
73,43,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,45,United-States,1,0
73,43,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,45,United-States,1,0
78,39,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,7302,0,40,United-States,1,0
78,39,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Female,7302,0,40,United-States,1,0
80,39,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,4888,0,40,United-States,1,0
80,39,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Other,Female,4888,0,40,United-States,1,0
89,51,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,16,United-States,1,0
89,51,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,16,United-States,1,0
90,65,Federal-gov,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
91,64,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,59,United-States,1,0
91,64,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,59,United-States,1,0
91,64,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,0,0,59,United-States,1,0
104,43,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,Other,Female,3337,0,40,United-States,1,0
105,38,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,0,0,61,United-States,1,0
107,52,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,2147,53,United-States,1,0
107,52,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,2147,53,United-States,1,0
113,66,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,54,United-States,1,0
113,66,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,0,0,54,United-States,1,0
113,66,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,54,United-States,1,0
119,47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,6819,0,85,United-States,1,0
131,51,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2015,40,United-States,0,1
