original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
13,43,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,4064,0,15,United-States,0,1
13,43,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Male,4064,0,15,United-States,0,1
27,36,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,57,United-States,0,1
32,59,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,0,0,50,United-States,1,0
32,59,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Female,0,0,50,United-States,1,0
32,59,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,1,0
36,54,Private,Masters,14,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
39,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,Cuba,1,0
39,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,40,Cuba,1,0
41,57,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0,1
46,31,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
46,31,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,40,United-States,1,0
46,31,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,0
53,59,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,30,United-States,1,0
53,59,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Female,0,0,30,United-States,1,0
63,38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,55,United-States,1,0
64,90,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,6767,0,40,United-States,1,0
64,90,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,6767,0,40,United-States,1,0
66,55,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,7688,0,40,Puerto-Rico,1,0
66,55,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Female,7688,0,40,Puerto-Rico,1,0
79,60,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,2339,40,United-States,0,1
79,60,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Male,0,2339,40,United-States,0,1
80,53,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,0,0,60,United-States,1,0
80,53,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Female,0,0,60,United-States,1,0
84,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,1,0
84,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Female,0,0,40,United-States,1,0
84,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,1,0
85,47,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,0,0,40,Iran,1,0
117,31,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,7298,0,50,United-States,1,0
120,47,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,1,0
120,47,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Other,Female,0,0,40,United-States,1,0
130,55,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,50,Canada,1,0
130,55,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Female,0,0,50,Canada,1,0
136,39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,50,United-States,1,0
136,39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,50,United-States,1,0
152,52,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,40,United-States,1,0
152,52,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,1,0
154,51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,45,United-States,1,0
160,52,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,60,United-States,1,0
165,37,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,0,0,60,Philippines,0,1
166,54,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
166,54,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,1,0
176,51,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
178,44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,7298,0,50,England,1,0
178,44,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,7298,0,50,England,1,0
189,46,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,65,United-States,1,0
189,46,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Other,Female,0,0,65,United-States,1,0
189,46,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Other,Male,0,0,65,United-States,1,0
193,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,1,0
193,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
193,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Male,0,0,40,United-States,1,0
198,57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,2258,40,United-States,1,0
198,57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,2258,40,United-States,1,0
199,28,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
199,28,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
202,46,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,38,United-States,1,0
202,46,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,38,United-States,1,0
213,40,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,5178,0,60,United-States,1,0
213,40,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,5178,0,60,United-States,1,0
224,26,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,1,0
226,52,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,Philippines,1,0
226,52,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,40,Philippines,1,0
247,46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,60,United-States,1,0
247,46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,60,United-States,1,0
247,46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,1,0
248,53,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,42,United-States,0,1
264,66,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,15,United-States,1,0
264,66,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0,0,15,United-States,1,0
273,42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,0
273,42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,40,United-States,1,0
283,34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,50,United-States,1,0
291,53,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,40,United-States,1,0
291,53,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
295,34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,48,United-States,1,0
295,34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,48,United-States,1,0
297,36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
297,36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,40,United-States,1,0
297,36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,0
302,47,Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,10520,0,45,United-States,1,0
302,47,Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,10520,0,45,United-States,1,0
315,41,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,0,0,90,United-States,0,1
315,41,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,90,United-States,0,1
322,48,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
322,48,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,40,United-States,1,0
323,37,Federal-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,43,United-States,0,1
324,53,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,1,0
324,53,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,50,United-States,1,0
