original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
4,29,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,60,India,1,0
4,29,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,60,India,1,0
27,36,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,57,United-States,1,0
27,36,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,0,0,57,United-States,1,0
30,34,State-gov,Doctorate,16,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,20,China,1,0
30,34,State-gov,Doctorate,16,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Female,0,0,20,China,1,0
32,59,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,0,0,50,United-States,1,0
32,59,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Other,Female,0,0,50,United-States,1,0
37,40,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0,1
41,57,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,0
41,57,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,40,United-States,1,0
43,54,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,98,United-States,1,0
46,31,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
46,31,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,40,United-States,1,0
53,59,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,30,United-States,1,0
53,59,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Female,0,0,30,United-States,1,0
54,40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,0
54,40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,40,United-States,1,0
79,60,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,2339,40,United-States,0,1
79,60,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Male,0,2339,40,United-States,0,1
80,53,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,0,0,60,United-States,1,0
80,53,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Other,Female,0,0,60,United-States,1,0
83,28,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,30,United-States,0,1
83,28,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Male,0,0,30,United-States,0,1
84,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,1,0
84,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Female,0,0,40,United-States,1,0
96,44,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,50,United-States,1,0
96,44,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Female,0,0,50,United-States,1,0
100,43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,70,United-States,1,0
100,43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,0,70,United-States,1,0
120,47,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,1,0
120,47,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
122,40,Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,40,United-States,1,0
122,40,Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Female,0,0,40,United-States,1,0
122,40,Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Other,Male,0,0,40,United-States,1,0
155,44,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
155,44,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,40,United-States,1,0
160,52,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,60,United-States,1,0
160,52,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,60,United-States,1,0
164,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,50,United-States,1,0
164,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,50,United-States,1,0
165,37,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,0,0,60,Philippines,0,1
165,37,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Male,0,0,60,Philippines,0,1
166,54,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
170,43,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,50,United-States,1,0
170,43,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Other,Female,0,0,50,United-States,1,0
189,46,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,65,United-States,1,0
189,46,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,0,0,65,United-States,1,0
193,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,1,0
198,57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,2258,40,United-States,1,0
198,57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,2258,40,United-States,1,0
199,28,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,40,United-States,1,0
199,28,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,40,United-States,1,0
205,45,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,1,0
205,45,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,1,0
224,26,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,United-States,0,1
