original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
8,43,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,50,United-States,1,0
8,43,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,50,United-States,1,0
8,43,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,0,0,50,United-States,1,0
39,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,40,Cuba,1,0
41,57,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,0
41,57,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,0
46,31,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,0,1
49,54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,1
52,33,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,Japan,1,0
52,33,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,0,0,40,Japan,1,0
52,33,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Japan,1,0
54,40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,0,1
58,45,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1,0
58,45,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,40,United-States,1,0
58,45,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,1,0
