original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
54,40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,0
54,40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,40,United-States,1,0
54,40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,0
120,47,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Other,Female,0,0,40,United-States,1,0
128,34,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Female,0,0,45,Jamaica,1,0
130,55,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,50,Canada,1,0
130,55,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Female,0,0,50,Canada,1,0
164,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,50,United-States,1,0
164,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,50,United-States,1,0
164,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,1,0
166,54,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Other,Female,0,0,40,United-States,1,0
170,43,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,50,United-States,1,0
170,43,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Black,Female,0,0,50,United-States,1,0
170,43,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,50,United-States,1,0
174,30,Private,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Male,0,0,45,United-States,0,1
176,51,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,0,1
176,51,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,0,40,United-States,0,1
224,26,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,1,0
247,46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,60,United-States,1,0
247,46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,60,United-States,1,0
247,46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,60,United-States,1,0
252,39,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,99,Japan,1,0
252,39,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,99,Japan,1,0
331,28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,50,United-States,1,0
331,28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,50,United-States,1,0
331,28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,50,United-States,1,0
334,44,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,0
334,44,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,1,0
341,46,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Female,0,0,40,United-States,1,0
345,63,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,South,1,0
345,63,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Other,Female,0,0,40,South,1,0
355,37,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,0,1
355,37,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,70,United-States,0,1
368,32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,1672,60,United-States,1,0
368,32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,1672,60,United-States,1,0
428,54,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,0,1977,40,United-States,1,0
428,54,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Female,0,1977,40,United-States,1,0
