age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
28,Private,HS-grad,9,Divorced,Sales,Own-child,White,Male,0,0,45,United-States
39,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
42,Private,Assoc-voc,11,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
65,Private,11th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
39,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,14325,0,57,United-States
21,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,30,United-States
67,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Other-relative,White,Female,0,0,40,United-States
20,Private,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,7,United-States
24,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Female,0,1668,40,United-States
30,Private,HS-grad,9,Separated,Craft-repair,Own-child,Black,Male,0,0,40,United-States
54,Private,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Female,0,0,40,United-States
44,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
34,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States
17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,13,United-States
47,Federal-gov,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States
52,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
42,Private,HS-grad,9,Divorced,Handlers-cleaners,Other-relative,Black,Female,0,0,40,United-States
21,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,38,United-States
45,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,36,United-States
20,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,22,United-States
39,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
24,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,United-States
29,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,61,United-States
23,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,3250,0,58,United-States
23,Private,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,56,United-States
41,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
24,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
59,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,8927,0,16,United-States
48,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
49,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States
54,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,11609,0,51,United-States
28,Private,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
45,Private,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
36,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States
55,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,4491,0,40,United-States
19,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States
27,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,57,United-States
43,Private,11th,7,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States
35,Private,Bachelors,16,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
34,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1816,45,United-States
28,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,40,United-States
40,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
35,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2743,0,40,United-States
33,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
21,Private,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States
38,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
48,Private,12th,8,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
44,Private,HS-grad,9,Divorced,Other-service,Own-child,White,Male,0,0,50,United-States
17,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,16,United-States
29,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,59,United-States
26,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
31,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,Haiti
51,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,1936,0,40,United-States
20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,1903,39,United-States
32,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,54,United-States
56,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,2425,0,40,United-States
43,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States
19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,49,United-States
28,Private,Some-college,10,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States
