age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
47,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
34,Private,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States
31,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States
46,Federal-gov,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,38,United-States
32,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
44,Private,Prof-school,15,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
52,Private,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Female,0,0,40,United-States
59,Private,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,37,United-States
43,Private,Some-college,10,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,57,United-States
37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
43,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States
43,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1792,50,United-States
44,Private,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
39,Private,7th-8th,4,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States
48,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States
20,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
31,Self-emp-not-inc,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,38,United-States
33,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
23,Private,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States
26,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
40,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1951,40,United-States
56,Private,Assoc-voc,11,Widowed,Other-service,Unmarried,Black,Female,0,0,40,United-States
66,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
17,Private,7th-8th,4,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
20,State-gov,Masters,14,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States
45,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States
41,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
27,Private,11th,10,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,0,40,United-States
41,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
31,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,58,United-States
33,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,62,United-States
17,Private,11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0,33,United-States
57,Private,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States
51,Private,Bachelors,5,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
38,Self-emp-not-inc,10th,6,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
30,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Other,Female,0,0,40,United-States
18,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States
31,State-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
24,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States
33,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
18,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Male,0,0,11,United-States
58,Federal-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
34,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
33,Private,11th,7,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States
27,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
53,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
28,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
29,Private,HS-grad,9,Separated,Handlers-cleaners,Own-child,White,Male,0,0,33,United-States
32,Private,12th,11,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States
32,Private,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States
27,Private,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2969,0,40,United-States
33,Private,9th,5,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
33,Private,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,1718,40,United-States
50,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States
30,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
61,Private,Masters,14,Divorced,Exec-managerial,Own-child,White,Male,0,1954,45,United-States
53,Federal-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States
50,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,40,United-States
40,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
31,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States
55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States
21,Private,7th-8th,4,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States
31,Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Female,0,0,37,United-States
49,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,37,United-States
59,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States
22,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Other,Male,0,0,15,United-States
57,Private,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States
53,Private,9th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
44,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
32,Private,12th,8,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States
37,Private,Bachelors,13,Divorced,Sales,Own-child,White,Male,0,0,45,United-States
56,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1923,30,United-States
64,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States
40,Private,11th,7,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
18,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1871,56,United-States
27,Private,7th-8th,4,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States
28,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States
19,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
31,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
47,Private,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States
48,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,3096,0,49,United-States
39,Private,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,45,United-States
