age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
29,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
24,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,35,United-States
64,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,11506,0,57,United-States
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,58,United-States
36,Private,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Female,0,0,40,United-States
60,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
32,Private,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States
34,Private,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,36,United-States
33,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,5829,0,40,United-States
19,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
38,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,10963,0,40,United-States
60,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,5036,0,45,United-States
39,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,United-States
58,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,12,United-States
22,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Female,0,0,58,United-States
47,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,57,United-States
53,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Female,0,0,49,United-States
32,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5968,0,60,United-States
64,Self-emp-inc,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,4552,0,40,United-States
27,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
52,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,6,United-States
21,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,16,United-States
33,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
20,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,37,United-States
70,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,8387,0,60,United-States
26,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3749,0,61,United-States
26,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
53,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,6996,0,40,United-States
28,Self-emp-not-inc,Bachelors,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,Haiti
19,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,24,United-States
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
18,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,23,United-States
36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,10672,0,59,United-States
63,Private,Prof-school,7,Married-civ-spouse,Adm-clerical,Husband,Black,Male,5146,0,40,United-States
45,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,6521,0,64,United-States
38,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,5599,0,59,United-States
24,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,0,0,21,United-States
36,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1870,35,United-States
37,Private,Masters,14,Married-civ-spouse,Adm-clerical,Own-child,Black,Male,0,2205,40,United-States
55,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
58,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4343,0,40,United-States
67,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,2853,0,40,United-States
46,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,2345,0,40,United-States
32,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4867,0,49,United-States
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3844,0,58,United-States
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,12765,0,60,United-States
28,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5855,0,50,United-States
32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,17744,0,58,United-States
37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5940,0,40,United-States
32,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,40,United-States
20,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,19,United-States
31,Private,Some-college,10,Never-married,Exec-managerial,Other-relative,Black,Female,0,0,40,United-States
32,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,9750,0,58,United-States
59,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7754,0,40,United-States
62,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Adm-clerical,Husband,Black,Male,8989,0,40,United-States
25,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,4154,0,40,United-States
37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5856,0,40,United-States
37,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,Black,Male,6001,0,40,United-States
31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6992,0,40,United-States
43,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5467,0,40,United-States
61,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,6116,0,57,United-States
56,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,4663,0,40,United-States
32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5020,0,59,United-States
30,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2138,57,United-States
19,Private,Prof-school,15,Never-married,Prof-specialty,Own-child,Black,Male,0,0,40,United-States
30,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States
