age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
27,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States
64,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,16416,0,60,United-States
50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,17124,0,59,United-States
40,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,61,United-States
46,Self-emp-not-inc,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
20,Private,7th-8th,4,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States
20,Private,7th-8th,4,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
53,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5575,0,60,United-States
28,Private,Prof-school,11,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States
46,Private,Prof-school,15,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States
31,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5415,0,59,United-States
48,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2053,56,United-States
22,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
52,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2306,0,40,United-States
35,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,4236,0,61,United-States
42,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,16528,0,59,United-States
63,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,9049,0,58,United-States
32,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,10627,0,57,United-States
24,Private,Prof-school,15,Never-married,Exec-managerial,Not-in-family,White,Male,0,2117,45,United-States
34,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States
73,Private,10th,6,Divorced,Other-service,Own-child,Black,Female,0,0,40,United-States
22,Private,HS-grad,9,Never-married,Protective-serv,Other-relative,White,Female,0,0,40,United-States
27,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,3684,0,59,United-States
41,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,10952,0,57,United-States
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States
54,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4948,0,40,United-States
59,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1804,64,United-States
47,Federal-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States
18,Private,12th,8,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States
32,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
