age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
62,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,8589,0,50,United-States
29,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10580,0,62,United-States
36,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,59,United-States
20,Private,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States
56,Local-gov,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
19,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,Mexico
32,Private,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
33,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3592,0,59,United-States
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2672,0,58,United-States
33,Private,Prof-school,15,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States
44,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Black,Male,51508,0,40,United-States
55,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1878,40,United-States
21,Private,Masters,14,Never-married,Exec-managerial,Own-child,White,Female,0,0,9,United-States
55,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2001,40,United-States
53,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
52,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,8248,0,40,United-States
28,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States
29,Private,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States
47,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,18866,0,58,United-States
56,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1835,40,United-States
24,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2166,40,United-States
21,Private,HS-grad,3,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States
51,Private,7th-8th,4,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States
30,Private,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States
36,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,8666,0,40,United-States
58,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,18398,0,57,United-States
25,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
25,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1962,40,United-States
51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,40,United-States
17,Private,Bachelors,4,Never-married,Adm-clerical,Own-child,Black,Female,0,0,14,United-States
45,Private,HS-grad,9,Divorced,Protective-serv,Own-child,White,Female,0,0,40,United-States
34,Private,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States
21,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
