age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
31,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
24,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,4306,0,45,United-States
69,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,20607,0,59,United-States
33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,57,United-States
46,Private,Bachelors,13,Divorced,Protective-serv,Own-child,White,Female,0,0,40,United-States
57,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Male,0,2125,40,United-States
20,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,0,0,40,United-States
33,Private,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
37,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,3576,0,59,United-States
35,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2180,0,56,United-States
38,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,61,United-States
47,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,44316,0,40,United-States
25,Private,Masters,14,Never-married,Adm-clerical,Own-child,White,Male,0,0,23,United-States
32,Local-gov,Masters,14,Never-married,Exec-managerial,Own-child,White,Female,0,2077,40,United-States
47,Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
62,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,6,United-States
39,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,5825,0,40,United-States
34,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,7667,0,61,United-States
32,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States
31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,12599,0,59,United-States
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
54,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
20,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
44,Private,7th-8th,4,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States
32,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
50,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,6577,0,40,United-States
27,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2740,0,60,United-States
30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,58,United-States
23,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
71,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2006,34,United-States
28,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States
17,Local-gov,7th-8th,4,Never-married,Other-service,Own-child,Black,Female,0,0,31,United-States
55,Private,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Female,0,0,40,United-States
53,Private,HS-grad,9,Divorced,Exec-managerial,Other-relative,White,Male,0,0,40,United-States
31,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,49,United-States
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6531,0,59,United-States
43,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,8049,0,40,United-States
26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4615,0,58,United-States
19,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,56,United-States
