age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
30,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,59,United-States
30,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,59,United-States
55,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13975,0,60,United-States
60,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,19746,0,58,United-States
41,Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States
49,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
37,Private,5th-6th,3,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States
27,Private,10th,6,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
33,Private,Assoc-voc,8,Married-civ-spouse,Other-service,Husband,White,Male,4032,0,40,United-States
38,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,58,United-States
55,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Black,Male,51097,0,40,United-States
56,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,11373,0,40,United-States
23,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,19,United-States
32,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,2234,40,United-States
33,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1863,40,United-States
61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,1829,40,United-States
43,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3241,0,36,United-States
60,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,9606,0,57,United-States
29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,56,United-States
28,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14110,0,62,United-States
25,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
22,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,2152,40,United-States
31,Private,5th-6th,3,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Mexico
24,Private,10th,6,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States
47,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,9873,0,33,United-States
48,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,9057,0,59,United-States
31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,36741,0,54,United-States
25,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,56,United-States
