original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
9,Female,20,Greater than 45,Hispanic,0,0,0,2,F,1,0
17,Female,21,Less than 25,African-American,0,0,0,3,M,0,1
17,Male,21,Less than 25,Caucasian,0,0,0,3,M,0,1
25,Female,31,25 - 45,Caucasian,0,0,0,6,M,1,0
25,Female,31,25 - 45,Asian,0,0,0,6,M,1,0
25,Male,31,25 - 45,Asian,0,0,0,6,M,1,0
37,Female,35,25 - 45,Hispanic,4,2,4,2,F,1,0
44,Male,52,Less than 25,Caucasian,6,5,3,2,F,0,1
46,Male,52,Greater than 45,Caucasian,2,2,5,6,M,0,1
53,Male,54,Greater than 45,Caucasian,2,1,4,6,M,0,1
54,Male,54,25 - 45,African-American,3,1,5,8,F,0,1
54,Female,54,25 - 45,Caucasian,3,1,5,8,F,0,1
54,Male,54,25 - 45,Caucasian,3,1,5,8,F,0,1
56,Female,54,Greater than 45,Caucasian,6,3,7,0,F,1,0
56,Female,54,Greater than 45,Native American,6,3,7,0,F,1,0
61,Male,72,Less than 25,Caucasian,6,1,4,8,F,0,1
61,Male,72,Less than 25,Other,6,1,4,8,F,0,1
