original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
21,Male,21,Less than 25,Asian,6,3,4,0,M,0,1
21,Male,21,Less than 25,Caucasian,6,3,4,0,M,0,1
29,Female,31,Less than 25,Caucasian,4,3,4,1,F,1,0
29,Female,31,Less than 25,Native American,4,3,4,1,F,1,0
30,Female,31,Less than 25,Caucasian,6,5,5,2,M,1,0
35,Male,35,Greater than 45,Other,3,2,2,0,M,0,1
35,Male,35,Greater than 45,Caucasian,3,2,2,0,M,0,1
53,Male,54,Greater than 45,Caucasian,2,1,4,6,M,0,1
53,Male,54,Greater than 45,Other,2,1,4,6,M,0,1
61,Male,72,Less than 25,Caucasian,6,1,4,8,F,0,1
61,Male,72,Less than 25,Other,6,1,4,8,F,0,1
64,Female,72,Greater than 45,Caucasian,1,3,7,6,M,1,0
64,Female,72,Greater than 45,Native American,1,3,7,6,M,1,0
64,Male,72,Greater than 45,Caucasian,1,3,7,6,M,1,0
