original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
7,Female,18,25 - 45,Hispanic,1,2,6,0,F,1,0
9,Male,20,Greater than 45,Caucasian,0,0,0,2,F,1,0
15,Male,20,25 - 45,Caucasian,6,5,6,1,M,1,0
17,Female,21,Less than 25,Caucasian,0,0,0,3,M,0,1
17,Female,21,Less than 25,Native American,0,0,0,3,M,0,1
21,Male,21,Less than 25,Caucasian,6,3,4,0,M,1,0
22,Female,21,Greater than 45,Caucasian,1,2,5,1,F,0,1
22,Male,21,Greater than 45,Caucasian,1,2,5,1,F,0,1
23,Male,21,Less than 25,Caucasian,3,3,6,2,M,1,0
25,Female,31,25 - 45,Other,0,0,0,6,M,0,1
29,Female,31,Less than 25,Caucasian,4,3,4,1,F,1,0
29,Female,31,Less than 25,Native American,4,3,4,1,F,1,0
30,Female,31,Less than 25,Caucasian,6,5,5,2,M,1,0
30,Male,31,Less than 25,Caucasian,6,5,5,2,M,1,0
32,Female,31,Greater than 45,Caucasian,4,2,7,6,M,0,1
32,Female,31,Greater than 45,Asian,4,2,7,6,M,0,1
32,Male,31,Greater than 45,Caucasian,4,2,7,6,M,0,1
36,Female,35,25 - 45,Caucasian,2,1,3,1,M,1,0
36,Female,35,25 - 45,Hispanic,2,1,3,1,M,1,0
37,Female,35,25 - 45,Caucasian,4,2,4,2,F,1,0
37,Female,35,25 - 45,Hispanic,4,2,4,2,F,1,0
37,Male,35,25 - 45,Hispanic,4,2,4,2,F,1,0
38,Female,35,25 - 45,Hispanic,6,3,5,3,F,1,0
51,Male,54,25 - 45,Hispanic,1,3,2,2,F,0,1
51,Male,54,25 - 45,Caucasian,1,3,2,2,F,0,1
56,Female,54,Greater than 45,Caucasian,6,3,7,0,F,0,1
58,Male,72,Greater than 45,Hispanic,1,2,1,2,M,1,0
58,Male,72,Greater than 45,Caucasian,1,2,1,2,M,1,0
59,Female,72,25 - 45,Caucasian,2,3,2,3,F,1,0
59,Female,72,25 - 45,Other,2,3,2,3,F,1,0
59,Male,72,25 - 45,Caucasian,2,3,2,3,F,1,0
64,Female,72,Greater than 45,Other,1,3,7,6,M,0,1
