original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
5,Female,23,Less than 25,Caucasian,0,0,0,1,M,1,0
5,Female,23,Less than 25,Other,0,0,0,1,M,1,0
6,Female,22,Less than 25,Caucasian,0,1,0,1,F,1,0
22,Female,23,Less than 25,Caucasian,0,0,0,1,F,1,0
30,Female,19,Less than 25,Caucasian,0,0,0,0,F,1,0
30,Female,19,Less than 25,Other,0,0,0,0,F,1,0
35,Female,34,25 - 45,Caucasian,0,0,0,1,F,0,1
35,Male,34,25 - 45,Caucasian,0,0,0,1,F,0,1
42,Male,42,Greater than 45,African-American,0,0,0,1,F,0,1
49,Male,39,25 - 45,African-American,2,0,0,3,F,0,1
49,Female,39,25 - 45,Caucasian,2,0,0,3,F,0,1
49,Male,39,25 - 45,Caucasian,2,0,0,3,F,0,1
53,Male,25,Less than 25,Hispanic,0,0,0,0,F,0,1
53,Male,25,Less than 25,Caucasian,0,0,0,0,F,0,1
54,Female,20,Less than 25,Caucasian,2,0,0,0,F,1,0
73,Female,47,Greater than 45,Caucasian,0,0,0,1,F,1,0
73,Female,47,Greater than 45,Asian,0,0,0,1,F,1,0
73,Male,47,Greater than 45,Caucasian,0,0,0,1,F,1,0
76,Female,39,Greater than 45,Caucasian,0,0,0,2,F,1,0
76,Female,39,Greater than 45,Asian,0,0,0,2,F,1,0
77,Female,30,25 - 45,Caucasian,0,0,0,0,F,1,0
77,Female,30,25 - 45,African-American,0,0,0,0,F,1,0
88,Female,20,Less than 25,Caucasian,0,0,2,0,F,1,0
90,Male,52,Greater than 45,African-American,0,0,0,4,F,0,1
90,Male,52,Greater than 45,Caucasian,0,0,0,4,F,0,1
95,Female,52,Greater than 45,Caucasian,0,0,0,4,F,1,0
95,Female,52,Greater than 45,Native American,0,0,0,4,F,1,0
