original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
3,Female,46,Greater than 45,Caucasian,0,0,0,0,F,1,0
3,Female,46,Greater than 45,Other,0,0,0,0,F,1,0
3,Male,46,Greater than 45,Caucasian,0,0,0,0,F,1,0
6,Female,22,Less than 25,Caucasian,0,1,0,1,F,1,0
6,Female,22,Less than 25,Asian,0,1,0,1,F,1,0
9,Female,39,25 - 45,Caucasian,0,0,0,0,F,0,1
11,Female,40,25 - 45,Caucasian,0,0,0,9,F,0,1
11,Female,40,25 - 45,Native American,0,0,0,9,F,0,1
11,Male,40,25 - 45,Caucasian,0,0,0,9,F,0,1
14,Female,23,Less than 25,Caucasian,2,1,0,2,F,1,0
19,Male,46,Greater than 45,African-American,0,0,0,0,F,0,1
20,Female,31,25 - 45,Caucasian,0,0,0,0,F,0,1
21,Male,27,25 - 45,Other,1,0,0,0,M,1,0
21,Male,27,25 - 45,Caucasian,1,0,0,0,M,1,0
22,Male,23,Less than 25,Native American,0,0,0,1,F,0,1
22,Male,23,Less than 25,Caucasian,0,0,0,1,F,0,1
25,Female,51,Greater than 45,Caucasian,0,0,0,0,F,1,0
25,Female,51,Greater than 45,Native American,0,0,0,0,F,1,0
25,Male,51,Greater than 45,Caucasian,0,0,0,0,F,1,0
26,Female,34,25 - 45,African-American,0,0,0,0,F,1,0
26,Male,34,25 - 45,Caucasian,0,0,0,0,F,1,0
29,Female,24,Less than 25,Caucasian,0,1,0,2,F,1,0
30,Female,19,Less than 25,Hispanic,0,0,0,0,F,1,0
32,Female,53,Greater than 45,Caucasian,0,0,0,10,F,0,1
32,Female,53,Greater than 45,Hispanic,0,0,0,10,F,0,1
32,Male,53,Greater than 45,Caucasian,0,0,0,10,F,0,1
33,Male,50,Greater than 45,Other,0,0,0,4,M,0,1
37,Female,22,Less than 25,Caucasian,1,0,1,1,F,1,0
37,Female,22,Less than 25,Other,1,0,1,1,F,1,0
39,Male,51,Greater than 45,Other,0,0,0,4,M,0,1
42,Female,42,Greater than 45,Caucasian,0,0,0,1,F,0,1
42,Male,42,Greater than 45,Caucasian,0,0,0,1,F,0,1
45,Male,22,Less than 25,Other,0,0,0,2,F,0,1
45,Male,22,Less than 25,Caucasian,0,0,0,2,F,0,1
47,Female,59,Greater than 45,Caucasian,1,0,0,1,F,1,0
48,Male,39,25 - 45,Asian,0,0,0,0,F,1,0
48,Male,39,25 - 45,Caucasian,0,0,0,0,F,1,0
49,Male,39,25 - 45,Asian,2,0,0,3,F,1,0
49,Female,39,25 - 45,Caucasian,2,0,0,3,F,1,0
50,Male,36,25 - 45,Asian,0,0,0,4,F,1,0
51,Male,36,25 - 45,Native American,0,0,0,6,F,1,0
51,Male,36,25 - 45,Caucasian,0,0,0,6,F,1,0
52,Male,29,25 - 45,African-American,0,0,0,2,F,1,0
52,Male,29,25 - 45,Caucasian,0,0,0,2,F,1,0
54,Male,20,Less than 25,African-American,2,0,0,0,F,0,1
54,Female,20,Less than 25,Caucasian,2,0,0,0,F,0,1
54,Male,20,Less than 25,Caucasian,2,0,0,0,F,0,1
59,Female,32,25 - 45,Caucasian,2,0,0,6,M,1,0
60,Female,23,Less than 25,Caucasian,2,0,0,2,F,1,0
60,Male,23,Less than 25,Caucasian,2,0,0,2,F,1,0
63,Female,47,Greater than 45,Caucasian,0,0,0,24,M,0,1
63,Female,47,Greater than 45,Other,0,0,0,24,M,0,1
63,Male,47,Greater than 45,Caucasian,0,0,0,24,M,0,1
64,Female,48,Greater than 45,Caucasian,0,0,0,9,F,0,1
64,Female,48,Greater than 45,Native American,0,0,0,9,F,0,1
64,Male,48,Greater than 45,African-American,0,0,0,9,F,0,1
65,Female,31,25 - 45,Caucasian,0,0,0,0,F,0,1
68,Male,39,25 - 45,Caucasian,1,0,0,6,F,1,0
70,Male,51,Greater than 45,African-American,0,0,0,16,M,1,0
71,Male,46,Greater than 45,Other,0,1,0,6,F,0,1
71,Female,46,Greater than 45,Caucasian,0,1,0,6,F,0,1
71,Male,46,Greater than 45,Caucasian,0,1,0,6,F,0,1
72,Female,62,Greater than 45,Caucasian,0,0,0,11,F,0,1
72,Female,62,Greater than 45,Native American,0,0,0,11,F,0,1
72,Male,62,Greater than 45,Caucasian,0,0,0,11,F,0,1
73,Female,47,Greater than 45,Caucasian,0,0,0,1,F,0,1
73,Male,47,Greater than 45,Caucasian,0,0,0,1,F,0,1
74,Female,31,25 - 45,Caucasian,0,0,0,1,M,0,1
74,Male,31,25 - 45,Caucasian,0,0,0,1,M,0,1
76,Female,39,Greater than 45,Caucasian,0,0,0,2,F,1,0
76,Female,39,Greater than 45,Hispanic,0,0,0,2,F,1,0
76,Male,39,Greater than 45,Caucasian,0,0,0,2,F,1,0
77,Female,30,25 - 45,Caucasian,0,0,0,0,F,0,1
78,Female,25,25 - 45,Caucasian,0,1,0,9,F,0,1
78,Female,25,25 - 45,Other,0,1,0,9,F,0,1
78,Male,25,25 - 45,Caucasian,0,1,0,9,F,0,1
83,Female,51,Greater than 45,Native American,0,0,0,0,M,1,0
83,Male,51,Greater than 45,Caucasian,0,0,0,0,M,1,0
84,Male,37,25 - 45,Caucasian,1,1,0,6,F,1,0
