original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
1,Female,50,Greater than 45,Asian,0,0,0,10,F,1,0
7,Female,52,Greater than 45,Caucasian,0,0,0,9,F,1,0
7,Female,52,Greater than 45,African-American,0,0,0,9,F,1,0
9,Female,51,Greater than 45,Native American,0,0,0,10,F,1,0
17,Female,51,Greater than 45,Caucasian,0,0,0,10,M,1,0
17,Female,51,Greater than 45,Asian,0,0,0,10,M,1,0
17,Male,51,Greater than 45,Hispanic,0,0,0,10,M,1,0
26,Female,52,Greater than 45,Caucasian,0,0,0,8,F,1,0
26,Female,52,Greater than 45,Other,0,0,0,8,F,1,0
32,Female,39,25 - 45,Caucasian,1,0,0,6,F,1,0
32,Female,39,25 - 45,Hispanic,1,0,0,6,F,1,0
57,Female,50,Greater than 45,Caucasian,0,0,0,9,M,1,0
57,Female,50,Greater than 45,Other,0,0,0,9,M,1,0
57,Male,50,Greater than 45,Caucasian,0,0,0,9,M,1,0
58,Female,51,Greater than 45,Caucasian,0,0,0,7,F,1,0
58,Female,51,Greater than 45,Native American,0,0,0,7,F,1,0
58,Male,51,Greater than 45,Caucasian,0,0,0,7,F,1,0
66,Female,50,Greater than 45,Caucasian,0,0,0,8,F,1,0
66,Female,50,Greater than 45,Native American,0,0,0,8,F,1,0
66,Male,50,Greater than 45,Hispanic,0,0,0,8,F,1,0
71,Female,52,Greater than 45,Caucasian,0,0,0,9,F,1,0
71,Female,52,Greater than 45,Native American,0,0,0,9,F,1,0
75,Female,51,Greater than 45,Native American,0,0,0,10,F,1,0
80,Female,39,25 - 45,Caucasian,1,0,0,6,F,1,0
80,Female,39,25 - 45,Hispanic,1,0,0,6,F,1,0
81,Female,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
81,Female,51,Greater than 45,African-American,0,0,0,9,F,1,0
88,Female,38,25 - 45,Caucasian,1,0,0,6,F,1,0
88,Female,38,25 - 45,Asian,1,0,0,6,F,1,0
90,Female,38,25 - 45,Caucasian,1,0,0,9,M,1,0
90,Female,38,25 - 45,Asian,1,0,0,9,M,1,0
98,Female,39,25 - 45,Caucasian,1,0,0,7,M,1,0
98,Female,39,25 - 45,African-American,1,0,0,7,M,1,0
98,Male,39,25 - 45,Caucasian,1,0,0,7,M,1,0
105,Female,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
105,Female,51,Greater than 45,African-American,0,0,0,9,F,1,0
119,Female,39,25 - 45,Asian,0,0,0,9,F,1,0
120,Female,38,25 - 45,Caucasian,0,0,0,6,F,1,0
120,Female,38,25 - 45,Asian,0,0,0,6,F,1,0
122,Male,51,Greater than 45,African-American,0,0,0,7,F,0,1
129,Female,52,Greater than 45,Other,1,0,0,10,F,1,0
137,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
137,Female,51,Greater than 45,Native American,1,0,0,9,F,1,0
145,Female,51,Greater than 45,Caucasian,2,1,0,6,F,1,0
145,Female,51,Greater than 45,Asian,2,1,0,6,F,1,0
145,Male,51,Greater than 45,Caucasian,2,1,0,6,F,1,0
146,Female,50,Greater than 45,Caucasian,1,0,0,9,F,1,0
153,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
168,Female,37,25 - 45,Caucasian,0,0,0,6,F,1,0
168,Female,37,25 - 45,Asian,0,0,0,6,F,1,0
176,Female,39,25 - 45,Caucasian,0,0,0,6,F,1,0
176,Female,39,25 - 45,Native American,0,0,0,6,F,1,0
177,Female,51,Greater than 45,Other,0,0,0,10,F,1,0
179,Female,51,Greater than 45,Asian,0,0,0,10,F,1,0
184,Female,38,25 - 45,Caucasian,0,0,0,6,F,1,0
184,Female,38,25 - 45,Hispanic,0,0,0,6,F,1,0
185,Female,51,Greater than 45,Caucasian,2,0,0,7,F,1,0
185,Female,51,Greater than 45,Other,2,0,0,7,F,1,0
185,Male,51,Greater than 45,Asian,2,0,0,7,F,1,0
186,Female,51,Greater than 45,Caucasian,1,0,0,8,F,1,0
186,Female,51,Greater than 45,Native American,1,0,0,8,F,1,0
186,Male,51,Greater than 45,Hispanic,1,0,0,8,F,1,0
193,Female,51,Greater than 45,Caucasian,0,0,0,9,M,1,0
193,Female,51,Greater than 45,Asian,0,0,0,9,M,1,0
193,Male,51,Greater than 45,Caucasian,0,0,0,9,M,1,0
194,Female,51,Greater than 45,Caucasian,0,0,0,7,F,1,0
194,Female,51,Greater than 45,Hispanic,0,0,0,7,F,1,0
194,Male,51,Greater than 45,Caucasian,0,0,0,7,F,1,0
201,Female,51,Greater than 45,Asian,1,0,0,10,F,1,0
210,Female,51,Greater than 45,Caucasian,1,0,0,8,F,1,0
210,Female,51,Greater than 45,Native American,1,0,0,8,F,1,0
240,Male,37,25 - 45,Caucasian,2,1,0,6,F,0,1
249,Female,51,Greater than 45,Caucasian,0,0,0,10,M,1,0
249,Female,51,Greater than 45,African-American,0,0,0,10,M,1,0
257,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
257,Female,51,Greater than 45,Native American,1,0,0,9,F,1,0
258,Female,51,Greater than 45,Caucasian,1,0,0,8,F,1,0
258,Female,51,Greater than 45,Other,1,0,0,8,F,1,0
264,Female,51,Greater than 45,Caucasian,2,0,0,9,M,1,0
264,Female,51,Greater than 45,Hispanic,2,0,0,9,M,1,0
265,Female,51,Greater than 45,Asian,1,0,0,10,F,1,0
266,Female,51,Greater than 45,Caucasian,1,0,0,9,M,1,0
266,Female,51,Greater than 45,Other,1,0,0,9,M,1,0
295,Female,37,25 - 45,Caucasian,0,0,0,9,M,1,0
295,Female,37,25 - 45,Hispanic,0,0,0,9,M,1,0
306,Female,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
306,Female,50,Greater than 45,Hispanic,0,0,0,9,F,1,0
313,Female,51,Greater than 45,Caucasian,1,0,0,9,M,1,0
313,Female,51,Greater than 45,Asian,1,0,0,9,M,1,0
314,Female,52,Greater than 45,Caucasian,1,0,0,9,F,1,0
314,Female,52,Greater than 45,Asian,1,0,0,9,F,1,0
321,Female,50,Greater than 45,Caucasian,1,0,0,9,M,1,0
321,Female,50,Greater than 45,African-American,1,0,0,9,M,1,0
322,Female,52,Greater than 45,Caucasian,1,0,0,9,F,1,0
322,Female,52,Greater than 45,African-American,1,0,0,9,F,1,0
328,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
328,Female,51,Greater than 45,Other,1,0,0,9,F,1,0
329,Female,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
329,Female,50,Greater than 45,Asian,0,0,0,9,F,1,0
335,Female,40,25 - 45,Hispanic,0,1,0,9,F,1,0
345,Female,52,Greater than 45,Caucasian,0,0,0,10,M,1,0
345,Female,52,Greater than 45,Native American,0,0,0,10,M,1,0
345,Male,52,Greater than 45,Native American,0,0,0,10,M,1,0
370,Female,50,Greater than 45,Caucasian,1,0,0,8,F,1,0
370,Female,50,Greater than 45,Other,1,0,0,8,F,1,0
385,Female,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
385,Female,51,Greater than 45,Hispanic,0,0,0,9,F,1,0
393,Female,48,Greater than 45,Caucasian,0,0,0,10,M,1,0
393,Female,48,Greater than 45,Hispanic,0,0,0,10,M,1,0
400,Female,41,Greater than 45,Caucasian,0,0,0,6,M,1,0
400,Female,41,Greater than 45,Native American,0,0,0,6,M,1,0
400,Male,41,Greater than 45,Caucasian,0,0,0,6,M,1,0
401,Female,47,Greater than 45,Hispanic,0,0,0,9,F,1,0
416,Female,33,25 - 45,Caucasian,1,0,0,6,F,1,0
416,Female,33,25 - 45,Native American,1,0,0,6,F,1,0
441,Female,48,Greater than 45,Caucasian,0,0,0,7,F,1,0
441,Female,48,Greater than 45,Asian,0,0,0,7,F,1,0
449,Female,48,Greater than 45,Asian,0,0,0,10,F,1,0
450,Female,48,Greater than 45,Hispanic,0,0,0,9,F,1,0
