original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
1,Female,50,Greater than 45,Caucasian,0,0,0,10,F,1,0
1,Female,50,Greater than 45,Asian,0,0,0,10,F,1,0
1,Male,50,Greater than 45,Caucasian,0,0,0,10,F,1,0
3,Female,51,Greater than 45,Caucasian,0,0,0,10,F,1,0
3,Female,51,Greater than 45,African-American,0,0,0,10,F,1,0
3,Male,51,Greater than 45,Caucasian,0,0,0,10,F,1,0
7,Female,52,Greater than 45,Caucasian,0,0,0,9,F,1,0
7,Female,52,Greater than 45,Hispanic,0,0,0,9,F,1,0
7,Male,52,Greater than 45,Caucasian,0,0,0,9,F,1,0
9,Male,51,Greater than 45,Native American,0,0,0,10,F,0,1
32,Female,39,25 - 45,Caucasian,1,0,0,6,F,1,0
32,Female,39,25 - 45,Asian,1,0,0,6,F,1,0
32,Male,39,25 - 45,Caucasian,1,0,0,6,F,1,0
41,Female,38,25 - 45,Other,1,0,0,9,F,1,0
81,Female,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
81,Female,51,Greater than 45,Asian,0,0,0,9,F,1,0
81,Male,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
88,Female,38,25 - 45,Caucasian,1,0,0,6,F,1,0
88,Female,38,25 - 45,Other,1,0,0,6,F,1,0
88,Male,38,25 - 45,Caucasian,1,0,0,6,F,1,0
89,Female,38,25 - 45,Other,2,0,0,10,F,1,0
90,Female,38,25 - 45,Caucasian,1,0,0,9,M,1,0
90,Female,38,25 - 45,Other,1,0,0,9,M,1,0
90,Male,38,25 - 45,Caucasian,1,0,0,9,M,1,0
97,Female,38,25 - 45,Other,1,0,0,9,F,1,0
105,Female,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
105,Female,51,Greater than 45,Native American,0,0,0,9,F,1,0
105,Male,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
119,Female,39,25 - 45,Caucasian,0,0,0,9,F,1,0
119,Female,39,25 - 45,African-American,0,0,0,9,F,1,0
120,Female,38,25 - 45,Caucasian,0,0,0,6,F,1,0
120,Female,38,25 - 45,Asian,0,0,0,6,F,1,0
120,Male,38,25 - 45,Caucasian,0,0,0,6,F,1,0
129,Male,52,Greater than 45,Native American,1,0,0,10,F,0,1
137,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
137,Female,51,Greater than 45,Other,1,0,0,9,F,1,0
137,Male,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
146,Female,50,Greater than 45,Caucasian,1,0,0,9,F,1,0
146,Female,50,Greater than 45,Native American,1,0,0,9,F,1,0
146,Male,50,Greater than 45,Caucasian,1,0,0,9,F,1,0
153,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
153,Female,51,Greater than 45,Other,1,0,0,9,F,1,0
153,Male,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
168,Female,37,25 - 45,Caucasian,0,0,0,6,F,1,0
168,Female,37,25 - 45,Native American,0,0,0,6,F,1,0
168,Male,37,25 - 45,Caucasian,0,0,0,6,F,1,0
176,Female,39,25 - 45,Caucasian,0,0,0,6,F,1,0
176,Female,39,25 - 45,Native American,0,0,0,6,F,1,0
176,Male,39,25 - 45,Caucasian,0,0,0,6,F,1,0
183,Female,39,25 - 45,Caucasian,0,0,0,9,F,1,0
183,Female,39,25 - 45,Native American,0,0,0,9,F,1,0
183,Male,39,25 - 45,Hispanic,0,0,0,9,F,1,0
201,Female,51,Greater than 45,Caucasian,1,0,0,10,F,1,0
201,Female,51,Greater than 45,Hispanic,1,0,0,10,F,1,0
257,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
257,Female,51,Greater than 45,Native American,1,0,0,9,F,1,0
257,Male,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
265,Female,51,Greater than 45,Caucasian,1,0,0,10,F,1,0
265,Female,51,Greater than 45,Native American,1,0,0,10,F,1,0
295,Female,37,25 - 45,Caucasian,0,0,0,9,M,1,0
295,Female,37,25 - 45,Asian,0,0,0,9,M,1,0
295,Male,37,25 - 45,Caucasian,0,0,0,9,M,1,0
306,Female,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
306,Female,50,Greater than 45,Hispanic,0,0,0,9,F,1,0
306,Male,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
314,Female,52,Greater than 45,Caucasian,1,0,0,9,F,1,0
314,Female,52,Greater than 45,Asian,1,0,0,9,F,1,0
314,Male,52,Greater than 45,Caucasian,1,0,0,9,F,1,0
322,Female,52,Greater than 45,Caucasian,1,0,0,9,F,1,0
322,Female,52,Greater than 45,Asian,1,0,0,9,F,1,0
322,Male,52,Greater than 45,Caucasian,1,0,0,9,F,1,0
328,Female,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
328,Female,51,Greater than 45,Asian,1,0,0,9,F,1,0
328,Male,51,Greater than 45,Caucasian,1,0,0,9,F,1,0
329,Female,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
329,Female,50,Greater than 45,Other,0,0,0,9,F,1,0
329,Male,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
335,Female,40,25 - 45,Caucasian,0,1,0,9,F,1,0
335,Female,40,25 - 45,Other,0,1,0,9,F,1,0
369,Female,42,25 - 45,Other,2,0,0,11,M,1,0
370,Female,50,Greater than 45,Caucasian,1,0,0,8,F,1,0
370,Female,50,Greater than 45,Other,1,0,0,8,F,1,0
370,Male,50,Greater than 45,Caucasian,1,0,0,8,F,1,0
371,Female,51,Greater than 45,Asian,1,0,0,12,F,1,0
385,Female,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
385,Female,51,Greater than 45,Native American,0,0,0,9,F,1,0
385,Male,51,Greater than 45,Caucasian,0,0,0,9,F,1,0
391,Female,39,25 - 45,Caucasian,0,0,0,9,F,1,0
391,Female,39,25 - 45,Asian,0,0,0,9,F,1,0
407,Female,41,Greater than 45,Caucasian,0,0,0,9,F,1,0
407,Female,41,Greater than 45,Native American,0,0,0,9,F,1,0
415,Female,38,25 - 45,Native American,2,1,0,9,F,1,0
417,Female,48,Greater than 45,Caucasian,1,0,0,9,F,1,0
417,Female,48,Greater than 45,Asian,1,0,0,9,F,1,0
417,Male,48,Greater than 45,Caucasian,1,0,0,9,F,1,0
423,Female,34,25 - 45,Caucasian,2,0,0,9,M,1,0
423,Female,34,25 - 45,Other,2,0,0,9,M,1,0
423,Male,34,25 - 45,Caucasian,2,0,0,9,M,1,0
425,Female,38,25 - 45,Caucasian,2,0,0,10,M,1,0
425,Female,38,25 - 45,African-American,2,0,0,10,M,1,0
426,Female,34,25 - 45,Caucasian,2,0,0,7,F,1,0
