original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
4,Male,22,Less than 25,Native American,0,0,0,0,F,0,1
4,Male,22,Less than 25,Caucasian,0,0,0,0,F,0,1
6,Female,25,25 - 45,Caucasian,0,1,0,3,M,1,0
6,Female,25,25 - 45,Hispanic,0,1,0,3,M,1,0
6,Male,25,25 - 45,Caucasian,0,1,0,3,M,1,0
7,Male,28,25 - 45,Caucasian,0,0,0,3,F,0,1
8,Female,25,25 - 45,Caucasian,0,0,0,4,F,1,0
8,Female,25,25 - 45,Asian,0,0,0,4,F,1,0
14,Female,31,25 - 45,Caucasian,0,1,1,4,F,1,0
14,Female,31,25 - 45,Asian,0,1,1,4,F,1,0
15,Female,45,Greater than 45,Caucasian,0,0,0,8,F,1,0
19,Female,37,25 - 45,Asian,0,0,0,11,M,1,0
23,Female,26,25 - 45,Caucasian,0,0,0,2,F,1,0
23,Female,26,25 - 45,Native American,0,0,0,2,F,1,0
23,Male,26,25 - 45,Hispanic,0,0,0,2,F,1,0
34,Male,28,25 - 45,Caucasian,0,0,0,4,F,0,1
35,Female,23,Less than 25,Asian,0,1,0,2,F,1,0
40,Female,50,Greater than 45,Caucasian,0,0,0,9,F,1,0
40,Female,50,Greater than 45,Asian,0,0,0,9,F,1,0
51,Male,21,Less than 25,Caucasian,0,0,0,0,F,0,1
51,Male,21,Less than 25,Native American,0,0,0,0,F,0,1
53,Female,20,Less than 25,Caucasian,0,0,0,0,F,1,0
53,Female,20,Less than 25,Native American,0,0,0,0,F,1,0
53,Male,20,Less than 25,Asian,0,0,0,0,F,1,0
54,Male,39,25 - 45,African-American,0,1,0,6,F,0,1
54,Male,39,25 - 45,Caucasian,0,1,0,6,F,0,1
55,Female,43,25 - 45,Caucasian,0,0,0,8,F,1,0
55,Female,43,25 - 45,Other,0,0,0,8,F,1,0
58,Male,23,Less than 25,Caucasian,0,0,0,0,F,0,1
58,Male,23,Less than 25,African-American,0,0,0,0,F,0,1
60,Female,22,Less than 25,Caucasian,0,0,0,0,F,1,0
60,Female,22,Less than 25,Asian,0,0,0,0,F,1,0
62,Female,36,25 - 45,Caucasian,0,0,0,9,M,1,0
62,Female,36,25 - 45,Asian,0,0,0,9,M,1,0
62,Male,36,25 - 45,Asian,0,0,0,9,M,1,0
66,Male,26,25 - 45,African-American,0,0,0,3,F,0,1
66,Male,26,25 - 45,Caucasian,0,0,0,3,F,0,1
68,Female,22,Less than 25,Caucasian,0,0,0,0,F,1,0
68,Female,22,Less than 25,Hispanic,0,0,0,0,F,1,0
69,Female,30,25 - 45,Caucasian,0,0,0,4,F,1,0
69,Female,30,25 - 45,Asian,0,0,0,4,F,1,0
69,Male,30,25 - 45,Hispanic,0,0,0,4,F,1,0
73,Female,29,25 - 45,Caucasian,0,0,0,3,F,1,0
73,Female,29,25 - 45,Hispanic,0,0,0,3,F,1,0
79,Female,23,Less than 25,Caucasian,0,0,0,0,F,1,0
79,Female,23,Less than 25,Hispanic,0,0,0,0,F,1,0
86,Female,21,Less than 25,Caucasian,0,0,0,0,F,1,0
86,Female,21,Less than 25,Native American,0,0,0,0,F,1,0
92,Male,21,Less than 25,Caucasian,0,0,0,0,F,0,1
98,Female,21,Less than 25,Caucasian,0,0,0,1,F,1,0
98,Female,21,Less than 25,Other,0,0,0,1,F,1,0
101,Female,22,Less than 25,Caucasian,1,0,0,1,M,1,0
101,Female,22,Less than 25,Other,1,0,0,1,M,1,0
103,Female,49,Greater than 45,Caucasian,0,0,0,8,F,1,0
103,Female,49,Greater than 45,Other,0,0,0,8,F,1,0
108,Female,27,25 - 45,Caucasian,0,0,0,3,F,1,0
108,Female,27,25 - 45,Hispanic,0,0,0,3,F,1,0
109,Female,41,25 - 45,Caucasian,0,0,0,8,F,1,0
109,Female,41,25 - 45,Other,0,0,0,8,F,1,0
112,Female,22,Less than 25,Caucasian,0,0,0,2,M,1,0
112,Female,22,Less than 25,Hispanic,0,0,0,2,M,1,0
115,Female,25,25 - 45,Caucasian,0,0,0,3,F,1,0
115,Female,25,25 - 45,Hispanic,0,0,0,3,F,1,0
116,Female,27,25 - 45,Asian,0,0,0,6,F,1,0
123,Female,24,Less than 25,Caucasian,0,0,0,0,F,1,0
123,Female,24,Less than 25,African-American,0,0,0,0,F,1,0
125,Male,30,25 - 45,Native American,0,1,0,4,F,0,1
125,Male,30,25 - 45,Caucasian,0,1,0,4,F,0,1
127,Female,53,Greater than 45,Caucasian,0,0,0,9,F,1,0
127,Female,53,Greater than 45,African-American,0,0,0,9,F,1,0
128,Female,23,Less than 25,Caucasian,0,0,0,1,F,1,0
128,Female,23,Less than 25,Asian,0,0,0,1,F,1,0
131,Female,45,Greater than 45,Caucasian,0,0,0,6,F,1,0
131,Female,45,Greater than 45,Other,0,0,0,6,F,1,0
135,Female,26,25 - 45,Caucasian,0,0,0,4,M,1,0
135,Female,26,25 - 45,Native American,0,0,0,4,M,1,0
136,Female,22,Less than 25,Caucasian,0,0,0,1,F,1,0
136,Female,22,Less than 25,Hispanic,0,0,0,1,F,1,0
137,Male,28,25 - 45,Caucasian,0,0,0,5,M,0,1
141,Male,24,Less than 25,Caucasian,0,0,0,0,F,0,1
150,Female,21,Less than 25,Caucasian,0,0,0,0,F,1,0
150,Female,21,Less than 25,Native American,0,0,0,0,F,1,0
152,Male,29,25 - 45,Caucasian,0,0,0,3,F,0,1
154,Female,25,25 - 45,Caucasian,1,0,0,2,F,1,0
154,Female,25,25 - 45,Hispanic,1,0,0,2,F,1,0
156,Female,32,25 - 45,Caucasian,0,0,0,4,F,1,0
156,Female,32,25 - 45,Native American,0,0,0,4,F,1,0
156,Male,32,25 - 45,Asian,0,0,0,4,F,1,0
158,Female,24,Less than 25,Caucasian,0,0,0,0,F,1,0
158,Female,24,Less than 25,Hispanic,0,0,0,0,F,1,0
160,Male,20,Less than 25,Caucasian,0,0,1,0,M,0,1
168,Female,28,25 - 45,Caucasian,0,0,0,4,F,1,0
168,Female,28,25 - 45,Asian,0,0,0,4,F,1,0
178,Female,20,Less than 25,Asian,0,0,3,0,F,1,0
189,Female,23,Less than 25,Caucasian,0,0,0,1,M,1,0
189,Female,23,Less than 25,Other,0,0,0,1,M,1,0
189,Male,23,Less than 25,Caucasian,0,0,0,1,M,1,0
192,Female,23,Less than 25,Caucasian,0,0,1,0,F,1,0
