original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
4,Male,22,Less than 25,Asian,0,0,0,0,F,0,1
4,Male,22,Less than 25,Caucasian,0,0,0,0,F,0,1
12,Female,34,25 - 45,Other,0,0,0,3,M,1,0
12,Male,34,25 - 45,Native American,0,0,0,3,M,1,0
18,Female,53,Greater than 45,Caucasian,0,0,0,3,F,1,0
18,Female,53,Greater than 45,Asian,0,0,0,3,F,1,0
18,Male,53,Greater than 45,Caucasian,0,0,0,3,F,1,0
22,Male,31,25 - 45,Other,0,0,0,1,F,0,1
22,Female,31,25 - 45,Caucasian,0,0,0,1,F,0,1
22,Male,31,25 - 45,Caucasian,0,0,0,1,F,0,1
25,Female,30,25 - 45,Caucasian,0,0,0,0,F,1,0
25,Female,30,25 - 45,African-American,0,0,0,0,F,1,0
25,Male,30,25 - 45,Native American,0,0,0,0,F,1,0
41,Female,28,25 - 45,African-American,0,0,0,0,F,1,0
44,Female,24,Less than 25,Caucasian,0,0,0,0,M,1,0
44,Female,24,Less than 25,African-American,0,0,0,0,M,1,0
45,Male,19,Less than 25,Other,0,0,0,0,M,0,1
45,Male,19,Less than 25,Caucasian,0,0,0,0,M,0,1
46,Male,24,Less than 25,Caucasian,0,0,0,0,M,0,1
48,Female,54,Greater than 45,Caucasian,0,0,0,4,F,1,0
48,Female,54,Greater than 45,Other,0,0,0,4,F,1,0
51,Male,21,Less than 25,Caucasian,0,0,0,0,F,0,1
51,Male,21,Less than 25,African-American,0,0,0,0,F,0,1
53,Female,20,Less than 25,Caucasian,0,0,0,0,F,1,0
53,Female,20,Less than 25,Asian,0,0,0,0,F,1,0
58,Male,23,Less than 25,Caucasian,0,0,0,0,F,0,1
58,Male,23,Less than 25,African-American,0,0,0,0,F,0,1
60,Female,22,Less than 25,Caucasian,0,0,0,0,F,1,0
60,Female,22,Less than 25,Other,0,0,0,0,F,1,0
68,Female,22,Less than 25,Caucasian,0,0,0,0,F,1,0
68,Female,22,Less than 25,Asian,0,0,0,0,F,1,0
70,Female,43,25 - 45,Other,0,0,0,3,F,1,0
77,Female,58,Greater than 45,Caucasian,0,0,0,5,F,1,0
77,Female,58,Greater than 45,Other,0,0,0,5,F,1,0
79,Female,23,Less than 25,Caucasian,0,0,0,0,F,1,0
79,Female,23,Less than 25,Asian,0,0,0,0,F,1,0
