original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
1,Female,49,Greater than 45,Caucasian,2,0,0,13,F,0,1
1,Male,49,Greater than 45,Caucasian,2,0,0,13,F,0,1
4,Female,22,Less than 25,Caucasian,0,0,0,0,F,0,1
8,Female,25,25 - 45,African-American,0,0,0,4,F,0,1
9,Male,26,25 - 45,Caucasian,0,0,0,3,M,1,0
11,Female,20,Less than 25,Hispanic,1,0,1,1,F,1,0
12,Female,34,25 - 45,Caucasian,0,0,0,3,M,1,0
12,Female,34,25 - 45,Native American,0,0,0,3,M,1,0
12,Male,34,25 - 45,Asian,0,0,0,3,M,1,0
15,Female,45,Greater than 45,Caucasian,0,0,0,8,F,0,1
15,Female,45,Greater than 45,Hispanic,0,0,0,8,F,0,1
16,Male,32,25 - 45,Caucasian,0,0,0,2,F,1,0
18,Female,53,Greater than 45,Caucasian,0,0,0,3,F,1,0
18,Female,53,Greater than 45,Native American,0,0,0,3,F,1,0
20,Female,29,25 - 45,Other,0,0,0,1,F,1,0
20,Male,29,25 - 45,Caucasian,0,0,0,1,F,1,0
22,Male,31,25 - 45,Asian,0,0,0,1,F,1,0
22,Female,31,25 - 45,Caucasian,0,0,0,1,F,1,0
23,Female,26,25 - 45,Caucasian,0,0,0,2,F,0,1
23,Female,26,25 - 45,Asian,0,0,0,2,F,0,1
24,Female,50,Greater than 45,Caucasian,0,0,0,2,M,0,1
25,Female,30,25 - 45,Caucasian,0,0,0,0,F,0,1
28,Female,29,25 - 45,Caucasian,0,0,0,11,M,0,1
28,Female,29,25 - 45,Native American,0,0,0,11,M,0,1
28,Male,29,25 - 45,Caucasian,0,0,0,11,M,0,1
32,Female,35,25 - 45,Caucasian,0,0,0,0,M,1,0
32,Female,35,25 - 45,African-American,0,0,0,0,M,1,0
33,Female,37,25 - 45,Caucasian,0,0,0,1,F,1,0
33,Female,37,25 - 45,Hispanic,0,0,0,1,F,1,0
33,Male,37,25 - 45,Hispanic,0,0,0,1,F,1,0
34,Female,28,25 - 45,Caucasian,0,0,0,4,F,0,1
35,Female,23,Less than 25,Hispanic,0,1,0,2,F,0,1
35,Male,23,Less than 25,Caucasian,0,1,0,2,F,0,1
36,Female,32,25 - 45,Caucasian,0,0,0,0,F,0,1
37,Male,55,Greater than 45,Asian,0,0,0,1,F,0,1
42,Female,33,25 - 45,Caucasian,0,0,0,0,F,0,1
43,Female,37,25 - 45,Caucasian,2,3,0,24,F,0,1
43,Female,37,25 - 45,Hispanic,2,3,0,24,F,0,1
43,Male,37,25 - 45,Caucasian,2,3,0,24,F,0,1
48,Female,54,Greater than 45,Caucasian,0,0,0,4,F,1,0
48,Female,54,Greater than 45,Other,0,0,0,4,F,1,0
48,Male,54,Greater than 45,Caucasian,0,0,0,4,F,1,0
49,Male,37,25 - 45,Caucasian,0,0,0,1,F,0,1
50,Female,46,Greater than 45,Caucasian,0,0,0,0,F,1,0
50,Female,46,Greater than 45,Asian,0,0,0,0,F,1,0
50,Male,46,Greater than 45,Caucasian,0,0,0,0,F,1,0
51,Male,21,Less than 25,Caucasian,0,0,0,0,F,0,1
51,Male,21,Less than 25,Hispanic,0,0,0,0,F,0,1
52,Male,37,25 - 45,Caucasian,0,0,0,1,M,0,1
52,Male,37,25 - 45,African-American,0,0,0,1,M,0,1
53,Female,20,Less than 25,Other,0,0,0,0,F,1,0
54,Male,39,25 - 45,Other,0,1,0,6,F,0,1
54,Female,39,25 - 45,Caucasian,0,1,0,6,F,0,1
55,Male,43,25 - 45,Caucasian,0,0,0,8,F,1,0
57,Female,23,Less than 25,Native American,0,0,0,2,F,0,1
58,Male,23,Less than 25,Caucasian,0,0,0,0,F,1,0
58,Female,23,Less than 25,Asian,0,0,0,0,F,1,0
58,Male,23,Less than 25,African-American,0,0,0,0,F,1,0
60,Female,22,Less than 25,Caucasian,0,0,0,0,F,0,1
62,Male,36,25 - 45,African-American,0,0,0,9,M,1,0
63,Female,56,Greater than 45,Caucasian,0,0,0,13,F,0,1
63,Female,56,Greater than 45,African-American,0,0,0,13,F,0,1
63,Male,56,Greater than 45,Asian,0,0,0,13,F,0,1
66,Male,26,25 - 45,Other,0,0,0,3,F,0,1
66,Female,26,25 - 45,Caucasian,0,0,0,3,F,0,1
66,Male,26,25 - 45,Caucasian,0,0,0,3,F,0,1
68,Female,22,Less than 25,Caucasian,0,0,0,0,F,0,1
69,Female,30,25 - 45,Caucasian,0,0,0,4,F,1,0
69,Male,30,25 - 45,Native American,0,0,0,4,F,1,0
70,Female,43,25 - 45,Asian,0,0,0,3,F,0,1
71,Male,24,Less than 25,Caucasian,0,0,0,7,F,0,1
73,Female,29,25 - 45,Caucasian,0,0,0,3,F,1,0
74,Male,58,Greater than 45,Native American,0,0,0,4,F,1,0
74,Female,58,Greater than 45,Caucasian,0,0,0,4,F,1,0
75,Male,27,25 - 45,Caucasian,0,0,0,15,F,1,0
76,Male,29,25 - 45,Caucasian,0,0,0,1,F,1,0
77,Female,58,Greater than 45,Caucasian,0,0,0,5,F,1,0
78,Female,23,Less than 25,Caucasian,0,0,0,3,F,1,0
78,Male,23,Less than 25,Caucasian,0,0,0,3,F,1,0
79,Female,23,Less than 25,Caucasian,0,0,0,0,F,0,1
80,Female,54,Greater than 45,Caucasian,0,0,0,0,F,0,1
81,Female,30,25 - 45,Caucasian,0,0,0,2,M,0,1
83,Female,29,25 - 45,African-American,0,1,0,2,M,1,0
83,Male,29,25 - 45,Caucasian,0,1,0,2,M,1,0
85,Male,38,25 - 45,Caucasian,0,0,0,19,F,1,0
86,Female,21,Less than 25,Caucasian,0,0,0,0,F,1,0
86,Female,21,Less than 25,Asian,0,0,0,0,F,1,0
87,Male,30,25 - 45,Caucasian,0,0,0,2,F,1,0
91,Female,22,Less than 25,Caucasian,0,0,2,0,F,1,0
91,Female,22,Less than 25,Asian,0,0,2,0,F,1,0
91,Male,22,Less than 25,Caucasian,0,0,2,0,F,1,0
92,Female,21,Less than 25,Caucasian,0,0,0,0,F,1,0
92,Female,21,Less than 25,Other,0,0,0,0,F,1,0
96,Female,32,25 - 45,Caucasian,0,0,0,1,M,0,1
96,Male,32,25 - 45,Caucasian,0,0,0,1,M,0,1
97,Female,24,Less than 25,Caucasian,0,2,0,3,F,1,0
98,Male,21,Less than 25,Other,0,0,0,1,F,0,1
99,Female,46,Greater than 45,Caucasian,0,0,0,9,F,0,1
99,Female,46,Greater than 45,Other,0,0,0,9,F,0,1
99,Male,46,Greater than 45,Caucasian,0,0,0,9,F,0,1
103,Female,49,Greater than 45,Other,0,0,0,8,F,0,1
103,Male,49,Greater than 45,African-American,0,0,0,8,F,0,1
104,Male,32,25 - 45,Caucasian,0,0,0,10,F,1,0
105,Female,51,Greater than 45,Caucasian,0,0,0,6,F,1,0
105,Female,51,Greater than 45,Other,0,0,0,6,F,1,0
107,Female,48,Greater than 45,Caucasian,0,0,0,5,F,1,0
109,Male,41,25 - 45,Caucasian,0,0,0,8,F,1,0
110,Female,69,Greater than 45,Caucasian,0,0,0,0,M,1,0
110,Female,69,Greater than 45,Other,0,0,0,0,M,1,0
110,Male,69,Greater than 45,Other,0,0,0,0,M,1,0
111,Male,57,Greater than 45,Hispanic,0,0,0,6,F,0,1
112,Female,22,Less than 25,Caucasian,0,0,0,2,M,1,0
112,Female,22,Less than 25,Asian,0,0,0,2,M,1,0
113,Female,51,Greater than 45,Caucasian,0,0,0,0,M,0,1
114,Female,52,Greater than 45,Caucasian,0,0,0,7,M,1,0
114,Female,52,Greater than 45,Native American,0,0,0,7,M,1,0
114,Male,52,Greater than 45,Caucasian,0,0,0,7,M,1,0
117,Female,39,25 - 45,Caucasian,0,0,0,0,F,0,1
118,Male,40,25 - 45,Caucasian,0,0,0,0,M,0,1
122,Female,55,Greater than 45,Caucasian,0,0,0,0,M,1,0
122,Female,55,Greater than 45,Native American,0,0,0,0,M,1,0
122,Male,55,Greater than 45,Caucasian,0,0,0,0,M,1,0
124,Female,24,Less than 25,Caucasian,0,0,2,6,F,0,1
124,Female,24,Less than 25,African-American,0,0,2,6,F,0,1
125,Male,30,25 - 45,Hispanic,0,1,0,4,F,0,1
