original_index,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,original_prediction,alternative_prediction
4,Male,22,Less than 25,Other,0,0,0,0,F,0,1
4,Male,22,Less than 25,Caucasian,0,0,0,0,F,0,1
11,Female,20,Less than 25,Caucasian,1,0,1,1,F,1,0
11,Female,20,Less than 25,Native American,1,0,1,1,F,1,0
13,Female,23,Less than 25,Caucasian,0,1,1,8,F,1,0
19,Female,37,25 - 45,Hispanic,0,0,0,11,M,1,0
21,Female,29,25 - 45,Caucasian,0,0,0,6,F,1,0
21,Female,29,25 - 45,Native American,0,0,0,6,F,1,0
21,Male,29,25 - 45,Caucasian,0,0,0,6,F,1,0
35,Female,23,Less than 25,Caucasian,0,1,0,2,F,1,0
35,Female,23,Less than 25,African-American,0,1,0,2,F,1,0
44,Female,24,Less than 25,Caucasian,0,0,0,0,M,1,0
44,Female,24,Less than 25,Asian,0,0,0,0,M,1,0
45,Male,19,Less than 25,Asian,0,0,0,0,M,0,1
45,Male,19,Less than 25,Caucasian,0,0,0,0,M,0,1
46,Female,24,Less than 25,Caucasian,0,0,0,0,M,1,0
46,Female,24,Less than 25,Asian,0,0,0,0,M,1,0
51,Male,21,Less than 25,Caucasian,0,0,0,0,F,0,1
51,Male,21,Less than 25,Asian,0,0,0,0,F,0,1
53,Female,20,Less than 25,Caucasian,0,0,0,0,F,1,0
53,Female,20,Less than 25,Hispanic,0,0,0,0,F,1,0
54,Male,39,25 - 45,African-American,0,1,0,6,F,0,1
55,Female,43,25 - 45,Caucasian,0,0,0,8,F,1,0
55,Female,43,25 - 45,Other,0,0,0,8,F,1,0
55,Male,43,25 - 45,Caucasian,0,0,0,8,F,1,0
56,Female,23,Less than 25,Caucasian,0,0,0,6,F,1,0
56,Female,23,Less than 25,Native American,0,0,0,6,F,1,0
57,Female,23,Less than 25,Caucasian,0,0,0,2,F,1,0
57,Female,23,Less than 25,Native American,0,0,0,2,F,1,0
58,Male,23,Less than 25,Caucasian,0,0,0,0,F,0,1
58,Male,23,Less than 25,Asian,0,0,0,0,F,0,1
59,Female,27,25 - 45,Caucasian,0,0,0,7,F,1,0
59,Female,27,25 - 45,Other,0,0,0,7,F,1,0
60,Female,22,Less than 25,Caucasian,0,0,0,0,F,1,0
60,Female,22,Less than 25,Asian,0,0,0,0,F,1,0
63,Female,56,Greater than 45,Other,0,0,0,13,F,1,0
67,Female,23,Less than 25,Caucasian,0,1,0,4,F,1,0
67,Female,23,Less than 25,Other,0,1,0,4,F,1,0
68,Female,22,Less than 25,Caucasian,0,0,0,0,F,1,0
68,Female,22,Less than 25,Other,0,0,0,0,F,1,0
71,Male,24,Less than 25,Asian,0,0,0,7,F,0,1
71,Male,24,Less than 25,Caucasian,0,0,0,7,F,0,1
72,Female,22,Less than 25,Caucasian,0,0,0,5,F,1,0
72,Female,22,Less than 25,African-American,0,0,0,5,F,1,0
78,Female,23,Less than 25,Caucasian,0,0,0,3,F,1,0
78,Female,23,Less than 25,African-American,0,0,0,3,F,1,0
79,Female,23,Less than 25,Caucasian,0,0,0,0,F,1,0
79,Female,23,Less than 25,Asian,0,0,0,0,F,1,0
86,Female,21,Less than 25,Caucasian,0,0,0,0,F,1,0
86,Female,21,Less than 25,African-American,0,0,0,0,F,1,0
91,Female,22,Less than 25,Caucasian,0,0,2,0,F,1,0
91,Female,22,Less than 25,Other,0,0,2,0,F,1,0
92,Female,21,Less than 25,Caucasian,0,0,0,0,F,1,0
92,Female,21,Less than 25,Hispanic,0,0,0,0,F,1,0
94,Female,48,Greater than 45,Caucasian,1,0,0,10,F,1,0
94,Female,48,Greater than 45,Other,1,0,0,10,F,1,0
