Train_File_Name,Number_of_Rows_Train_File,Test_File_Name,Number_of_Rows_Test_File,ATN_Score,Mode
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_2_way_covering_array_bin_means_2024-12-31_11-59.csv,95,0.84,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_2_way_covering_array_bin_random_points_2024-12-31_11-59.csv,95,0.845,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_3_way_covering_array_bin_means_2024-12-31_11-59.csv,837,0.86,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_3_way_covering_array_bin_random_points_2024-12-31_11-59.csv,837,0.86,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_4_way_covering_array_bin_means_2024-12-31_11-59.csv,6704,0.865,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_4_way_covering_array_bin_random_points_2024-12-31_11-59.csv,6704,0.865,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_5_way_covering_array_bin_means_2024-12-31_11-59.csv,45241,0.865,not-equal
compas_train.csv,4937,7_multivariate_normal_sampled_instances_from_compas_train_4937_2024-12-31_11_5_way_covering_array_bin_random_points_2024-12-31_11-59.csv,45241,0.865,not-equal
compas_train.csv,4937,compas_train_2_way_covering_array_bin_means_2024-12-31_11-59.csv,95,0.845,not-equal
compas_train.csv,4937,compas_train_2_way_covering_array_bin_random_points_2024-12-31_11-59.csv,95,0.86,not-equal
compas_train.csv,4937,compas_train_3_way_covering_array_bin_means_2024-12-31_11-59.csv,837,0.86,not-equal
compas_train.csv,4937,compas_train_3_way_covering_array_bin_random_points_2024-12-31_11-59.csv,837,0.88,not-equal
compas_train.csv,4937,compas_train_4_way_covering_array_bin_means_2024-12-31_11-59.csv,6704,0.865,not-equal
compas_train.csv,4937,compas_train_4_way_covering_array_bin_random_points_2024-12-31_11-59.csv,6704,0.88,not-equal
compas_train.csv,4937,compas_train_5_way_covering_array_bin_means_2024-12-31_11-59.csv,45241,0.865,not-equal
compas_train.csv,4937,compas_train_5_way_covering_array_bin_random_points_2024-12-31_11-59.csv,45241,0.88,not-equal
compas_train.csv,4937,predictions_compas_train_2_way_covering_array_bin_means_2024-12-31_11-59_compas__logistic_regression__.csv,95,0.845,not-equal
compas_train.csv,4937,predictions_compas_train_2_way_covering_array_bin_means_2024-12-31_11-59_compas__nn__.csv,95,0.845,not-equal
compas_train.csv,4937,predictions_compas_train_2_way_covering_array_bin_means_2024-12-31_11-59_compas__random_forest__.csv,95,0.845,not-equal
compas_train.csv,4937,predictions_compas_train_2_way_covering_array_bin_means_2024-12-31_11-59_compas__svm__.csv,95,0.845,not-equal
