sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree
Male,51,Greater than 45,African-American,0,0,0,15,F
Male,52,Greater than 45,African-American,1,0,0,26,F
Male,51,Greater than 45,African-American,0,0,0,0,F
Male,37,25 - 45,African-American,0,0,0,0,M
Male,39,25 - 45,Caucasian,0,0,0,1,M
Male,39,25 - 45,Caucasian,0,0,0,1,F
Male,51,Greater than 45,African-American,0,0,0,2,F
Male,37,25 - 45,African-American,0,0,0,0,M
Male,48,Greater than 45,African-American,0,0,0,0,F
Male,47,Greater than 45,African-American,1,0,0,15,F
Male,47,Greater than 45,African-American,2,0,0,25,F
Male,48,Greater than 45,Caucasian,0,0,0,4,F
Male,48,Greater than 45,Caucasian,0,0,0,4,F
Male,33,25 - 45,African-American,0,0,0,0,F
Male,45,Greater than 45,African-American,0,0,0,0,F
Male,45,Greater than 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,1,1,0,9,F
Male,46,Greater than 45,African-American,1,0,0,14,M
Male,45,Greater than 45,African-American,0,0,0,1,F
Male,34,25 - 45,African-American,0,0,0,3,M
Male,31,25 - 45,Caucasian,1,0,0,6,F
Male,41,Greater than 45,African-American,1,0,0,24,F
Male,29,25 - 45,African-American,2,1,0,14,F
Male,40,25 - 45,African-American,0,0,0,0,M
Male,40,25 - 45,African-American,0,0,0,0,F
Male,32,25 - 45,African-American,0,0,0,4,F
Male,40,25 - 45,African-American,0,0,0,0,M
Male,29,25 - 45,Hispanic,0,1,0,9,F
Male,25,25 - 45,Caucasian,1,0,0,1,F
Male,24,Less than 25,Caucasian,0,0,0,0,F
Male,23,Less than 25,African-American,0,0,0,4,F
Male,22,Less than 25,African-American,0,0,0,1,M
Male,26,Less than 25,African-American,2,1,0,5,F
Male,30,25 - 45,African-American,2,0,1,15,M
Male,21,Less than 25,African-American,0,0,0,0,F
Male,23,Less than 25,Hispanic,2,2,2,2,F
Male,22,Less than 25,Caucasian,0,0,2,2,F
Male,20,Less than 25,African-American,0,0,0,0,F
Male,24,Less than 25,African-American,0,1,2,5,F
Male,21,Less than 25,African-American,2,2,0,4,F
Male,23,Less than 25,African-American,0,0,0,0,F
Male,19,Less than 25,African-American,1,0,0,1,F
Male,61,Greater than 45,African-American,0,1,0,9,F
Male,42,Greater than 45,African-American,0,0,0,0,F
Male,60,Greater than 45,Caucasian,0,0,0,0,M
Male,58,Greater than 45,Caucasian,0,0,0,6,F
Male,64,Greater than 45,African-American,0,0,0,0,F
Male,58,Greater than 45,African-American,0,0,0,0,M
Male,57,Greater than 45,African-American,1,0,0,10,M
Male,54,Greater than 45,African-American,0,0,0,3,F
Male,53,Greater than 45,Hispanic,0,0,0,0,M
Male,46,25 - 45,Caucasian,0,0,0,0,F
Male,54,Greater than 45,Caucasian,1,0,0,26,F
Male,53,Greater than 45,African-American,0,0,0,9,F
Male,42,25 - 45,African-American,1,0,0,14,F
Male,39,25 - 45,African-American,1,0,0,1,M
Male,50,Greater than 45,African-American,0,0,0,0,F
Male,39,25 - 45,African-American,0,0,0,0,F
Male,51,Greater than 45,African-American,1,0,0,25,F
Male,52,Greater than 45,African-American,1,0,0,15,M
Male,52,Greater than 45,Caucasian,0,0,0,4,M
Male,37,25 - 45,Caucasian,2,0,0,4,F
Male,50,Greater than 45,African-American,0,0,0,1,F
Male,50,Greater than 45,African-American,0,0,0,9,F
Male,47,Greater than 45,African-American,1,0,0,15,M
Male,32,25 - 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,0,0,0,0,F
Male,48,Greater than 45,Caucasian,1,0,0,1,M
Male,48,Greater than 45,Caucasian,0,0,0,1,F
Male,48,Greater than 45,African-American,0,0,0,7,F
Male,34,25 - 45,African-American,2,1,0,14,F
Male,47,Greater than 45,African-American,2,0,0,25,F
Male,38,25 - 45,African-American,0,0,0,0,F
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,0,1,0,15,F
Male,33,25 - 45,Caucasian,0,0,0,2,M
Male,39,25 - 45,African-American,0,0,0,0,M
Male,39,25 - 45,African-American,0,0,0,0,F
Male,40,25 - 45,African-American,0,0,0,15,M
Male,32,25 - 45,African-American,2,0,0,15,F
Male,29,25 - 45,African-American,0,0,0,5,F
Male,28,25 - 45,African-American,0,0,0,1,F
Male,28,25 - 45,Caucasian,1,0,1,1,F
Male,24,Less than 25,Caucasian,0,1,0,6,F
Male,30,25 - 45,Caucasian,1,0,0,2,M
Male,25,25 - 45,African-American,0,0,0,3,F
Male,30,25 - 45,African-American,0,0,0,1,F
Male,24,Less than 25,African-American,0,0,0,0,F
Male,22,Less than 25,African-American,0,0,0,0,F
Male,23,Less than 25,African-American,2,0,0,15,M
Male,23,Less than 25,Caucasian,0,0,2,1,F
Male,23,Less than 25,Caucasian,0,0,2,1,F
Male,20,Less than 25,African-American,1,1,1,4,F
Male,22,Less than 25,African-American,0,1,0,4,F
Male,19,Less than 25,African-American,0,0,0,0,M
Male,19,Less than 25,African-American,2,0,1,1,F
Male,24,Less than 25,African-American,2,0,0,2,F
Male,58,Greater than 45,African-American,0,0,0,9,M
Male,58,Greater than 45,African-American,0,0,0,0,M
Male,60,Greater than 45,Caucasian,0,0,0,25,F
Male,59,Greater than 45,Caucasian,0,0,0,0,M
Male,59,Greater than 45,African-American,0,0,0,10,F
Male,59,Greater than 45,African-American,0,0,0,0,M
Male,52,Greater than 45,African-American,2,0,0,17,F
Male,42,25 - 45,African-American,0,0,0,1,F
Male,42,25 - 45,African-American,0,0,0,8,M
Male,39,25 - 45,Caucasian,0,0,0,1,F
Male,53,Greater than 45,Caucasian,0,0,0,0,M
Male,53,Greater than 45,African-American,1,0,0,25,F
Male,47,25 - 45,African-American,1,0,0,11,F
Male,53,Greater than 45,African-American,0,0,0,0,M
Female,37,25 - 45,African-American,2,0,1,24,F
Female,50,Greater than 45,African-American,1,0,0,15,M
Female,51,Greater than 45,African-American,0,0,0,0,F
Female,52,Greater than 45,African-American,0,0,0,0,F
Female,51,Greater than 45,African-American,0,0,0,15,F
Female,53,Greater than 45,African-American,0,0,0,0,F
Female,39,25 - 45,Caucasian,0,0,0,4,F
Female,47,Greater than 45,African-American,0,0,0,0,M
Female,47,Greater than 45,African-American,0,0,0,0,F
Female,35,25 - 45,African-American,2,0,1,24,F
Female,37,25 - 45,African-American,1,1,1,15,F
Female,41,25 - 45,African-American,0,0,0,0,F
Female,34,25 - 45,African-American,0,0,0,4,F
