sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree
Male,49,Greater than 45,African-American,0,0,0,16,F
Male,50,Greater than 45,African-American,2,1,0,26,F
Male,50,Greater than 45,Caucasian,0,0,0,0,F
Male,39,25 - 45,Caucasian,0,0,0,0,M
Male,39,25 - 45,African-American,1,0,0,1,M
Male,38,25 - 45,African-American,0,0,0,1,F
Male,39,25 - 45,African-American,0,0,0,2,F
Male,49,Greater than 45,African-American,0,0,0,24,M
Male,33,25 - 45,African-American,0,1,0,15,F
Male,48,Greater than 45,Caucasian,0,0,0,2,F
Male,49,Greater than 45,Caucasian,0,0,0,0,F
Male,39,25 - 45,African-American,1,0,0,1,F
Male,48,Greater than 45,African-American,0,0,0,1,F
Male,34,25 - 45,African-American,1,0,0,9,F
Male,34,25 - 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,0,0,0,0,F
Male,48,Greater than 45,Caucasian,0,0,0,16,M
Male,49,Greater than 45,Caucasian,1,0,0,25,F
Male,39,25 - 45,African-American,2,0,0,9,F
Male,43,25 - 45,African-American,1,0,0,6,M
Male,48,Greater than 45,African-American,0,0,0,1,F
Male,49,Greater than 45,African-American,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,0,M
Male,34,25 - 45,Hispanic,0,0,0,9,F
Male,49,Greater than 45,African-American,2,1,0,14,F
Male,49,Greater than 45,African-American,1,0,0,9,F
Male,34,25 - 45,African-American,1,0,0,2,F
Male,49,Greater than 45,African-American,0,0,0,1,M
Male,38,25 - 45,African-American,0,0,0,1,F
Male,34,25 - 45,African-American,0,0,0,1,F
Male,49,Greater than 45,Caucasian,0,0,0,9,M
Male,50,Greater than 45,Caucasian,1,0,0,10,F
Male,49,Greater than 45,African-American,1,0,0,16,F
Male,34,25 - 45,African-American,2,0,0,24,F
Male,38,25 - 45,African-American,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,1,M
Male,39,25 - 45,African-American,0,0,0,1,F
Male,39,25 - 45,Caucasian,0,0,0,6,F
Male,50,Greater than 45,Caucasian,1,0,0,2,F
Male,34,25 - 45,African-American,2,1,1,23,F
Male,33,25 - 45,African-American,1,0,0,18,F
Male,49,Greater than 45,African-American,0,0,0,0,M
Male,49,Greater than 45,African-American,0,0,0,9,F
Male,49,Greater than 45,African-American,0,0,0,10,M
Male,34,25 - 45,Caucasian,0,0,0,0,F
Male,34,25 - 45,Caucasian,0,0,0,1,F
Male,41,25 - 45,African-American,0,0,0,0,M
Male,38,25 - 45,African-American,0,0,0,0,F
Male,49,Greater than 45,African-American,1,0,0,16,F
Male,34,25 - 45,African-American,0,1,0,9,F
Male,46,Greater than 45,African-American,0,0,0,16,M
Male,47,Greater than 45,Caucasian,0,0,0,0,F
Male,47,Greater than 45,Caucasian,0,0,0,0,F
Male,47,Greater than 45,African-American,1,0,0,1,F
Male,35,25 - 45,African-American,0,0,0,1,F
Male,33,25 - 45,African-American,1,0,0,9,M
Male,46,Greater than 45,African-American,0,1,0,14,F
Male,46,Greater than 45,African-American,0,0,0,25,F
Male,34,25 - 45,Caucasian,0,0,0,0,M
Male,46,Greater than 45,Caucasian,0,0,0,0,F
Male,33,25 - 45,African-American,1,0,0,1,F
Male,33,25 - 45,African-American,0,0,0,1,M
Male,46,Greater than 45,African-American,0,0,0,7,F
Male,46,Greater than 45,African-American,0,0,0,0,M
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,47,Greater than 45,Other,2,1,0,25,F
Male,34,25 - 45,Caucasian,0,0,0,15,F
Male,33,25 - 45,African-American,2,0,0,10,M
Male,46,Greater than 45,African-American,1,0,0,9,F
Male,34,25 - 45,African-American,0,0,0,1,F
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,34,25 - 45,African-American,0,0,0,2,F
Male,46,Greater than 45,Hispanic,0,0,0,16,F
Male,47,Greater than 45,Caucasian,0,0,0,25,M
Male,35,25 - 45,African-American,2,0,0,10,M
Male,46,Greater than 45,African-American,1,0,0,10,F
Male,33,25 - 45,African-American,0,0,0,1,F
Male,46,Greater than 45,African-American,0,0,0,1,F
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,34,25 - 45,African-American,0,0,0,4,F
Male,34,25 - 45,Caucasian,1,0,0,2,F
Male,46,Greater than 45,African-American,2,0,0,24,M
Male,33,25 - 45,African-American,1,0,0,18,M
Male,33,25 - 45,African-American,0,0,0,0,F
