sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree
Male,51,Greater than 45,African-American,1,0,0,26,F
Male,48,Greater than 45,African-American,0,0,0,0,F
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,30,25 - 45,African-American,0,0,0,1,M
Male,23,Less than 25,Caucasian,0,0,0,1,M
Male,22,Less than 25,Caucasian,0,1,0,1,F
Male,46,Greater than 45,African-American,0,0,0,4,F
Male,53,Greater than 45,African-American,1,0,0,13,F
Male,39,25 - 45,African-American,0,0,0,1,F
Male,39,25 - 45,African-American,0,0,0,0,M
Male,33,25 - 45,African-American,0,0,0,0,F
Male,35,25 - 45,African-American,2,0,0,26,F
Male,24,25 - 45,African-American,0,1,0,14,F
Male,20,Less than 25,African-American,2,1,1,3,F
Male,42,25 - 45,Caucasian,0,0,0,1,F
Male,53,Greater than 45,Caucasian,0,0,0,8,M
Female,51,Greater than 45,African-American,0,0,0,0,F
Female,49,Greater than 45,African-American,0,1,0,26,F
Female,46,Greater than 45,Caucasian,0,0,0,1,F
Female,30,25 - 45,African-American,0,0,0,0,F
Female,25,25 - 45,Hispanic,1,0,0,1,M
Female,23,Less than 25,African-American,0,0,0,2,F
Female,39,25 - 45,African-American,1,0,0,0,F
Female,46,25 - 45,Caucasian,0,0,0,4,M
Male,51,Greater than 45,African-American,1,0,0,7,F
Male,34,25 - 45,African-American,0,0,0,0,F
Male,46,Greater than 45,African-American,1,0,0,25,M
Male,26,25 - 45,African-American,0,0,0,0,M
Male,24,Less than 25,Caucasian,0,1,0,3,F
Male,19,Less than 25,Caucasian,0,0,0,0,F
Male,55,Greater than 45,African-American,0,0,0,8,M
Male,54,Greater than 45,African-American,0,0,0,1,F
Female,38,25 - 45,Caucasian,0,0,0,8,M
Male,49,Greater than 45,African-American,1,0,0,0,M
Male,34,25 - 45,African-American,0,0,1,1,F
Female,36,Greater than 45,Caucasian,0,0,0,4,F
Male,22,Less than 25,African-American,0,0,1,1,F
Male,25,Less than 25,African-American,2,0,0,2,F
Female,39,25 - 45,Caucasian,0,0,0,0,M
Female,37,25 - 45,African-American,0,0,0,0,F
Female,37,25 - 45,African-American,0,0,0,0,F
Female,38,25 - 45,African-American,1,0,0,2,F
Female,38,25 - 45,African-American,2,0,0,11,M
Female,35,Greater than 45,Hispanic,0,0,0,9,F
Female,29,25 - 45,African-American,0,2,0,13,F
Female,19,Less than 25,Caucasian,0,0,0,0,F
Female,55,Greater than 45,African-American,0,0,0,1,F
Female,45,25 - 45,African-American,0,0,0,1,F
Female,39,25 - 45,African-American,0,0,0,3,F
Female,38,25 - 45,Caucasian,0,0,0,5,F
Female,38,25 - 45,African-American,0,0,0,9,F
Female,27,25 - 45,African-American,0,0,0,2,F
Female,23,Less than 25,African-American,0,0,0,0,F
Female,22,Less than 25,African-American,2,0,0,1,F
Female,55,Greater than 45,Hispanic,0,0,0,8,F
Female,53,Greater than 45,African-American,0,0,0,0,M
Male,49,Greater than 45,African-American,1,0,0,13,F
Male,33,25 - 45,Caucasian,1,0,0,9,F
Male,25,25 - 45,African-American,1,0,0,5,M
Male,23,Less than 25,African-American,1,1,0,2,F
Male,37,25 - 45,African-American,0,0,0,1,M
Male,51,Greater than 45,Caucasian,0,0,0,4,F
Male,49,Greater than 45,African-American,0,0,0,0,M
Male,50,Greater than 45,Caucasian,0,0,0,10,F
Male,30,25 - 45,African-American,0,0,0,1,F
Male,28,25 - 45,African-American,2,1,0,9,F
Male,54,Greater than 45,African-American,1,0,0,26,F
Male,40,25 - 45,African-American,1,0,0,28,F
Male,54,Greater than 45,African-American,0,0,0,26,F
Male,51,Greater than 45,Caucasian,0,0,0,26,M
Female,47,Greater than 45,African-American,0,1,0,12,F
Male,47,25 - 45,African-American,0,0,0,15,F
Male,48,Greater than 45,African-American,0,0,0,1,M
Male,32,25 - 45,African-American,0,0,0,1,M
Male,34,25 - 45,African-American,0,0,0,9,F
Male,34,25 - 45,African-American,0,0,0,3,F
Male,24,25 - 45,African-American,0,0,0,1,F
Male,21,Less than 25,African-American,0,0,0,0,F
Male,25,Less than 25,African-American,2,1,0,4,M
Male,55,Greater than 45,African-American,0,0,0,0,F
Male,37,25 - 45,African-American,0,0,0,0,F
Male,39,25 - 45,Caucasian,0,0,0,0,M
Male,38,25 - 45,African-American,0,0,0,0,M
Male,38,25 - 45,African-American,2,1,0,12,F
Male,52,Greater than 45,African-American,1,0,0,13,F
Male,51,Greater than 45,African-American,0,0,0,1,F
Female,39,25 - 45,African-American,0,0,0,11,F
Female,22,Less than 25,African-American,0,2,2,5,F
Female,43,25 - 45,African-American,0,1,0,5,F
Female,43,25 - 45,African-American,0,0,0,5,F
Female,38,25 - 45,African-American,0,0,0,5,M
Male,44,25 - 45,African-American,0,0,0,2,F
Male,38,25 - 45,African-American,0,0,0,2,F
Male,38,25 - 45,African-American,0,0,0,4,F
Male,38,25 - 45,African-American,0,0,0,0,M
