original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
7,A12,45,A33,A43,14391,A64,A72,2,Female,A101,3,A123,20,A143,A151,1,A172,1,A192,A201,0,1
10,A11,7,A34,A46,2286,A61,A72,4,Male,A103,3,A124,35,A142,A151,2,A171,2,A192,A202,1,0
10,A11,7,A34,A46,2286,A61,A72,4,Male,A103,3,A124,21,A142,A151,2,A171,2,A192,A202,1,0
39,A13,45,A31,A41,14391,A65,A74,3,Female,A103,4,A124,25,A141,A151,4,A173,2,A191,A202,0,1
45,A11,16,A32,A49,2286,A62,A74,2,Female,A101,2,A121,23,A141,A151,4,A172,1,A192,A201,0,1
58,A13,7,A31,A45,2376,A62,A72,4,Male,A101,1,A123,23,A141,A153,3,A172,1,A192,A201,1,0
58,A13,7,A31,A45,2376,A62,A72,4,Male,A101,1,A123,40,A141,A153,3,A172,1,A192,A201,1,0
63,A14,45,A30,A45,14391,A63,A74,2,Female,A102,3,A124,20,A141,A153,3,A171,2,A191,A202,0,1
71,A11,45,A32,A410,1478,A65,A72,4,Female,A101,4,A122,22,A141,A153,4,A171,2,A191,A201,0,1
79,A11,45,A30,A48,2376,A62,A72,4,Male,A102,4,A121,55,A141,A153,2,A171,2,A191,A202,1,0
80,A11,48,A30,A48,2376,A61,A74,3,Male,A103,3,A123,72,A142,A151,3,A173,2,A191,A202,1,0
