original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
7,A12,45,A33,A43,14391,A64,A72,2,Female,A101,3,A123,20,A143,A151,1,A172,1,A192,A201,0,1
11,A14,9,A32,A46,14391,A63,A75,2,Female,A102,4,A123,22,A142,A153,3,A173,2,A191,A202,0,1
13,A12,16,A30,A46,1478,A62,A74,2,Female,A103,1,A124,23,A142,A152,1,A172,2,A191,A202,0,1
24,A12,48,A34,A42,14391,A61,A72,1,Female,A101,4,A123,24,A143,A153,4,A173,2,A191,A201,0,1
31,A11,45,A32,A40,2286,A65,A75,1,Male,A101,1,A121,60,A143,A152,2,A174,1,A192,A201,1,0
31,A11,45,A32,A40,2286,A65,A75,1,Male,A101,1,A121,23,A143,A152,2,A174,1,A192,A201,1,0
32,A12,48,A31,A40,2376,A63,A73,2,Female,A102,1,A124,21,A142,A153,1,A172,2,A192,A202,0,1
41,A13,4,A33,A49,2376,A61,A73,3,Female,A102,3,A123,19,A142,A153,4,A174,2,A191,A202,0,1
42,A14,7,A30,A49,2286,A65,A71,2,Female,A101,2,A122,23,A143,A151,1,A172,1,A192,A201,0,1
46,A11,21,A32,A49,2286,A65,A75,3,Male,A101,4,A121,59,A143,A152,3,A174,2,A191,A201,1,0
46,A11,21,A32,A49,2286,A65,A75,3,Male,A101,4,A121,21,A143,A152,3,A174,2,A191,A201,1,0
49,A11,4,A30,A44,2286,A62,A71,1,Female,A102,1,A123,19,A142,A152,1,A171,2,A191,A202,0,1
68,A12,13,A32,A410,14391,A65,A73,2,Female,A101,2,A122,25,A143,A152,2,A171,2,A192,A201,0,1
70,A12,21,A30,A410,14391,A62,A71,4,Male,A103,1,A121,60,A141,A153,3,A173,2,A191,A202,1,0
70,A12,21,A30,A410,14391,A62,A71,4,Male,A103,1,A121,22,A141,A153,3,A173,2,A191,A202,1,0
71,A11,45,A32,A410,1478,A65,A72,4,Male,A101,4,A122,37,A141,A153,4,A171,2,A191,A201,1,0
71,A11,45,A32,A410,1478,A65,A72,4,Male,A101,4,A122,20,A141,A153,4,A171,2,A191,A201,1,0
72,A14,48,A34,A410,14391,A61,A72,2,Female,A103,4,A122,25,A141,A151,1,A171,2,A192,A202,0,1
73,A14,4,A30,A48,2286,A63,A71,3,Male,A102,3,A124,67,A142,A152,1,A173,2,A191,A202,1,0
76,A12,13,A32,A48,14391,A61,A73,2,Male,A101,4,A122,56,A143,A153,2,A171,1,A192,A201,1,0
76,A12,13,A32,A48,14391,A61,A73,2,Male,A101,4,A122,22,A143,A153,2,A171,1,A192,A201,1,0
79,A11,45,A30,A48,2376,A62,A72,4,Male,A102,4,A121,55,A141,A153,2,A171,2,A191,A202,1,0
79,A11,45,A30,A48,2376,A62,A72,4,Male,A102,4,A121,24,A141,A153,2,A171,2,A191,A202,1,0
