original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
3,A11,14,A34,A41,762,A61,A75,4,Female,A101,3,A124,63,A143,A152,2,A173,2,A191,A201,0,1
3,A11,14,A34,A41,762,A61,A75,4,Female,A101,3,A124,19,A143,A152,2,A173,2,A191,A201,0,1
3,A11,14,A34,A41,762,A61,A75,4,Male,A101,3,A124,19,A143,A152,2,A173,2,A191,A201,0,1
4,A11,38,A32,A41,5026,A61,A74,4,Female,A101,4,A124,23,A143,A153,1,A174,1,A192,A201,0,1
5,A11,33,A34,A41,8414,A61,A75,3,Female,A101,4,A124,24,A143,A153,3,A174,1,A192,A201,0,1
19,A11,34,A32,A42,2078,A61,A75,2,Female,A103,3,A122,60,A143,A152,1,A173,1,A191,A201,0,1
19,A11,34,A32,A42,2078,A61,A75,2,Female,A103,3,A122,20,A143,A152,1,A173,1,A191,A201,0,1
29,A14,21,A32,A41,14254,A65,A75,4,Female,A101,4,A124,23,A143,A153,1,A174,1,A192,A201,0,1
31,A12,19,A32,A42,2384,A61,A75,1,Male,A101,4,A123,61,A143,A151,1,A173,1,A191,A201,1,0
41,A11,5,A32,A46,3827,A65,A75,3,Female,A101,3,A124,34,A143,A153,1,A173,2,A192,A201,0,1
41,A11,5,A32,A46,3827,A65,A75,3,Female,A101,3,A124,23,A143,A153,1,A173,2,A192,A201,0,1
45,A12,46,A31,A41,11356,A65,A73,4,Female,A101,4,A124,33,A143,A153,1,A173,1,A192,A201,0,1
45,A12,46,A31,A41,11356,A65,A73,4,Female,A101,4,A124,20,A143,A153,1,A173,1,A192,A201,0,1
62,A12,23,A32,A41,4728,A61,A75,4,Male,A101,4,A124,26,A143,A153,1,A174,1,A192,A201,1,0
62,A12,23,A32,A41,4728,A61,A75,4,Male,A101,4,A124,25,A143,A153,1,A174,1,A192,A201,1,0
70,A12,10,A32,A41,5043,A65,A75,2,Female,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,0,1
70,A12,10,A32,A41,5043,A65,A75,2,Female,A101,4,A124,23,A141,A153,1,A174,1,A192,A201,0,1
75,A12,17,A32,A43,705,A65,A72,3,Female,A101,1,A122,30,A143,A152,1,A172,1,A191,A201,0,1
75,A12,17,A32,A43,705,A65,A72,3,Female,A101,1,A122,23,A143,A152,1,A172,1,A191,A201,0,1
76,A11,11,A32,A40,2788,A65,A73,4,Female,A101,2,A124,48,A143,A151,1,A173,1,A191,A202,0,1
76,A11,11,A32,A40,2788,A65,A73,4,Female,A101,2,A124,20,A143,A151,1,A173,1,A191,A202,0,1
80,A12,25,A32,A43,2203,A62,A75,4,Female,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,0,1
80,A12,25,A32,A43,2203,A62,A75,4,Female,A101,1,A123,19,A143,A152,1,A173,1,A192,A201,0,1
103,A14,17,A34,A40,12285,A65,A75,4,Female,A101,4,A124,22,A143,A152,1,A174,1,A192,A201,0,1
