original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
4,A11,38,A32,A41,5026,A61,A74,4,Female,A101,4,A124,23,A143,A153,1,A174,1,A192,A201,0,1
4,A11,38,A32,A41,5026,A61,A74,4,Male,A101,4,A124,23,A143,A153,1,A174,1,A192,A201,0,1
7,A11,14,A32,A42,2343,A61,A75,4,Male,A101,4,A123,63,A143,A151,1,A173,1,A191,A201,0,1
19,A11,34,A32,A42,2078,A61,A75,2,Female,A103,3,A122,20,A143,A152,1,A173,1,A191,A201,0,1
30,A11,16,A32,A43,1014,A61,A73,4,Female,A101,3,A123,50,A143,A152,1,A172,1,A191,A201,0,1
32,A11,17,A32,A41,5897,A61,A75,3,Female,A101,4,A122,25,A143,A152,1,A173,1,A192,A201,1,0
32,A11,17,A32,A41,5897,A61,A75,3,Male,A101,4,A122,24,A143,A152,1,A173,1,A192,A201,1,0
38,A11,17,A32,A41,1337,A61,A75,4,Female,A101,4,A122,27,A143,A153,1,A173,1,A192,A201,1,0
38,A11,17,A32,A41,1337,A61,A75,4,Female,A101,4,A122,21,A143,A153,1,A173,1,A192,A201,1,0
62,A12,23,A32,A41,4728,A61,A75,4,Male,A101,4,A124,26,A143,A153,1,A174,1,A192,A201,1,0
62,A12,23,A32,A41,4728,A61,A75,4,Male,A101,4,A124,25,A143,A153,1,A174,1,A192,A201,1,0
72,A11,49,A34,A43,2550,A61,A75,4,Female,A101,3,A123,22,A143,A152,2,A173,1,A191,A201,0,1
76,A11,11,A32,A40,2788,A65,A73,4,Female,A101,2,A124,48,A143,A151,1,A173,1,A191,A202,0,1
76,A11,11,A32,A40,2788,A65,A73,4,Female,A101,2,A124,20,A143,A151,1,A173,1,A191,A202,0,1
76,A11,11,A32,A40,2788,A65,A73,4,Male,A101,2,A124,21,A143,A151,1,A173,1,A191,A202,0,1
81,A11,23,A32,A40,2552,A65,A74,4,Female,A101,3,A123,23,A143,A152,2,A173,1,A192,A201,0,1
86,A12,23,A32,A43,3400,A61,A72,2,Female,A101,1,A123,61,A143,A152,1,A173,1,A192,A201,1,0
86,A12,23,A32,A43,3400,A61,A72,2,Female,A101,1,A123,23,A143,A152,1,A173,1,A192,A201,1,0
86,A12,23,A32,A43,3400,A61,A72,2,Male,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1,0
87,A11,7,A32,A40,347,A65,A75,3,Female,A101,4,A124,23,A143,A151,1,A173,1,A191,A201,0,1
87,A11,7,A32,A40,347,A65,A75,3,Male,A101,4,A124,19,A143,A151,1,A173,1,A191,A201,0,1
118,A11,44,A34,A42,3304,A61,A72,2,Male,A101,4,A123,35,A143,A152,2,A173,1,A192,A201,1,0
123,A11,14,A32,A43,3205,A61,A73,4,Male,A101,2,A123,20,A143,A152,1,A173,1,A191,A201,0,1
123,A11,14,A32,A43,3205,A61,A73,4,Male,A101,2,A123,59,A143,A152,1,A173,1,A191,A201,0,1
