original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
22,A11,20,A32,A41,4229,A61,A75,4,Female,A101,4,A124,40,A143,A153,2,A173,1,A191,A201,0,1
22,A11,20,A32,A41,4229,A61,A75,4,Female,A101,4,A124,25,A143,A153,2,A173,1,A191,A201,0,1
27,A11,20,A32,A41,9618,A61,A75,4,Male,A101,4,A124,49,A143,A153,1,A174,1,A192,A201,1,0
27,A11,20,A32,A41,9618,A61,A75,4,Male,A101,4,A124,23,A143,A153,1,A174,1,A192,A201,1,0
33,A11,44,A34,A41,6490,A61,A75,3,Female,A101,4,A124,75,A143,A153,2,A173,2,A191,A201,0,1
33,A11,44,A34,A41,6490,A61,A75,3,Female,A101,4,A124,19,A143,A153,2,A173,2,A191,A201,0,1
37,A11,24,A32,A43,1095,A63,A73,4,Male,A101,2,A123,74,A141,A152,1,A173,1,A191,A201,1,0
41,A11,16,A32,A42,2949,A63,A73,2,Male,A101,4,A123,22,A143,A151,3,A173,1,A191,A201,1,0
41,A11,16,A32,A42,2949,A63,A73,2,Female,A101,4,A123,74,A143,A151,3,A173,1,A191,A201,1,0
41,A11,16,A32,A42,2949,A63,A73,2,Male,A101,4,A123,60,A143,A151,3,A173,1,A191,A201,1,0
53,A11,14,A34,A43,2466,A61,A75,4,Female,A101,3,A124,48,A143,A152,2,A173,1,A191,A201,0,1
53,A11,14,A34,A43,2466,A61,A75,4,Female,A101,3,A124,22,A143,A152,2,A173,1,A191,A201,0,1
58,A11,13,A34,A40,2761,A61,A75,4,Female,A101,4,A124,41,A143,A153,2,A173,1,A191,A201,0,1
58,A11,13,A34,A40,2761,A61,A75,4,Female,A101,4,A124,22,A143,A153,2,A173,1,A191,A201,0,1
67,A11,12,A34,A40,2748,A61,A71,2,Female,A101,4,A124,29,A143,A153,3,A171,2,A191,A201,0,1
67,A11,12,A34,A40,2748,A61,A71,2,Female,A101,4,A124,25,A143,A153,3,A171,2,A191,A201,0,1
77,A12,41,A31,A41,12378,A61,A75,2,Male,A101,4,A124,54,A143,A153,1,A174,1,A192,A201,1,0
77,A12,41,A31,A41,12378,A61,A75,2,Male,A101,4,A124,25,A143,A153,1,A174,1,A192,A201,1,0
85,A11,12,A32,A40,2584,A61,A73,4,Male,A102,4,A121,36,A143,A151,2,A173,1,A191,A202,1,0
85,A11,12,A32,A40,2584,A61,A73,4,Male,A102,4,A121,24,A143,A151,2,A173,1,A191,A202,1,0
93,A11,48,A32,A41,1205,A61,A75,3,Female,A101,4,A124,25,A143,A153,1,A173,1,A192,A201,0,1
102,A11,10,A32,A43,584,A61,A75,2,Female,A101,4,A123,48,A143,A151,2,A173,2,A191,A201,0,1
102,A11,10,A32,A43,584,A61,A75,2,Female,A101,4,A123,22,A143,A151,2,A173,2,A191,A201,0,1
136,A12,48,A32,A41,2112,A62,A75,4,Female,A101,4,A124,22,A143,A153,1,A173,1,A191,A201,0,1
148,A12,50,A32,A49,7704,A65,A73,4,Female,A101,4,A124,34,A143,A153,1,A173,1,A192,A201,0,1
148,A12,50,A32,A49,7704,A65,A73,4,Female,A101,4,A124,24,A143,A153,1,A173,1,A192,A201,0,1
176,A11,20,A34,A42,8384,A61,A75,4,Female,A101,4,A124,43,A143,A153,1,A173,1,A192,A201,0,1
176,A11,20,A34,A42,8384,A61,A75,4,Female,A101,4,A124,19,A143,A153,1,A173,1,A192,A201,0,1
188,A11,9,A32,A40,2082,A65,A75,4,Female,A101,4,A122,21,A143,A151,3,A173,1,A192,A201,0,1
198,A11,13,A32,A40,5805,A61,A75,2,Female,A101,2,A124,64,A143,A153,1,A174,1,A192,A201,0,1
198,A11,13,A32,A40,5805,A61,A75,2,Female,A101,2,A124,22,A143,A153,1,A174,1,A192,A201,0,1
208,A11,21,A32,A42,5136,A61,A73,2,Female,A101,2,A122,68,A143,A152,2,A172,1,A191,A201,0,1
208,A11,21,A32,A42,5136,A61,A73,2,Female,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,0,1
224,A11,26,A34,A42,5709,A61,A75,4,Female,A101,4,A122,30,A143,A151,1,A174,1,A192,A201,0,1
224,A11,26,A34,A42,5709,A61,A75,4,Female,A101,4,A122,25,A143,A151,1,A174,1,A192,A201,0,1
228,A11,14,A32,A40,1187,A61,A73,4,Female,A101,4,A121,47,A143,A152,1,A172,2,A192,A201,0,1
228,A11,14,A32,A40,1187,A61,A73,4,Female,A101,4,A121,22,A143,A152,1,A172,2,A192,A201,0,1
248,A11,11,A32,A43,1575,A61,A73,2,Male,A101,2,A123,20,A141,A152,1,A173,1,A191,A201,1,0
248,A11,11,A32,A43,1575,A61,A73,2,Male,A101,2,A123,42,A141,A152,1,A173,1,A191,A201,1,0
252,A11,16,A32,A42,3065,A61,A73,4,Male,A102,3,A123,70,A143,A151,1,A173,1,A191,A202,1,0
252,A11,16,A32,A42,3065,A61,A73,4,Male,A102,3,A123,25,A143,A151,1,A173,1,A191,A202,1,0
256,A13,22,A31,A40,1164,A61,A72,2,Female,A103,2,A124,68,A141,A152,1,A172,2,A191,A202,0,1
256,A13,22,A31,A40,1164,A61,A72,2,Female,A103,2,A124,21,A141,A152,1,A172,2,A191,A202,0,1
257,A12,14,A32,A42,930,A61,A75,2,Female,A101,2,A123,25,A141,A152,1,A173,1,A191,A201,0,1
269,A12,47,A32,A41,10729,A61,A75,3,Female,A101,2,A124,26,A143,A153,1,A174,1,A192,A201,0,1
269,A12,47,A32,A41,10729,A61,A75,3,Female,A101,2,A124,23,A143,A153,1,A174,1,A192,A201,0,1
278,A11,44,A34,A41,14042,A61,A75,3,Female,A101,4,A122,57,A143,A152,2,A173,2,A192,A201,0,1
278,A11,44,A34,A41,14042,A61,A75,3,Female,A101,4,A122,21,A143,A152,2,A173,2,A192,A201,0,1
282,A11,60,A34,A41,8523,A61,A75,3,Female,A101,2,A124,38,A143,A153,3,A174,1,A192,A201,0,1
282,A11,60,A34,A41,8523,A61,A75,3,Female,A101,2,A124,25,A143,A153,3,A174,1,A192,A201,0,1
290,A11,15,A32,A42,1194,A61,A73,4,Female,A101,3,A121,19,A143,A152,1,A172,1,A191,A201,0,1
297,A11,15,A34,A40,1483,A61,A75,4,Female,A101,1,A122,22,A143,A152,2,A173,1,A191,A201,0,1
329,A11,22,A32,A41,5778,A61,A75,4,Female,A101,4,A124,75,A143,A153,1,A174,1,A191,A201,0,1
329,A11,22,A32,A41,5778,A61,A75,4,Female,A101,4,A124,25,A143,A153,1,A174,1,A191,A201,0,1
349,A11,24,A32,A43,590,A61,A72,4,Female,A101,1,A121,66,A143,A152,1,A173,1,A191,A201,0,1
349,A11,24,A32,A43,590,A61,A72,4,Female,A101,1,A121,25,A143,A152,1,A173,1,A191,A201,0,1
362,A11,24,A31,A41,6321,A65,A75,4,Female,A101,4,A124,47,A141,A153,1,A173,1,A192,A201,0,1
362,A11,24,A31,A41,6321,A65,A75,4,Female,A101,4,A124,23,A141,A153,1,A173,1,A192,A201,0,1
369,A11,59,A34,A41,4355,A65,A75,3,Female,A101,4,A124,35,A143,A151,2,A173,1,A192,A201,0,1
369,A11,59,A34,A41,4355,A65,A75,3,Female,A101,4,A124,21,A143,A151,2,A173,1,A192,A201,0,1
387,A11,35,A34,A40,1924,A61,A75,4,Female,A101,4,A123,35,A143,A152,2,A173,1,A192,A201,0,1
387,A11,35,A34,A40,1924,A61,A75,4,Female,A101,4,A123,19,A143,A152,2,A173,1,A192,A201,0,1
405,A11,15,A32,A41,734,A61,A72,4,Male,A101,3,A123,37,A143,A151,1,A173,1,A192,A201,1,0
405,A11,15,A32,A41,734,A61,A72,4,Male,A101,3,A123,22,A143,A151,1,A173,1,A192,A201,1,0
415,A11,18,A34,A42,1730,A61,A75,4,Male,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,1,0
415,A11,18,A34,A42,1730,A61,A75,4,Female,A101,4,A122,49,A143,A151,1,A173,1,A191,A201,1,0
415,A11,18,A34,A42,1730,A61,A75,4,Male,A101,4,A122,59,A143,A151,1,A173,1,A191,A201,1,0
420,A11,14,A32,A40,2239,A61,A73,2,Female,A103,2,A121,36,A143,A151,2,A173,2,A191,A201,0,1
420,A11,14,A32,A40,2239,A61,A73,2,Female,A103,2,A121,21,A143,A151,2,A173,2,A191,A201,0,1
423,A11,24,A32,A43,1057,A61,A72,3,Male,A101,1,A121,66,A143,A152,1,A173,1,A191,A201,1,0
423,A11,24,A32,A43,1057,A61,A72,3,Male,A101,1,A121,23,A143,A152,1,A173,1,A191,A201,1,0
433,A11,20,A34,A40,3262,A61,A75,4,Female,A101,3,A123,71,A143,A152,3,A173,1,A192,A201,0,1
433,A11,20,A34,A40,3262,A61,A75,4,Female,A101,3,A123,20,A143,A152,3,A173,1,A192,A201,0,1
439,A11,14,A32,A43,1956,A61,A74,2,Male,A101,3,A124,38,A143,A151,1,A173,1,A191,A201,1,0
452,A11,13,A34,A40,5960,A61,A75,4,Female,A101,4,A124,23,A143,A153,1,A174,1,A192,A201,0,1
456,A11,13,A32,A43,2077,A61,A73,2,Male,A101,2,A123,62,A141,A152,1,A173,1,A191,A201,1,0
456,A11,13,A32,A43,2077,A61,A73,2,Male,A101,2,A123,20,A141,A152,1,A173,1,A191,A201,1,0
458,A11,12,A32,A40,977,A61,A75,4,Female,A101,4,A121,22,A143,A152,1,A173,1,A192,A201,0,1
465,A11,29,A32,A42,3363,A61,A73,2,Male,A101,3,A123,21,A143,A152,1,A173,1,A191,A201,1,0
465,A11,29,A32,A42,3363,A61,A73,2,Male,A101,3,A123,35,A143,A152,1,A173,1,A191,A201,1,0
472,A11,16,A32,A43,1114,A61,A73,4,Male,A101,3,A123,63,A143,A152,1,A173,1,A191,A201,1,0
472,A11,16,A32,A43,1114,A61,A73,4,Male,A101,3,A123,19,A143,A152,1,A173,1,A191,A201,1,0
482,A11,44,A32,A41,3592,A65,A74,4,Female,A101,3,A124,24,A142,A152,1,A174,2,A192,A201,0,1
483,A11,14,A32,A43,1246,A61,A73,4,Female,A101,3,A123,20,A143,A152,1,A173,1,A191,A201,0,1
489,A11,39,A32,A41,7561,A61,A75,3,Female,A101,4,A122,64,A143,A152,2,A173,2,A192,A201,0,1
489,A11,39,A32,A41,7561,A61,A75,3,Female,A101,4,A122,21,A143,A152,2,A173,2,A192,A201,0,1
489,A11,39,A32,A41,7561,A61,A75,3,Male,A101,4,A122,24,A143,A152,2,A173,2,A192,A201,0,1
491,A11,13,A32,A42,2428,A61,A75,4,Female,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,0,1
491,A11,13,A32,A42,2428,A61,A75,4,Female,A101,4,A122,20,A143,A152,1,A173,1,A191,A201,0,1
510,A11,22,A32,A41,5300,A65,A75,4,Female,A101,4,A124,24,A143,A151,1,A174,1,A192,A201,0,1
520,A11,13,A32,A40,1002,A65,A75,4,Male,A101,3,A124,55,A143,A152,1,A173,1,A191,A201,1,0
571,A11,21,A34,A45,1344,A61,A75,3,Female,A101,4,A124,23,A143,A153,2,A173,1,A191,A201,0,1
577,A11,10,A32,A43,593,A61,A73,4,Female,A101,4,A121,56,A143,A151,3,A173,1,A191,A201,0,1
577,A11,10,A32,A43,593,A61,A73,4,Female,A101,4,A121,25,A143,A151,3,A173,1,A191,A201,0,1
577,A11,10,A32,A43,593,A61,A73,4,Male,A101,4,A121,21,A143,A151,3,A173,1,A191,A201,0,1
585,A11,46,A34,A41,9549,A61,A75,4,Female,A101,4,A122,52,A143,A152,2,A173,2,A192,A201,0,1
585,A11,46,A34,A41,9549,A61,A75,4,Female,A101,4,A122,23,A143,A152,2,A173,2,A192,A201,0,1
586,A14,34,A32,A41,15701,A61,A72,4,Female,A101,4,A123,73,A143,A151,1,A174,1,A192,A201,0,1
586,A14,34,A32,A41,15701,A61,A72,4,Female,A101,4,A123,19,A143,A151,1,A174,1,A192,A201,0,1
590,A11,18,A32,A43,510,A61,A72,4,Female,A101,1,A121,72,A143,A152,1,A172,2,A191,A201,0,1
590,A11,18,A32,A43,510,A61,A72,4,Female,A101,1,A121,22,A143,A152,1,A172,2,A191,A201,0,1
590,A11,18,A32,A43,510,A61,A72,4,Male,A101,1,A121,20,A143,A152,1,A172,2,A191,A201,0,1
591,A11,19,A32,A41,7319,A61,A75,4,Male,A101,4,A124,72,A143,A153,1,A174,1,A191,A201,1,0
591,A11,19,A32,A41,7319,A61,A75,4,Male,A101,4,A124,20,A143,A153,1,A174,1,A191,A201,1,0
604,A11,41,A34,A41,9016,A61,A75,4,Female,A101,4,A124,49,A143,A153,3,A174,1,A192,A201,0,1
604,A11,41,A34,A41,9016,A61,A75,4,Female,A101,4,A124,22,A143,A153,3,A174,1,A192,A201,0,1
605,A11,27,A32,A43,2550,A61,A73,4,Male,A101,3,A123,69,A143,A152,1,A173,1,A191,A201,1,0
638,A11,24,A34,A41,3344,A61,A72,4,Male,A101,4,A123,30,A143,A151,1,A173,1,A191,A201,1,0
638,A11,24,A34,A41,3344,A61,A72,4,Male,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,0
664,A11,37,A34,A42,9281,A61,A75,4,Female,A101,4,A122,56,A143,A152,2,A173,1,A192,A201,0,1
664,A11,37,A34,A42,9281,A61,A75,4,Female,A101,4,A122,22,A143,A152,2,A173,1,A192,A201,0,1
664,A11,37,A34,A42,9281,A61,A75,4,Male,A101,4,A122,24,A143,A152,2,A173,1,A192,A201,0,1
665,A11,21,A32,A41,12489,A61,A75,4,Male,A101,4,A124,70,A143,A153,1,A174,1,A192,A201,1,0
678,A11,23,A32,A42,3812,A61,A73,2,Male,A101,4,A123,33,A143,A152,3,A173,1,A191,A201,1,0
689,A11,24,A34,A42,8287,A61,A75,4,Female,A101,4,A124,52,A143,A153,1,A173,1,A192,A201,0,1
689,A11,24,A34,A42,8287,A61,A75,4,Female,A101,4,A124,22,A143,A153,1,A173,1,A192,A201,0,1
691,A11,44,A32,A41,4449,A61,A73,3,Female,A101,2,A122,44,A143,A152,1,A173,2,A192,A201,0,1
691,A11,44,A32,A41,4449,A61,A73,3,Female,A101,2,A122,21,A143,A152,1,A173,2,A192,A201,0,1
716,A11,16,A32,A42,3447,A61,A73,2,Male,A102,3,A122,44,A143,A152,1,A173,1,A191,A201,1,0
716,A11,16,A32,A42,3447,A61,A73,2,Male,A102,3,A122,23,A143,A152,1,A173,1,A191,A201,1,0
725,A11,19,A32,A41,4033,A65,A75,4,Male,A101,4,A124,72,A143,A151,1,A173,1,A191,A201,1,0
725,A11,19,A32,A41,4033,A65,A75,4,Male,A101,4,A124,24,A143,A151,1,A173,1,A191,A201,1,0
747,A11,6,A32,A40,613,A61,A75,4,Female,A101,4,A124,74,A143,A153,1,A173,1,A192,A201,0,1
747,A11,6,A32,A40,613,A61,A75,4,Female,A101,4,A124,25,A143,A153,1,A173,1,A192,A201,0,1
755,A11,19,A32,A43,2811,A61,A72,3,Female,A101,1,A123,29,A143,A152,1,A173,1,A191,A201,0,1
755,A11,19,A32,A43,2811,A61,A72,3,Female,A101,1,A123,19,A143,A152,1,A173,1,A191,A201,0,1
755,A11,19,A32,A43,2811,A61,A72,3,Male,A101,1,A123,22,A143,A152,1,A173,1,A191,A201,0,1
782,A11,23,A32,A40,2638,A65,A74,4,Female,A101,2,A123,52,A141,A152,2,A173,1,A192,A201,0,1
782,A11,23,A32,A40,2638,A65,A74,4,Female,A101,2,A123,19,A141,A152,2,A173,1,A192,A201,0,1
786,A11,25,A32,A43,2333,A61,A72,4,Male,A101,1,A123,68,A143,A152,1,A173,1,A192,A201,1,0
796,A11,11,A32,A41,2407,A61,A73,4,Male,A101,4,A123,71,A143,A151,3,A173,1,A191,A201,1,0
796,A11,11,A32,A41,2407,A61,A73,4,Male,A101,4,A123,22,A143,A151,3,A173,1,A191,A201,1,0
841,A12,44,A30,A40,1752,A63,A73,1,Male,A101,4,A123,20,A143,A152,2,A173,1,A192,A201,1,0
841,A12,44,A30,A40,1752,A63,A73,1,Female,A101,4,A123,57,A143,A152,2,A173,1,A192,A201,1,0
841,A12,44,A30,A40,1752,A63,A73,1,Male,A101,4,A123,35,A143,A152,2,A173,1,A192,A201,1,0
853,A11,23,A32,A42,4693,A61,A75,2,Female,A101,4,A122,50,A143,A152,1,A173,1,A191,A201,0,1
853,A11,23,A32,A42,4693,A61,A75,2,Female,A101,4,A122,24,A143,A152,1,A173,1,A191,A201,0,1
870,A11,37,A33,A41,3081,A65,A75,4,Female,A101,3,A124,60,A142,A152,2,A173,2,A192,A201,0,1
870,A11,37,A33,A41,3081,A65,A75,4,Female,A101,3,A124,25,A142,A152,2,A173,2,A192,A201,0,1
870,A11,37,A33,A41,3081,A65,A75,4,Male,A101,3,A124,23,A142,A152,2,A173,2,A192,A201,0,1
871,A11,16,A32,A42,1290,A61,A73,2,Male,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,0
871,A11,16,A32,A42,1290,A61,A73,2,Male,A101,4,A123,59,A143,A151,1,A173,1,A191,A201,1,0
878,A11,16,A32,A40,1223,A62,A75,4,Male,A101,2,A123,66,A143,A152,2,A173,1,A192,A201,1,0
878,A11,16,A32,A40,1223,A62,A75,4,Male,A101,2,A123,23,A143,A152,2,A173,1,A192,A201,1,0
893,A11,9,A32,A40,699,A61,A75,4,Female,A101,4,A124,38,A141,A153,1,A173,1,A191,A202,0,1
893,A11,9,A32,A40,699,A61,A75,4,Female,A101,4,A124,20,A141,A153,1,A173,1,A191,A202,0,1
930,A11,35,A32,A41,4286,A61,A75,2,Female,A101,4,A124,56,A143,A153,1,A173,2,A191,A201,0,1
930,A11,35,A32,A41,4286,A61,A75,2,Female,A101,4,A124,23,A143,A153,1,A173,2,A191,A201,0,1
936,A11,46,A32,A43,4356,A65,A74,4,Female,A101,3,A124,39,A143,A152,1,A173,2,A192,A201,0,1
936,A11,46,A32,A43,4356,A65,A74,4,Female,A101,3,A124,23,A143,A152,1,A173,2,A192,A201,0,1
940,A12,49,A32,A43,8981,A65,A75,4,Female,A101,4,A124,72,A143,A153,1,A173,1,A191,A201,0,1
940,A12,49,A32,A43,8981,A65,A75,4,Female,A101,4,A124,19,A143,A153,1,A173,1,A191,A201,0,1
942,A11,60,A34,A41,7334,A61,A75,3,Female,A101,4,A124,21,A143,A153,1,A173,1,A192,A201,0,1
948,A12,42,A32,A41,12485,A61,A75,3,Female,A101,2,A124,36,A143,A153,1,A174,1,A192,A201,0,1
948,A12,42,A32,A41,12485,A61,A75,3,Female,A101,2,A124,19,A143,A153,1,A174,1,A192,A201,0,1
948,A12,42,A32,A41,12485,A61,A75,3,Male,A101,2,A124,20,A143,A153,1,A174,1,A192,A201,0,1
959,A11,13,A32,A42,2204,A61,A74,4,Female,A101,3,A122,57,A143,A151,1,A173,1,A191,A201,0,1
959,A11,13,A32,A42,2204,A61,A74,4,Female,A101,3,A122,23,A143,A151,1,A173,1,A191,A201,0,1
969,A12,12,A32,A40,1040,A61,A75,4,Male,A101,1,A121,46,A143,A152,1,A173,1,A191,A201,1,0
969,A12,12,A32,A40,1040,A61,A75,4,Male,A101,1,A121,19,A143,A152,1,A173,1,A191,A201,1,0
976,A11,17,A32,A40,1173,A65,A72,4,Male,A101,1,A122,70,A143,A152,1,A173,1,A191,A201,1,0
976,A11,17,A32,A40,1173,A65,A72,4,Male,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,1,0
