original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
26,A12,25,A31,A41,2190,A61,A75,4,Female,A101,2,A124,73,A141,A152,1,A173,1,A191,A201,0,1
26,A12,25,A31,A41,2190,A61,A75,4,Female,A101,2,A124,23,A141,A152,1,A173,1,A191,A201,0,1
54,A11,20,A32,A40,3489,A61,A75,4,Female,A103,4,A124,48,A143,A151,1,A173,1,A191,A202,0,1
54,A11,20,A32,A40,3489,A61,A75,4,Female,A103,4,A124,22,A143,A151,1,A173,1,A191,A202,0,1
99,A11,21,A32,A41,8230,A61,A75,4,Male,A101,4,A124,30,A143,A151,1,A174,1,A192,A201,1,0
99,A11,21,A32,A41,8230,A61,A75,4,Male,A101,4,A124,24,A143,A151,1,A174,1,A192,A201,1,0
101,A11,23,A32,A41,2082,A61,A74,3,Male,A101,4,A124,42,A143,A151,1,A173,1,A191,A201,1,0
101,A11,23,A32,A41,2082,A61,A74,3,Male,A101,4,A124,21,A143,A151,1,A173,1,A191,A201,1,0
109,A11,23,A32,A40,1215,A65,A75,4,Male,A101,4,A124,68,A141,A153,1,A173,1,A191,A201,1,0
109,A11,23,A32,A40,1215,A65,A75,4,Male,A101,4,A124,22,A141,A153,1,A173,1,A191,A201,1,0
152,A11,27,A32,A41,3508,A61,A75,3,Female,A101,2,A124,45,A143,A151,2,A173,2,A191,A201,0,1
152,A11,27,A32,A41,3508,A61,A75,3,Female,A101,2,A124,23,A143,A151,2,A173,2,A191,A201,0,1
174,A11,60,A34,A41,8083,A61,A75,4,Female,A101,4,A124,56,A143,A151,3,A174,1,A192,A201,0,1
174,A11,60,A34,A41,8083,A61,A75,4,Female,A101,4,A124,22,A143,A151,3,A174,1,A192,A201,0,1
178,A11,60,A32,A41,10652,A61,A75,3,Female,A101,4,A124,43,A143,A153,1,A174,1,A192,A201,0,1
178,A11,60,A32,A41,10652,A61,A75,3,Female,A101,4,A124,19,A143,A153,1,A174,1,A192,A201,0,1
194,A11,24,A30,A41,2369,A61,A75,2,Female,A101,4,A124,21,A143,A153,2,A173,2,A191,A201,0,1
209,A12,23,A32,A41,3118,A61,A72,4,Male,A101,4,A124,57,A143,A151,1,A174,1,A192,A201,1,0
209,A12,23,A32,A41,3118,A61,A72,4,Male,A101,4,A124,22,A143,A151,1,A174,1,A192,A201,1,0
237,A11,40,A32,A41,14127,A61,A75,4,Female,A101,4,A124,21,A143,A153,1,A174,1,A192,A201,0,1
239,A11,27,A32,A41,1929,A61,A75,4,Female,A101,4,A124,66,A142,A153,1,A173,1,A191,A201,0,1
239,A11,27,A32,A41,1929,A61,A75,4,Female,A101,4,A124,20,A142,A153,1,A173,1,A191,A201,0,1
251,A11,12,A32,A40,5634,A62,A72,3,Female,A101,3,A124,20,A143,A152,1,A174,2,A192,A201,0,1
260,A11,11,A32,A40,988,A61,A75,2,Female,A101,4,A124,72,A143,A151,3,A173,2,A191,A201,0,1
260,A11,11,A32,A40,988,A61,A75,2,Female,A101,4,A124,19,A143,A151,3,A173,2,A191,A201,0,1
260,A11,11,A32,A40,988,A61,A75,2,Male,A101,4,A124,21,A143,A151,3,A173,2,A191,A201,0,1
274,A11,26,A32,A40,2233,A62,A75,4,Male,A101,4,A124,33,A143,A153,1,A173,2,A191,A201,1,0
