original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
23,A12,48,A33,A410,7582,A62,A71,2,Female,A101,4,A124,22,A143,A153,1,A174,1,A192,A201,0,1
35,A12,24,A33,A42,2333,A65,A72,4,Female,A101,2,A122,58,A141,A152,1,A172,1,A191,A201,0,1
35,A12,24,A33,A42,2333,A65,A72,4,Female,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,0,1
40,A11,12,A32,A40,1228,A61,A73,4,Male,A101,2,A121,57,A143,A152,1,A172,1,A191,A201,1,0
41,A11,12,A32,A42,3590,A61,A73,2,Female,A102,2,A122,74,A143,A152,1,A172,2,A191,A201,0,1
41,A11,12,A32,A42,3590,A61,A73,2,Female,A102,2,A122,20,A143,A152,1,A172,2,A191,A201,0,1
73,A14,12,A32,A46,1393,A61,A75,4,Female,A101,4,A122,55,A141,A152,3,A173,2,A192,A201,0,1
73,A14,12,A32,A46,1393,A61,A75,4,Female,A101,4,A122,25,A141,A152,3,A173,2,A192,A201,0,1
75,A12,24,A32,A41,11560,A61,A73,1,Male,A101,4,A123,20,A143,A151,2,A174,1,A191,A201,1,0
75,A12,24,A32,A41,11560,A61,A73,1,Male,A101,4,A123,48,A143,A151,2,A174,1,A191,A201,1,0
78,A12,36,A32,A43,2671,A62,A73,4,Male,A102,4,A124,67,A143,A153,1,A173,1,A191,A201,1,0
82,A11,15,A34,A42,1433,A61,A73,4,Male,A101,3,A122,20,A143,A151,2,A173,1,A191,A201,1,0
82,A11,15,A34,A42,1433,A61,A73,4,Female,A101,3,A122,58,A143,A151,2,A173,1,A191,A201,1,0
82,A11,15,A34,A42,1433,A61,A73,4,Male,A101,3,A122,57,A143,A151,2,A173,1,A191,A201,1,0
85,A12,12,A33,A43,585,A61,A73,4,Female,A102,4,A121,66,A143,A151,2,A173,1,A191,A201,0,1
85,A12,12,A33,A43,585,A61,A73,4,Female,A102,4,A121,20,A143,A151,2,A173,1,A191,A201,0,1
88,A11,30,A30,A42,4583,A61,A73,2,Female,A103,2,A121,63,A143,A152,2,A173,1,A191,A201,0,1
88,A11,30,A30,A42,4583,A61,A73,2,Female,A103,2,A121,22,A143,A152,2,A173,1,A191,A201,0,1
89,A11,24,A32,A43,2439,A61,A72,4,Male,A101,4,A121,28,A143,A152,1,A173,1,A192,A201,1,0
89,A11,24,A32,A43,2439,A61,A72,4,Male,A101,4,A121,25,A143,A152,1,A173,1,A192,A201,1,0
93,A12,30,A32,A42,3832,A61,A72,2,Female,A101,1,A122,37,A143,A152,1,A173,1,A191,A201,0,1
93,A12,30,A32,A42,3832,A61,A72,2,Female,A101,1,A122,19,A143,A152,1,A173,1,A191,A201,0,1
102,A11,12,A32,A44,741,A62,A71,4,Male,A101,3,A122,21,A143,A152,1,A173,1,A191,A201,1,0
102,A11,12,A32,A44,741,A62,A71,4,Male,A101,3,A122,42,A143,A152,1,A173,1,A191,A201,1,0
111,A12,12,A32,A42,3017,A61,A72,3,Male,A101,1,A121,61,A143,A151,1,A174,1,A191,A201,1,0
111,A12,12,A32,A42,3017,A61,A72,3,Male,A101,1,A121,22,A143,A151,1,A174,1,A191,A201,1,0
126,A12,36,A32,A41,9398,A61,A72,1,Female,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,0,1
126,A12,36,A32,A41,9398,A61,A72,1,Female,A101,4,A123,25,A143,A151,1,A174,1,A192,A201,0,1
146,A11,6,A32,A44,343,A61,A72,4,Male,A101,1,A121,55,A143,A152,1,A173,1,A191,A201,1,0
146,A11,6,A32,A44,343,A61,A72,4,Male,A101,1,A121,21,A143,A152,1,A173,1,A191,A201,1,0
152,A12,45,A34,A43,4746,A61,A72,4,Female,A101,2,A122,38,A143,A152,2,A172,1,A191,A201,0,1
152,A12,45,A34,A43,4746,A61,A72,4,Female,A101,2,A122,23,A143,A152,2,A172,1,A191,A201,0,1
176,A11,48,A34,A41,6331,A61,A75,4,Female,A101,4,A124,31,A143,A153,2,A173,1,A192,A201,0,1
176,A11,48,A34,A41,6331,A61,A75,4,Female,A101,4,A124,20,A143,A153,2,A173,1,A192,A201,0,1
185,A12,20,A30,A41,6148,A62,A75,3,Female,A101,4,A123,26,A141,A152,2,A173,1,A192,A201,0,1
185,A12,20,A30,A41,6148,A62,A75,3,Female,A101,4,A123,21,A141,A152,2,A173,1,A192,A201,0,1
188,A12,24,A32,A40,3512,A62,A74,2,Female,A101,3,A123,21,A141,A152,2,A173,1,A192,A201,0,1
198,A12,26,A32,A41,7966,A61,A72,2,Female,A101,3,A123,20,A143,A152,2,A173,1,A191,A201,0,1
201,A12,18,A30,A42,3244,A61,A73,1,Male,A101,4,A123,70,A141,A152,2,A173,1,A192,A201,1,0
202,A13,36,A32,A43,5848,A61,A73,4,Female,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,0,1
202,A13,36,A32,A43,5848,A61,A73,4,Female,A101,1,A123,22,A143,A152,1,A173,1,A191,A201,0,1
206,A11,6,A32,A40,662,A61,A72,3,Female,A101,4,A121,70,A143,A152,1,A172,2,A192,A201,0,1
206,A11,6,A32,A40,662,A61,A72,3,Female,A101,4,A121,24,A143,A152,1,A172,2,A192,A201,0,1
227,A14,36,A32,A46,1819,A61,A73,4,Female,A101,4,A124,57,A142,A153,1,A173,1,A192,A201,0,1
227,A14,36,A32,A46,1819,A61,A73,4,Female,A101,4,A124,23,A142,A153,1,A173,1,A192,A201,0,1
227,A14,36,A32,A46,1819,A61,A73,4,Male,A101,4,A124,24,A142,A153,1,A173,1,A192,A201,0,1
249,A13,12,A32,A42,1474,A61,A72,4,Male,A101,1,A122,70,A141,A152,1,A174,1,A192,A201,1,0
249,A13,12,A32,A42,1474,A61,A72,4,Male,A101,1,A122,19,A141,A152,1,A174,1,A192,A201,1,0
272,A11,9,A32,A43,1366,A61,A72,3,Male,A101,4,A122,74,A143,A151,1,A173,1,A191,A201,1,0
300,A11,48,A32,A41,4788,A61,A74,4,Female,A101,3,A122,73,A143,A152,1,A173,2,A191,A201,0,1
300,A11,48,A32,A41,4788,A61,A74,4,Female,A101,3,A122,22,A143,A152,1,A173,2,A191,A201,0,1
322,A12,18,A32,A41,12976,A61,A71,3,Male,A101,4,A124,49,A143,A153,1,A174,1,A192,A201,1,0
322,A12,18,A32,A41,12976,A61,A71,3,Male,A101,4,A124,21,A143,A153,1,A174,1,A192,A201,1,0
333,A11,13,A34,A49,1797,A61,A72,3,Female,A101,1,A122,57,A141,A152,2,A172,1,A191,A201,0,1
333,A11,13,A34,A49,1797,A61,A72,3,Female,A101,1,A122,22,A141,A152,2,A172,1,A191,A201,0,1
345,A11,18,A32,A42,4153,A61,A73,2,Female,A102,3,A123,62,A143,A152,1,A173,1,A191,A201,0,1
345,A11,18,A32,A42,4153,A61,A73,2,Female,A102,3,A123,24,A143,A152,1,A173,1,A191,A201,0,1
349,A11,12,A32,A42,1282,A61,A73,2,Male,A101,4,A123,25,A143,A151,1,A173,1,A191,A201,1,0
349,A11,12,A32,A42,1282,A61,A73,2,Male,A101,4,A123,53,A143,A151,1,A173,1,A191,A201,1,0
350,A12,18,A34,A42,7374,A61,A71,4,Female,A101,4,A122,59,A142,A152,2,A174,1,A192,A201,0,1
350,A12,18,A34,A42,7374,A61,A71,4,Female,A101,4,A122,22,A142,A152,2,A174,1,A192,A201,0,1
362,A12,18,A34,A40,884,A61,A75,4,Female,A101,4,A123,63,A141,A152,1,A173,2,A192,A201,0,1
362,A12,18,A34,A40,884,A61,A75,4,Female,A101,4,A123,21,A141,A152,1,A173,2,A192,A201,0,1
399,A12,12,A32,A45,639,A61,A73,4,Female,A101,2,A123,50,A143,A152,1,A173,1,A191,A201,0,1
399,A12,12,A32,A45,639,A61,A73,4,Female,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,0,1
408,A12,9,A32,A40,276,A61,A73,4,Male,A101,4,A121,58,A143,A151,1,A172,1,A191,A201,1,0
416,A11,11,A34,A40,3905,A61,A73,2,Female,A101,2,A121,20,A143,A151,2,A173,2,A191,A201,0,1
451,A12,24,A32,A40,1355,A61,A72,3,Male,A101,4,A123,57,A143,A152,1,A172,1,A192,A201,1,0
455,A12,24,A32,A43,3092,A62,A72,3,Female,A101,2,A123,25,A143,A151,1,A173,1,A192,A201,0,1
471,A12,24,A34,A46,5743,A61,A72,2,Male,A101,4,A124,51,A143,A153,2,A173,1,A192,A201,1,0
474,A12,30,A33,A49,2503,A62,A75,4,Female,A101,2,A122,47,A142,A152,2,A173,1,A191,A201,0,1
474,A12,30,A33,A49,2503,A62,A75,4,Female,A101,2,A122,21,A142,A152,2,A173,1,A191,A201,0,1
474,A12,30,A33,A49,2503,A62,A75,4,Male,A101,2,A122,25,A142,A152,2,A173,1,A191,A201,0,1
475,A12,24,A34,A42,4736,A61,A72,2,Male,A101,4,A123,24,A141,A152,1,A172,1,A191,A201,1,0
475,A12,24,A34,A42,4736,A61,A72,2,Male,A101,4,A123,48,A141,A152,1,A172,1,A191,A201,1,0
483,A11,15,A32,A40,1721,A61,A72,2,Female,A101,3,A121,51,A143,A152,1,A173,1,A191,A201,0,1
483,A11,15,A32,A40,1721,A61,A72,2,Female,A101,3,A121,20,A143,A152,1,A173,1,A191,A201,0,1
483,A11,15,A32,A40,1721,A61,A72,2,Male,A101,3,A121,20,A143,A152,1,A173,1,A191,A201,0,1
486,A13,21,A34,A46,2319,A61,A72,2,Female,A101,1,A123,34,A143,A151,1,A173,1,A191,A201,0,1
486,A13,21,A34,A46,2319,A61,A72,2,Female,A101,1,A123,24,A143,A151,1,A173,1,A191,A201,0,1
492,A14,60,A32,A40,10366,A61,A75,2,Female,A101,4,A122,23,A143,A152,1,A174,1,A192,A201,0,1
517,A12,48,A33,A49,6681,A65,A73,4,Female,A101,4,A124,44,A143,A153,1,A173,2,A192,A201,0,1
