original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
14,A12,12,A30,A48,1410,A61,A73,2,Female,A101,2,A121,28,A143,A152,1,A172,1,A192,A201,0,1
14,A12,12,A30,A48,1410,A61,A73,2,Female,A101,2,A121,25,A143,A152,1,A172,1,A192,A201,0,1
16,A12,15,A32,A45,1514,A62,A73,4,Female,A103,2,A121,55,A143,A152,1,A173,1,A191,A201,0,1
16,A12,15,A32,A45,1514,A62,A73,4,Female,A103,2,A121,20,A143,A152,1,A173,1,A191,A201,0,1
18,A11,24,A32,A42,1747,A61,A72,4,Female,A102,1,A122,64,A143,A152,1,A172,1,A191,A202,0,1
18,A11,24,A32,A42,1747,A61,A72,4,Female,A102,1,A122,23,A143,A152,1,A172,1,A191,A202,0,1
29,A11,18,A32,A43,3509,A61,A74,4,Male,A103,1,A121,23,A143,A152,1,A173,1,A191,A201,0,1
35,A12,24,A33,A42,2333,A65,A72,4,Female,A101,2,A122,58,A141,A152,1,A172,1,A191,A201,0,1
35,A12,24,A33,A42,2333,A65,A72,4,Female,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,0,1
41,A11,12,A32,A42,3590,A61,A73,2,Female,A102,2,A122,74,A143,A152,1,A172,2,A191,A201,0,1
41,A11,12,A32,A42,3590,A61,A73,2,Female,A102,2,A122,20,A143,A152,1,A172,2,A191,A201,0,1
43,A11,12,A34,A40,691,A61,A75,4,Female,A101,3,A122,39,A143,A152,2,A173,1,A191,A201,1,0
43,A11,12,A34,A40,691,A61,A75,4,Female,A101,3,A122,24,A143,A152,2,A173,1,A191,A201,1,0
50,A12,24,A32,A41,2760,A65,A75,4,Female,A101,4,A124,43,A141,A153,1,A173,1,A192,A201,0,1
50,A12,24,A32,A41,2760,A65,A75,4,Female,A101,4,A124,20,A141,A153,1,A173,1,A192,A201,0,1
60,A14,12,A33,A45,1555,A64,A75,4,Female,A101,4,A124,36,A143,A153,2,A173,2,A191,A201,0,1
60,A14,12,A33,A45,1555,A64,A75,4,Female,A101,4,A124,22,A143,A153,2,A173,2,A191,A201,0,1
67,A12,30,A34,A42,8386,A61,A74,2,Female,A101,2,A122,29,A143,A152,1,A173,1,A191,A201,0,1
67,A12,30,A34,A42,8386,A61,A74,2,Female,A101,2,A122,25,A143,A152,1,A173,1,A191,A201,0,1
70,A14,18,A32,A42,1533,A61,A72,4,Female,A102,1,A122,65,A143,A152,1,A172,2,A191,A201,0,1
70,A14,18,A32,A42,1533,A61,A72,4,Female,A102,1,A122,22,A143,A152,1,A172,2,A191,A201,0,1
73,A14,12,A32,A46,1393,A61,A75,4,Female,A101,4,A122,55,A141,A152,3,A173,2,A192,A201,0,1
73,A14,12,A32,A46,1393,A61,A75,4,Female,A101,4,A122,25,A141,A152,3,A173,2,A192,A201,0,1
81,A14,36,A32,A42,3349,A61,A73,4,Male,A101,2,A123,64,A143,A152,1,A174,1,A192,A201,1,0
81,A14,36,A32,A42,3349,A61,A73,4,Male,A101,2,A123,21,A143,A152,1,A174,1,A192,A201,1,0
90,A12,45,A34,A41,4576,A62,A71,3,Female,A101,4,A123,48,A143,A152,1,A173,1,A191,A201,0,1
90,A12,45,A34,A41,4576,A62,A71,3,Female,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,0,1
104,A11,6,A32,A42,428,A61,A75,2,Female,A101,1,A122,21,A141,A152,1,A173,1,A192,A201,0,1
112,A12,12,A32,A42,2762,A65,A75,1,Male,A101,2,A122,24,A141,A152,1,A173,1,A192,A201,1,0
112,A12,12,A32,A42,2762,A65,A75,1,Male,A101,2,A122,73,A141,A152,1,A173,1,A192,A201,1,0
116,A12,18,A34,A49,3590,A61,A71,3,Female,A101,3,A123,25,A143,A152,3,A171,2,A192,A201,0,1
121,A12,12,A32,A43,1567,A61,A73,1,Male,A101,1,A123,20,A143,A152,1,A173,1,A192,A201,1,0
121,A12,12,A32,A43,1567,A61,A73,1,Female,A101,1,A123,65,A143,A152,1,A173,1,A192,A201,1,0
121,A12,12,A32,A43,1567,A61,A73,1,Male,A101,1,A123,75,A143,A152,1,A173,1,A192,A201,1,0
130,A14,6,A32,A42,4611,A61,A72,1,Male,A101,4,A122,56,A143,A152,1,A173,1,A191,A201,1,0
130,A14,6,A32,A42,4611,A61,A72,1,Male,A101,4,A122,25,A143,A152,1,A173,1,A191,A201,1,0
133,A14,24,A32,A40,1249,A61,A72,4,Female,A101,2,A121,20,A143,A152,1,A173,1,A191,A201,0,1
136,A14,36,A32,A46,9055,A65,A73,2,Female,A101,4,A124,52,A143,A153,1,A172,2,A192,A201,0,1
136,A14,36,A32,A46,9055,A65,A73,2,Female,A101,4,A124,21,A143,A153,1,A172,2,A192,A201,0,1
139,A11,12,A32,A40,900,A65,A73,4,Female,A101,2,A123,74,A143,A152,1,A173,1,A191,A201,0,1
139,A11,12,A32,A40,900,A65,A73,4,Female,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,0,1
150,A12,24,A32,A43,1967,A61,A75,4,Male,A101,4,A123,24,A143,A152,1,A173,1,A192,A201,1,0
150,A12,24,A32,A43,1967,A61,A75,4,Female,A101,4,A123,48,A143,A152,1,A173,1,A192,A201,1,0
