original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
28,A13,15,A32,A43,2327,A61,A72,2,Male,A101,3,A121,53,A143,A152,1,A172,1,A191,A201,1,0
40,A11,12,A32,A40,1228,A61,A73,4,Male,A101,2,A121,19,A143,A152,1,A172,1,A191,A201,1,0
40,A11,12,A32,A40,1228,A61,A73,4,Male,A101,2,A121,57,A143,A152,1,A172,1,A191,A201,1,0
81,A14,36,A32,A42,3349,A61,A73,4,Male,A101,2,A123,64,A143,A152,1,A174,1,A192,A201,1,0
109,A12,18,A34,A43,1245,A61,A73,4,Female,A101,2,A123,72,A143,A152,1,A173,1,A191,A201,1,0
109,A12,18,A34,A43,1245,A61,A73,4,Female,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,1,0
112,A12,12,A32,A42,2762,A65,A75,1,Male,A101,2,A122,24,A141,A152,1,A173,1,A192,A201,1,0
112,A12,12,A32,A42,2762,A65,A75,1,Female,A101,2,A122,69,A141,A152,1,A173,1,A192,A201,1,0
112,A12,12,A32,A42,2762,A65,A75,1,Male,A101,2,A122,73,A141,A152,1,A173,1,A192,A201,1,0
115,A14,10,A32,A42,2210,A61,A73,2,Female,A101,2,A121,55,A141,A151,1,A172,1,A191,A201,1,0
130,A14,6,A32,A42,4611,A61,A72,1,Male,A101,4,A122,56,A143,A152,1,A173,1,A191,A201,1,0
130,A14,6,A32,A42,4611,A61,A72,1,Female,A101,4,A122,21,A143,A152,1,A173,1,A191,A201,1,0
130,A14,6,A32,A42,4611,A61,A72,1,Male,A101,4,A122,25,A143,A152,1,A173,1,A191,A201,1,0
161,A12,18,A32,A40,1042,A65,A73,4,Male,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1,0
161,A12,18,A32,A40,1042,A65,A73,4,Male,A101,2,A122,22,A143,A152,1,A173,1,A191,A201,1,0
169,A14,18,A34,A46,1864,A62,A73,4,Male,A101,2,A121,55,A143,A152,2,A173,1,A191,A201,1,0
169,A14,18,A34,A46,1864,A62,A73,4,Male,A101,2,A121,19,A143,A152,2,A173,1,A191,A201,1,0
177,A12,24,A32,A41,4113,A63,A72,3,Male,A101,4,A123,70,A143,A151,1,A173,1,A191,A201,1,0
177,A12,24,A32,A41,4113,A63,A72,3,Male,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,1,0
183,A14,36,A34,A42,7127,A61,A72,2,Male,A101,4,A122,38,A143,A151,2,A173,1,A192,A201,1,0
184,A12,9,A34,A46,1501,A61,A75,2,Male,A101,3,A123,44,A143,A152,2,A174,1,A192,A201,1,0
204,A12,9,A32,A42,918,A61,A73,4,Male,A101,1,A122,19,A143,A152,1,A173,1,A191,A201,1,0
218,A11,24,A32,A43,3660,A61,A73,2,Male,A101,4,A123,58,A143,A152,1,A173,1,A191,A201,0,1
235,A13,12,A34,A40,939,A63,A74,4,Female,A101,2,A121,55,A143,A152,3,A173,1,A192,A201,1,0
242,A11,12,A32,A42,652,A61,A75,4,Male,A101,4,A122,65,A143,A151,1,A173,1,A191,A201,0,1
244,A14,24,A32,A43,5943,A65,A72,1,Male,A101,1,A123,24,A143,A152,2,A173,1,A192,A201,1,0
256,A11,18,A32,A42,2462,A61,A73,2,Female,A101,2,A123,44,A143,A152,1,A173,1,A191,A201,1,0
263,A14,18,A33,A49,2169,A61,A73,4,Female,A101,2,A123,64,A143,A152,1,A173,1,A192,A201,1,0
287,A12,24,A32,A42,4057,A61,A74,3,Female,A101,3,A123,22,A143,A152,1,A173,1,A192,A201,1,0
287,A12,24,A32,A42,4057,A61,A74,3,Male,A101,3,A123,20,A143,A152,1,A173,1,A192,A201,1,0
300,A11,48,A32,A41,4788,A61,A74,4,Female,A101,3,A122,73,A143,A152,1,A173,2,A191,A201,0,1
307,A12,21,A32,A49,1188,A61,A75,2,Male,A101,4,A122,23,A143,A152,1,A173,2,A191,A201,1,0
