original_index,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,original_prediction,alternative_prediction
4,A12,36,A31,A44,3990,A65,A72,3,Male,A101,2,A124,31,A141,A152,1,A171,1,A191,A201,1,0
4,A12,36,A31,A44,3990,A65,A72,3,Male,A101,2,A124,23,A141,A152,1,A171,1,A191,A201,1,0
9,A12,48,A31,A40,12169,A65,A71,4,Female,A102,4,A124,32,A143,A153,1,A174,1,A192,A201,0,1
9,A12,48,A31,A40,12169,A65,A71,4,Female,A102,4,A124,22,A143,A153,1,A174,1,A192,A201,0,1
45,A12,15,A30,A40,1778,A61,A72,2,Male,A101,1,A121,54,A143,A151,2,A171,1,A191,A201,1,0
45,A12,15,A30,A40,1778,A61,A72,2,Male,A101,1,A121,20,A143,A151,2,A171,1,A191,A201,1,0
58,A11,12,A32,A42,1858,A61,A72,4,Male,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,1,0
58,A11,12,A32,A42,1858,A61,A72,4,Male,A101,1,A123,54,A143,A151,1,A173,1,A191,A201,1,0
80,A12,36,A30,A49,1953,A61,A75,4,Female,A101,4,A124,32,A143,A153,1,A174,1,A192,A201,0,1
80,A12,36,A30,A49,1953,A61,A75,4,Female,A101,4,A124,21,A143,A153,1,A174,1,A192,A201,0,1
118,A12,36,A32,A40,14318,A61,A75,4,Female,A101,2,A124,58,A143,A153,1,A174,1,A192,A201,0,1
118,A12,36,A32,A40,14318,A61,A75,4,Female,A101,2,A124,19,A143,A153,1,A174,1,A192,A201,0,1
173,A11,36,A32,A40,3249,A61,A74,2,Female,A101,4,A124,31,A141,A153,1,A174,2,A192,A201,0,1
173,A11,36,A32,A40,3249,A61,A74,2,Female,A101,4,A124,24,A141,A153,1,A174,2,A192,A201,0,1
223,A11,24,A31,A42,3552,A61,A74,3,Female,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,0,1
223,A11,24,A31,A42,3552,A61,A74,3,Female,A101,4,A123,24,A141,A152,1,A173,1,A191,A201,0,1
248,A12,30,A32,A40,2150,A61,A73,4,Male,A103,2,A124,25,A141,A152,1,A173,1,A191,A201,1,0
248,A12,30,A32,A40,2150,A61,A73,4,Male,A103,2,A124,36,A141,A152,1,A173,1,A191,A201,1,0
305,A12,12,A30,A42,2969,A61,A72,4,Male,A101,3,A122,22,A143,A151,2,A173,1,A191,A201,1,0
305,A12,12,A30,A42,2969,A61,A72,4,Male,A101,3,A122,46,A143,A151,2,A173,1,A191,A201,1,0
324,A12,60,A31,A410,14782,A62,A75,3,Male,A101,4,A124,70,A141,A153,2,A174,1,A192,A201,1,0
324,A12,60,A31,A410,14782,A62,A75,3,Male,A101,4,A124,20,A141,A153,2,A174,1,A192,A201,1,0
332,A12,36,A33,A40,2225,A61,A75,4,Female,A101,4,A124,69,A141,A153,2,A173,1,A192,A201,0,1
332,A12,36,A33,A40,2225,A61,A75,4,Female,A101,4,A124,21,A141,A153,2,A173,1,A192,A201,0,1
341,A11,48,A32,A41,10297,A61,A74,4,Female,A101,4,A124,37,A142,A153,3,A173,2,A192,A201,0,1
341,A11,48,A32,A41,10297,A61,A74,4,Female,A101,4,A124,22,A142,A153,3,A173,2,A192,A201,0,1
360,A11,36,A33,A46,6887,A61,A73,4,Female,A101,3,A122,66,A142,A152,1,A173,1,A192,A201,0,1
360,A11,36,A33,A46,6887,A61,A73,4,Female,A101,3,A122,20,A142,A152,1,A173,1,A192,A201,0,1
382,A11,24,A31,A43,1546,A61,A74,4,Female,A103,4,A123,44,A141,A151,1,A172,1,A191,A201,0,1
382,A11,24,A31,A43,1546,A61,A74,4,Female,A103,4,A123,23,A141,A151,1,A172,1,A191,A201,0,1
395,A11,42,A32,A43,3965,A61,A72,4,Female,A101,3,A123,44,A143,A152,1,A173,1,A191,A201,0,1
395,A11,42,A32,A43,3965,A61,A72,4,Female,A101,3,A123,25,A143,A152,1,A173,1,A191,A201,0,1
402,A11,6,A32,A46,448,A61,A72,4,Male,A101,4,A122,25,A143,A152,1,A173,1,A191,A201,1,0
402,A11,6,A32,A46,448,A61,A72,4,Male,A101,4,A122,34,A143,A152,1,A173,1,A191,A201,1,0
405,A11,30,A32,A45,11998,A61,A72,1,Female,A101,1,A124,33,A143,A152,1,A172,1,A192,A201,0,1
405,A11,30,A32,A45,11998,A61,A72,1,Female,A101,1,A124,20,A143,A152,1,A172,1,A192,A201,0,1
419,A11,24,A32,A40,1285,A65,A74,4,Male,A101,4,A124,66,A143,A151,1,A173,1,A191,A201,1,0
419,A11,24,A32,A40,1285,A65,A74,4,Male,A101,4,A124,20,A143,A151,1,A173,1,A191,A201,1,0
422,A11,18,A30,A42,3114,A61,A72,1,Male,A101,4,A122,45,A143,A151,1,A173,1,A191,A201,1,0
422,A11,18,A30,A42,3114,A61,A72,1,Male,A101,4,A122,23,A143,A151,1,A173,1,A191,A201,1,0
491,A11,12,A32,A46,795,A61,A72,4,Male,A101,4,A122,47,A143,A152,1,A173,1,A191,A201,1,0
