Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A11,17,A32,A40,1997,A61,A73,4,Male,A101,2,A122,30,A143,A152,1,A172,1,A191,A201
A11,23,A32,A40,5702,A65,A75,4,Female,A101,2,A122,39,A143,A152,1,A173,1,A192,A201
A11,25,A32,A42,3059,A61,A75,4,Male,A101,1,A122,37,A141,A152,1,A173,1,A192,A201
A11,28,A32,A41,5461,A65,A74,3,Male,A101,2,A123,35,A143,A152,1,A174,1,A192,A201
A11,13,A32,A41,3611,A65,A75,3,Male,A101,4,A124,31,A143,A153,1,A173,1,A191,A201
A11,22,A34,A41,1531,A61,A75,3,Male,A101,3,A122,29,A143,A152,2,A173,1,A191,A201
A11,15,A32,A42,2369,A61,A72,4,Female,A101,4,A123,22,A143,A151,1,A173,1,A191,A201
A14,23,A32,A40,821,A65,A75,4,Female,A101,4,A121,65,A143,A152,2,A173,1,A192,A201
A11,24,A34,A43,3929,A61,A74,3,Female,A101,4,A124,49,A141,A151,2,A172,1,A192,A201
A14,10,A34,A42,3242,A61,A74,4,Male,A101,4,A123,29,A143,A152,1,A173,1,A192,A201
A14,10,A34,A41,1309,A65,A75,2,Male,A101,4,A124,54,A143,A152,2,A173,2,A192,A201
A14,11,A32,A42,1498,A61,A73,4,Female,A101,2,A123,22,A143,A151,1,A173,1,A191,A201
A14,24,A32,A43,5058,A61,A75,4,Male,A101,2,A123,38,A143,A152,1,A173,1,A192,A201
A11,37,A32,A41,6516,A61,A75,4,Male,A101,4,A124,46,A143,A153,1,A173,1,A192,A201
A11,31,A32,A41,3582,A61,A73,1,Female,A101,2,A123,35,A141,A152,1,A174,1,A192,A201
A11,9,A34,A40,3231,A61,A73,3,Male,A101,2,A121,34,A143,A152,2,A173,1,A191,A201
A14,15,A33,A41,1474,A65,A75,3,Female,A101,2,A122,21,A143,A152,2,A173,1,A192,A201
A12,15,A34,A40,3850,A61,A73,2,Male,A101,4,A124,47,A143,A152,2,A173,1,A192,A201
