Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A12,35,A34,A41,5713,A61,A74,4,Male,A101,2,A123,27,A143,A152,2,A173,1,A192,A201
A12,26,A33,A41,2625,A62,A75,4,Male,A101,4,A124,46,A141,A152,2,A173,2,A192,A201
A14,12,A34,A40,1573,A61,A74,4,Female,A101,2,A122,28,A143,A152,2,A173,1,A191,A201
A11,42,A32,A41,3844,A61,A74,3,Male,A101,3,A123,28,A143,A152,2,A173,1,A191,A201
A11,6,A32,A40,970,A61,A75,4,Female,A101,4,A124,24,A143,A153,1,A172,1,A191,A201
A11,47,A34,A41,7742,A61,A75,4,Male,A101,2,A124,46,A143,A153,1,A174,1,A192,A201
A11,32,A34,A40,2132,A61,A75,4,Male,A101,3,A123,42,A143,A152,1,A173,1,A192,A201
A11,15,A32,A43,1777,A61,A72,4,Female,A101,4,A123,30,A143,A152,1,A173,1,A191,A201
A11,6,A34,A40,954,A61,A75,4,Female,A101,4,A122,51,A143,A152,2,A173,1,A192,A201
A11,20,A32,A43,2119,A61,A75,4,Male,A101,3,A121,41,A143,A152,1,A173,1,A191,A201
A12,40,A34,A41,1507,A65,A75,4,Male,A101,4,A122,51,A143,A152,2,A173,1,A191,A201
A12,9,A31,A41,875,A61,A72,3,Male,A101,2,A124,26,A141,A152,1,A172,1,A191,A201
A14,12,A34,A41,1473,A65,A75,4,Male,A101,4,A124,71,A143,A153,2,A173,1,A191,A201
A13,7,A32,A40,451,A65,A75,4,Male,A101,2,A124,35,A143,A152,1,A171,1,A191,A201
A12,7,A34,A43,1530,A65,A75,4,Male,A101,4,A122,28,A143,A152,2,A173,1,A191,A201
A12,21,A31,A40,1000,A65,A73,1,Female,A101,2,A121,24,A141,A152,1,A173,1,A191,A201
A14,37,A32,A49,6555,A65,A73,4,Male,A101,2,A123,32,A143,A152,2,A173,1,A191,A201
A14,14,A34,A41,859,A65,A74,3,Female,A101,2,A123,33,A143,A152,2,A173,1,A192,A201
A11,10,A32,A40,984,A65,A75,4,Female,A101,2,A122,36,A143,A152,1,A173,1,A191,A202
A14,12,A32,A41,1123,A65,A75,1,Female,A101,4,A121,25,A143,A151,1,A173,1,A191,A201
A14,12,A32,A41,860,A65,A75,4,Female,A101,3,A122,74,A143,A152,1,A174,2,A192,A201
A11,14,A32,A40,5556,A61,A75,4,Male,A101,2,A122,22,A143,A153,1,A173,1,A192,A201
A12,15,A32,A43,1409,A62,A74,2,Male,A101,1,A123,27,A143,A152,1,A173,1,A191,A201
A14,40,A34,A41,10231,A61,A75,3,Male,A101,4,A124,47,A143,A153,1,A173,1,A192,A201
A11,12,A32,A40,447,A61,A73,4,Male,A101,3,A123,46,A141,A152,1,A172,1,A191,A201
A11,11,A32,A41,595,A61,A73,4,Female,A101,4,A121,20,A143,A151,1,A172,1,A191,A201
A11,25,A31,A42,5290,A65,A75,4,Male,A101,2,A122,31,A141,A152,1,A173,1,A192,A201
A11,15,A32,A43,2269,A61,A72,4,Female,A101,1,A121,28,A143,A152,1,A173,1,A191,A201
A14,25,A33,A49,6242,A61,A72,2,Male,A101,1,A123,28,A143,A152,2,A173,1,A191,A201
A12,41,A32,A41,657,A65,A75,4,Male,A101,2,A123,43,A141,A152,2,A173,1,A191,A201
A14,16,A34,A43,1709,A61,A73,4,Male,A101,2,A123,26,A143,A152,2,A173,1,A191,A201
A11,33,A33,A42,3680,A61,A73,1,Male,A103,2,A122,36,A143,A152,2,A173,2,A191,A201
A11,9,A34,A40,1063,A61,A75,4,Male,A101,4,A122,47,A143,A152,1,A173,1,A192,A201
A12,8,A32,A43,1005,A61,A75,3,Female,A101,3,A121,30,A143,A152,1,A172,1,A191,A201
A11,10,A34,A40,1696,A61,A73,2,Male,A101,3,A122,34,A143,A152,2,A173,1,A191,A202
A11,8,A34,A40,349,A65,A75,4,Male,A101,3,A122,61,A143,A152,2,A173,1,A192,A201
A11,44,A34,A43,4292,A65,A75,4,Male,A101,3,A122,40,A143,A152,2,A173,2,A191,A201
A11,10,A34,A40,952,A61,A75,4,Male,A101,4,A121,53,A143,A152,2,A173,1,A191,A201
A11,14,A32,A43,1993,A61,A73,2,Male,A101,1,A121,22,A143,A152,1,A173,1,A191,A201
A12,40,A32,A42,14377,A65,A73,1,Male,A101,1,A123,24,A143,A152,1,A173,1,A192,A201
A11,25,A32,A43,890,A62,A72,4,Male,A101,1,A122,22,A143,A152,1,A173,1,A191,A201
A14,12,A34,A41,1257,A61,A75,4,Male,A101,4,A123,26,A143,A152,1,A173,1,A191,A201
A11,14,A32,A40,2307,A61,A75,4,Male,A101,4,A124,44,A143,A152,2,A173,2,A191,A201
A11,16,A32,A43,2765,A61,A75,3,Male,A101,3,A121,25,A143,A151,1,A173,1,A191,A201
A11,50,A32,A42,10632,A61,A75,1,Male,A101,4,A124,39,A143,A152,1,A173,1,A192,A201
A11,45,A32,A43,2891,A61,A75,4,Male,A101,1,A123,30,A143,A152,1,A173,1,A191,A201
A14,24,A32,A41,4680,A61,A74,3,Male,A101,2,A123,37,A143,A152,1,A173,1,A192,A201
