Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,31,A34,A41,6469,A65,A75,4,Male,A101,3,A123,60,A143,A152,1,A174,1,A192,A201
A13,5,A34,A40,581,A65,A75,2,Female,A101,4,A124,46,A143,A151,3,A173,2,A191,A202
A11,40,A34,A42,6536,A61,A75,4,Male,A101,4,A124,34,A143,A153,1,A173,1,A192,A201
A11,36,A34,A41,8907,A61,A75,3,Male,A101,4,A124,42,A143,A153,2,A173,1,A192,A201
A14,39,A34,A41,4410,A61,A73,1,Male,A101,4,A124,54,A143,A152,1,A173,2,A192,A201
A14,13,A32,A41,2739,A65,A75,2,Female,A101,4,A124,46,A143,A151,1,A173,1,A192,A201
A11,14,A32,A41,6625,A61,A75,3,Male,A101,4,A124,35,A143,A153,1,A174,1,A192,A201
A11,26,A34,A41,9937,A65,A75,4,Male,A101,4,A124,52,A143,A153,2,A174,1,A192,A201
A14,47,A34,A41,11659,A65,A75,4,Male,A101,2,A123,40,A143,A152,1,A174,1,A192,A201
A11,18,A34,A41,861,A61,A75,4,Male,A101,4,A124,67,A143,A153,2,A173,1,A191,A201
A14,31,A34,A41,12791,A61,A75,4,Male,A101,3,A123,35,A143,A152,2,A174,1,A192,A201
A14,23,A32,A41,13377,A61,A75,4,Male,A101,2,A123,47,A143,A151,1,A174,1,A192,A201
A14,5,A34,A41,1195,A65,A75,4,Male,A101,4,A121,63,A143,A152,1,A173,1,A192,A201
A14,11,A34,A42,1730,A61,A75,4,Male,A101,4,A124,70,A143,A152,2,A173,1,A192,A201
A11,23,A32,A40,4983,A61,A75,4,Male,A101,4,A124,39,A143,A153,2,A173,1,A191,A201
A14,45,A34,A41,10088,A65,A74,4,Male,A101,2,A123,41,A143,A152,1,A174,1,A192,A201
A11,46,A32,A41,4016,A61,A75,3,Male,A101,4,A124,29,A143,A152,2,A173,1,A192,A201
A11,21,A32,A41,8982,A65,A75,4,Female,A101,4,A124,53,A143,A151,1,A174,1,A192,A201
A11,25,A32,A40,3015,A65,A75,4,Male,A101,4,A124,35,A143,A151,1,A173,1,A191,A201
A14,42,A32,A41,8978,A61,A74,4,Male,A101,3,A123,39,A143,A152,1,A174,1,A192,A201
A14,12,A34,A42,2330,A61,A75,4,Male,A101,4,A124,63,A143,A152,2,A173,1,A192,A201
A11,10,A34,A41,740,A65,A75,4,Male,A101,4,A121,54,A143,A152,2,A173,1,A192,A201
A11,12,A34,A41,1514,A61,A75,3,Male,A101,4,A122,63,A143,A152,2,A173,1,A192,A201
A14,12,A32,A41,1046,A65,A75,2,Female,A101,4,A124,23,A143,A151,1,A173,1,A191,A201
A11,11,A32,A43,1878,A61,A73,2,Female,A101,2,A123,24,A141,A152,1,A173,1,A191,A201
A14,14,A32,A42,2377,A61,A73,4,Male,A101,2,A123,31,A143,A152,1,A173,1,A191,A201
