Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A13,5,A32,A40,514,A65,A73,4,Male,A101,2,A121,22,A143,A152,1,A173,1,A191,A202
A14,14,A34,A42,1752,A65,A74,4,Male,A101,3,A122,32,A143,A152,2,A173,1,A191,A201
A14,11,A34,A42,2144,A61,A74,4,Male,A101,3,A122,34,A143,A152,1,A173,1,A191,A201
A11,24,A32,A42,3904,A61,A75,4,Male,A101,4,A122,27,A143,A151,1,A173,1,A191,A201
A11,18,A32,A40,2052,A61,A75,4,Female,A101,4,A122,33,A143,A152,1,A173,1,A191,A201
A12,14,A32,A41,6176,A62,A73,2,Male,A101,4,A123,25,A143,A152,1,A173,1,A192,A201
A11,11,A32,A43,2447,A61,A75,2,Male,A101,4,A121,24,A143,A151,1,A173,1,A191,A201
A11,12,A34,A40,2554,A65,A73,3,Male,A101,3,A121,37,A143,A151,2,A173,1,A191,A202
A11,17,A34,A43,620,A65,A74,4,Female,A101,3,A121,65,A143,A152,3,A173,1,A191,A201
A11,10,A34,A42,3227,A61,A75,4,Male,A101,4,A122,32,A143,A152,1,A173,1,A191,A201
A11,26,A32,A40,1140,A65,A75,4,Female,A101,2,A123,29,A143,A152,1,A173,1,A192,A201
A14,22,A33,A49,1546,A65,A73,4,Female,A101,4,A122,32,A143,A151,2,A173,1,A191,A201
A14,25,A34,A43,2220,A61,A75,4,Male,A101,4,A123,55,A143,A152,1,A173,1,A191,A201
A11,12,A34,A41,2192,A61,A74,2,Male,A101,3,A122,30,A143,A152,2,A173,1,A191,A201
A11,22,A32,A40,3179,A61,A75,2,Male,A103,3,A123,34,A143,A151,1,A173,1,A191,A202
A11,36,A34,A43,1064,A65,A75,4,Male,A101,4,A124,36,A143,A152,2,A174,1,A191,A201
A11,6,A34,A40,932,A61,A73,1,Male,A101,1,A121,46,A143,A152,1,A173,2,A191,A202
A14,14,A34,A40,3244,A61,A73,1,Male,A103,2,A121,38,A143,A151,2,A173,2,A191,A202
A14,12,A34,A42,2783,A61,A74,4,Male,A101,2,A124,26,A143,A152,2,A173,1,A191,A201
A12,25,A32,A42,8500,A61,A75,1,Female,A101,2,A124,23,A141,A152,1,A173,1,A192,A201
A11,22,A34,A42,2847,A61,A74,4,Male,A101,3,A122,33,A143,A152,2,A173,1,A191,A201
A11,9,A34,A40,945,A61,A73,3,Male,A101,3,A121,36,A143,A152,2,A173,1,A191,A201
A11,22,A32,A43,1533,A61,A72,3,Male,A101,1,A121,28,A143,A152,1,A173,1,A191,A201
A12,11,A32,A41,2115,A65,A75,2,Male,A101,3,A124,35,A143,A152,2,A173,1,A191,A201
A12,38,A33,A41,1483,A65,A75,4,Male,A101,2,A124,40,A143,A152,2,A173,2,A191,A201
A14,21,A32,A43,3763,A61,A75,3,Male,A101,2,A123,44,A143,A152,2,A173,1,A191,A201
A13,8,A32,A40,1702,A61,A74,2,Male,A103,3,A121,37,A141,A152,1,A172,2,A191,A201
A11,48,A34,A42,6077,A61,A71,3,Male,A101,2,A123,28,A143,A152,2,A173,1,A191,A201
A11,49,A34,A41,2824,A61,A75,4,Male,A101,3,A122,39,A143,A152,2,A173,1,A191,A201
A14,23,A34,A43,2828,A61,A75,4,Male,A101,3,A121,62,A143,A152,2,A173,2,A191,A201
A11,13,A34,A42,4786,A61,A72,3,Female,A101,4,A123,26,A143,A151,1,A173,1,A192,A201
A11,17,A34,A42,3118,A61,A74,4,Female,A101,4,A123,26,A143,A151,1,A173,1,A191,A201
A11,10,A34,A41,932,A61,A73,3,Female,A101,1,A121,24,A143,A151,3,A173,1,A191,A201
A11,16,A32,A42,1252,A61,A72,4,Female,A101,4,A123,26,A143,A151,2,A173,1,A192,A201
A11,10,A34,A40,1344,A61,A74,4,Male,A101,3,A122,41,A143,A152,1,A173,1,A191,A201
A14,12,A32,A43,1398,A65,A75,4,Male,A101,4,A121,32,A143,A152,1,A173,1,A191,A201
A14,15,A34,A42,2783,A65,A75,4,Male,A101,4,A124,65,A143,A152,3,A173,1,A192,A201
A11,14,A32,A40,6325,A61,A75,4,Male,A101,4,A124,34,A143,A153,2,A173,1,A191,A201
A11,14,A34,A41,1271,A61,A75,4,Male,A101,4,A121,58,A143,A151,3,A173,1,A192,A201
A11,20,A32,A41,431,A65,A75,4,Female,A101,3,A122,70,A143,A152,2,A173,1,A192,A201
A11,12,A34,A42,3582,A61,A75,4,Male,A101,4,A122,41,A143,A152,3,A174,1,A192,A201
A14,17,A34,A42,8867,A61,A75,3,Male,A101,4,A124,24,A143,A153,2,A173,1,A192,A201
A14,10,A34,A43,975,A61,A75,3,Male,A101,3,A124,40,A143,A151,2,A173,1,A191,A201
A12,10,A33,A41,1013,A65,A75,4,Female,A101,4,A121,59,A143,A152,2,A173,1,A192,A201
A11,37,A32,A42,11325,A61,A75,4,Male,A101,4,A124,46,A143,A153,1,A173,1,A192,A201
A11,15,A34,A43,1277,A61,A75,4,Male,A101,4,A121,58,A143,A151,3,A173,1,A192,A201
A11,17,A31,A41,5153,A61,A75,4,Female,A101,4,A124,61,A141,A153,1,A173,1,A192,A201
A12,29,A32,A41,7829,A65,A75,3,Male,A101,4,A124,29,A143,A151,1,A173,1,A192,A201
A12,52,A31,A41,10062,A62,A72,4,Male,A101,4,A124,46,A141,A153,1,A173,2,A191,A201
A14,13,A34,A41,3125,A61,A75,4,Male,A101,4,A122,64,A143,A152,2,A173,1,A192,A201
A11,20,A34,A41,3308,A61,A75,4,Male,A101,4,A122,73,A143,A152,2,A173,1,A192,A201
A11,5,A32,A40,647,A61,A75,3,Male,A101,4,A123,40,A143,A151,2,A173,2,A191,A201
A11,41,A32,A41,4394,A61,A75,4,Male,A101,4,A124,28,A141,A152,1,A173,1,A192,A201
A14,13,A32,A43,1780,A62,A75,3,Male,A101,4,A124,40,A143,A152,1,A173,1,A192,A201
A11,57,A34,A49,8610,A61,A75,3,Male,A101,4,A124,24,A143,A153,1,A173,1,A192,A201
A11,12,A34,A41,2230,A65,A75,4,Male,A101,4,A124,37,A143,A153,1,A173,1,A191,A201
A13,6,A34,A40,1136,A61,A75,2,Male,A101,4,A124,49,A143,A151,3,A173,2,A191,A202
A11,57,A32,A41,8266,A61,A75,4,Male,A101,4,A122,32,A143,A151,1,A173,1,A192,A201
A11,13,A32,A40,277,A61,A75,2,Male,A101,4,A124,36,A143,A151,1,A172,1,A191,A201
A14,24,A34,A43,1821,A61,A75,2,Male,A101,2,A124,32,A143,A151,2,A173,1,A191,A201
