Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A13,6,A32,A40,494,A65,A75,4,Male,A101,2,A121,29,A143,A152,1,A173,1,A191,A202
A14,22,A34,A42,3367,A65,A74,4,Male,A101,1,A124,27,A143,A152,2,A173,1,A191,A201
A11,17,A34,A42,3161,A61,A75,4,Male,A101,4,A122,30,A143,A151,1,A173,1,A192,A201
A11,23,A34,A42,2430,A61,A75,4,Male,A101,4,A122,24,A143,A151,1,A173,1,A191,A201
A11,18,A32,A42,1597,A61,A73,4,Female,A101,4,A122,32,A143,A152,1,A173,1,A192,A201
A11,13,A32,A40,1320,A61,A75,4,Female,A101,4,A121,43,A143,A152,2,A173,1,A192,A201
A14,11,A32,A41,1696,A61,A73,2,Male,A101,4,A121,31,A143,A151,1,A173,1,A192,A201
A11,21,A32,A40,3045,A65,A75,4,Male,A103,3,A124,28,A143,A151,1,A173,1,A191,A202
A11,11,A34,A43,476,A65,A74,4,Female,A101,3,A121,55,A143,A152,4,A173,1,A191,A201
A14,12,A34,A42,2678,A61,A74,4,Male,A101,4,A124,30,A143,A152,3,A173,1,A191,A201
A11,25,A32,A40,1079,A65,A74,4,Female,A101,3,A124,55,A143,A152,2,A173,1,A192,A201
A11,7,A32,A40,1029,A64,A74,4,Female,A101,3,A121,49,A143,A152,2,A173,1,A192,A201
A14,31,A34,A43,1926,A61,A75,4,Male,A101,4,A124,54,A143,A152,2,A173,1,A191,A201
A14,14,A34,A43,1262,A61,A74,3,Male,A101,3,A122,49,A143,A152,2,A173,1,A191,A201
A11,25,A32,A40,2569,A61,A75,3,Male,A103,3,A124,36,A143,A151,1,A173,1,A191,A202
A12,25,A32,A49,3781,A63,A73,4,Male,A101,4,A121,37,A142,A152,1,A173,1,A191,A201
A11,6,A34,A40,1658,A61,A75,1,Male,A101,1,A121,71,A143,A152,2,A173,2,A191,A202
A11,11,A34,A40,1504,A61,A73,2,Male,A101,3,A121,66,A143,A152,2,A172,2,A191,A202
A11,23,A34,A42,2289,A61,A75,2,Male,A101,4,A122,23,A143,A151,1,A173,1,A191,A201
A12,26,A32,A41,2803,A65,A75,1,Female,A101,2,A122,26,A143,A152,1,A173,1,A192,A201
A11,11,A34,A41,2693,A61,A74,4,Male,A101,3,A122,37,A143,A152,2,A173,1,A192,A201
A14,9,A34,A41,1175,A61,A73,3,Male,A101,2,A121,36,A143,A151,2,A173,1,A191,A201
A14,14,A32,A40,1389,A61,A72,1,Male,A101,4,A121,38,A143,A152,1,A173,1,A192,A202
A11,23,A32,A40,1645,A65,A75,4,Male,A101,2,A122,34,A141,A152,1,A173,1,A192,A201
A11,41,A34,A43,3429,A65,A75,4,Male,A101,2,A122,38,A143,A152,2,A173,2,A191,A201
A14,25,A34,A43,2154,A61,A75,3,Male,A101,4,A123,33,A143,A152,2,A173,2,A191,A201
A11,9,A32,A40,1244,A61,A75,2,Male,A103,3,A121,36,A141,A152,1,A172,2,A191,A201
A11,50,A34,A41,2704,A61,A75,3,Male,A101,2,A124,35,A143,A152,2,A173,1,A191,A201
A11,26,A34,A41,3335,A61,A75,4,Male,A101,3,A122,56,A143,A152,2,A173,1,A191,A201
A11,14,A34,A43,1789,A61,A75,4,Male,A101,3,A124,50,A143,A152,2,A172,1,A191,A201
A11,15,A34,A42,4157,A61,A75,4,Female,A101,4,A123,23,A143,A151,1,A173,1,A192,A201
A14,11,A34,A42,2458,A65,A74,4,Female,A101,4,A122,26,A143,A151,1,A173,1,A192,A201
A14,11,A34,A45,1388,A61,A75,4,Female,A101,1,A121,22,A143,A151,2,A173,1,A191,A201
A14,16,A32,A41,587,A64,A75,3,Female,A101,4,A122,26,A143,A151,2,A173,1,A192,A201
A11,21,A34,A40,1426,A65,A75,4,Male,A101,3,A122,41,A143,A152,3,A173,1,A191,A201
A11,23,A32,A43,3952,A62,A72,4,Female,A101,3,A122,20,A143,A152,1,A173,1,A192,A201
A14,60,A34,A49,8069,A61,A75,3,Male,A101,4,A124,29,A143,A153,1,A173,1,A192,A201
A11,20,A32,A41,5270,A61,A75,3,Male,A101,4,A124,32,A143,A153,2,A173,1,A191,A201
A11,18,A34,A42,2512,A61,A75,4,Male,A101,4,A121,61,A143,A153,3,A173,1,A192,A201
A11,21,A32,A41,467,A65,A75,4,Female,A101,3,A122,50,A143,A152,2,A173,1,A192,A201
A14,16,A34,A42,3107,A61,A75,4,Male,A101,4,A124,40,A143,A152,3,A173,1,A192,A201
A11,14,A34,A42,3243,A61,A75,4,Male,A101,4,A122,63,A143,A153,2,A173,1,A192,A201
A14,8,A34,A43,1524,A61,A75,3,Male,A101,2,A124,34,A143,A151,2,A173,1,A191,A201
A13,9,A32,A41,600,A65,A75,4,Female,A101,4,A121,58,A143,A152,2,A173,1,A192,A201
A11,38,A34,A42,9915,A61,A73,4,Male,A101,4,A124,27,A143,A153,1,A173,1,A192,A201
A11,13,A32,A41,2362,A61,A75,3,Male,A101,4,A124,45,A143,A153,1,A173,1,A192,A201
A11,14,A34,A41,818,A65,A75,4,Male,A101,3,A124,35,A143,A153,2,A173,1,A192,A201
A11,13,A32,A41,1998,A65,A75,4,Male,A101,4,A124,38,A143,A153,1,A173,1,A192,A201
A12,41,A32,A41,1995,A65,A72,4,Male,A101,4,A124,31,A141,A153,1,A173,2,A191,A201
A11,46,A34,A42,7619,A61,A75,3,Male,A101,4,A124,37,A143,A152,2,A173,1,A192,A201
A11,16,A34,A41,2445,A61,A75,4,Male,A101,4,A122,74,A143,A152,2,A173,1,A192,A201
A11,5,A34,A43,794,A61,A75,3,Male,A101,4,A121,29,A143,A151,2,A173,2,A191,A201
A11,23,A33,A41,3994,A61,A73,4,Male,A101,4,A124,36,A143,A152,2,A173,1,A192,A201
A12,14,A32,A43,1106,A61,A75,4,Male,A101,4,A123,53,A143,A152,2,A173,1,A192,A201
A11,60,A34,A49,8522,A61,A75,2,Male,A101,4,A124,27,A143,A153,1,A173,1,A192,A201
A11,18,A34,A41,2747,A65,A75,4,Male,A101,3,A124,35,A143,A153,2,A173,1,A191,A201
A11,25,A32,A40,1418,A61,A75,4,Male,A101,4,A124,26,A141,A153,1,A173,1,A191,A201
A11,12,A34,A41,3515,A65,A75,4,Male,A101,4,A124,32,A143,A151,3,A173,1,A192,A201
A13,13,A32,A40,294,A61,A75,4,Male,A101,4,A121,43,A143,A151,1,A171,1,A191,A201
