Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,28,A32,A41,8296,A65,A75,4,Male,A101,4,A123,50,A143,A152,1,A174,1,A192,A201
A11,25,A32,A41,1445,A61,A74,4,Female,A101,4,A124,35,A143,A151,3,A173,1,A191,A201
A11,8,A34,A41,390,A61,A75,4,Male,A101,4,A124,51,A143,A152,2,A172,2,A191,A201
A11,38,A31,A41,15764,A61,A75,1,Male,A101,4,A124,40,A141,A153,1,A174,2,A192,A201
A11,27,A32,A42,1702,A61,A73,1,Female,A101,2,A123,24,A143,A152,1,A173,1,A191,A201
A11,16,A32,A43,1902,A61,A73,1,Female,A101,2,A123,25,A141,A152,1,A173,1,A191,A201
A11,22,A32,A41,4865,A61,A75,4,Female,A101,4,A124,60,A143,A151,1,A174,1,A192,A201
A11,24,A32,A41,2722,A61,A75,4,Female,A101,4,A124,50,A143,A153,1,A173,1,A192,A201
A14,8,A32,A40,562,A63,A73,3,Male,A101,3,A124,44,A143,A151,1,A172,2,A191,A202
A14,54,A34,A41,13600,A61,A74,4,Male,A101,3,A123,22,A143,A152,3,A174,2,A192,A201
A11,14,A34,A42,1639,A65,A73,2,Male,A101,2,A123,26,A143,A152,1,A173,1,A191,A201
A14,34,A32,A41,11605,A65,A73,4,Male,A101,2,A123,24,A143,A152,1,A174,1,A192,A201
A11,8,A34,A40,370,A61,A73,2,Male,A101,3,A121,73,A143,A151,3,A173,2,A191,A201
A14,15,A33,A41,15905,A61,A74,3,Male,A101,2,A123,23,A143,A152,3,A174,1,A192,A201
A11,9,A34,A40,899,A65,A75,4,Male,A101,3,A122,46,A143,A153,3,A173,1,A192,A202
A14,9,A32,A41,2708,A65,A75,4,Female,A101,4,A124,74,A143,A153,1,A173,1,A192,A201
A14,40,A32,A43,3087,A65,A73,4,Female,A101,2,A123,26,A143,A152,3,A174,1,A192,A201
A11,13,A32,A43,1594,A61,A73,1,Female,A101,4,A123,33,A141,A152,2,A173,1,A191,A201
A11,55,A32,A41,7296,A61,A75,2,Male,A101,4,A124,51,A143,A153,1,A173,1,A191,A201
A14,35,A34,A43,2072,A65,A75,3,Male,A101,4,A123,51,A143,A152,2,A173,2,A192,A201
