Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,57,A32,A41,12349,A65,A72,4,Male,A101,2,A123,54,A143,A152,1,A174,1,A192,A201
A11,8,A34,A40,1146,A61,A73,3,Male,A101,3,A121,41,A143,A151,2,A173,1,A191,A201
A14,14,A34,A42,1319,A61,A75,4,Male,A101,3,A122,29,A143,A152,2,A173,1,A191,A201
A11,23,A31,A42,7864,A61,A75,2,Male,A101,1,A122,25,A143,A152,1,A173,1,A191,A201
A11,44,A32,A42,5809,A61,A75,3,Male,A101,2,A123,42,A143,A152,2,A173,1,A191,A201
A11,13,A32,A43,843,A61,A72,4,Female,A101,4,A123,24,A143,A151,1,A173,1,A192,A201
A11,14,A33,A41,1294,A61,A73,4,Female,A101,2,A123,29,A143,A151,2,A173,1,A192,A201
A11,28,A32,A41,2825,A61,A75,4,Male,A101,4,A124,37,A143,A153,1,A173,1,A192,A201
A14,13,A32,A41,1384,A61,A73,2,Male,A101,4,A124,48,A143,A151,1,A173,1,A192,A201
A14,22,A34,A41,11796,A61,A75,4,Male,A101,3,A123,36,A143,A152,1,A174,1,A192,A201
A13,5,A34,A40,854,A65,A75,1,Male,A101,4,A124,47,A141,A153,3,A173,2,A191,A202
A14,44,A34,A41,920,A65,A75,4,Male,A101,3,A123,50,A143,A152,2,A174,2,A192,A201
A14,25,A32,A41,6326,A61,A75,4,Male,A101,4,A123,54,A143,A151,1,A174,1,A192,A201
A14,15,A34,A40,2292,A65,A75,4,Female,A101,4,A124,38,A143,A151,2,A173,1,A192,A201
A11,15,A34,A42,2523,A61,A75,4,Male,A101,4,A122,60,A143,A153,2,A173,1,A192,A201
A13,4,A32,A41,469,A65,A75,4,Female,A101,3,A124,51,A143,A153,2,A173,1,A191,A201
A14,5,A34,A41,1021,A65,A75,3,Male,A101,2,A124,40,A143,A151,2,A173,1,A191,A201
A14,19,A34,A41,15901,A61,A74,4,Male,A101,2,A123,26,A143,A152,3,A174,1,A192,A201
A11,22,A34,A41,2115,A61,A75,3,Male,A101,4,A124,69,A143,A152,2,A173,2,A192,A201
A14,23,A32,A41,6109,A65,A72,4,Male,A101,4,A124,39,A143,A151,1,A174,1,A192,A201
A11,21,A32,A40,3288,A65,A75,4,Male,A101,4,A124,37,A143,A151,1,A173,1,A191,A201
A11,20,A32,A41,4229,A61,A75,4,Male,A101,4,A124,69,A143,A153,2,A173,1,A191,A201
A14,33,A32,A41,9596,A61,A75,4,Male,A101,3,A123,38,A143,A152,1,A174,1,A192,A201
A11,12,A32,A40,916,A63,A75,2,Male,A101,4,A122,42,A143,A152,1,A174,1,A192,A201
A14,19,A34,A43,2513,A61,A75,3,Male,A101,2,A124,60,A143,A153,2,A173,1,A191,A201
A14,31,A34,A41,5816,A65,A75,4,Male,A101,2,A123,36,A143,A152,1,A174,1,A192,A201
A11,20,A32,A41,9618,A61,A75,4,Female,A101,4,A124,57,A143,A153,1,A174,1,A192,A201
A14,32,A34,A41,14420,A61,A75,4,Male,A101,2,A123,41,A143,A152,3,A174,1,A192,A201
A14,12,A34,A41,324,A65,A75,2,Male,A101,4,A124,71,A143,A152,4,A174,1,A192,A201
A11,9,A32,A41,1615,A65,A75,4,Male,A101,4,A124,55,A143,A152,1,A174,1,A192,A201
A14,37,A33,A41,11630,A61,A75,4,Male,A101,2,A123,44,A143,A152,1,A174,1,A192,A201
A11,39,A32,A41,1709,A62,A75,4,Male,A101,4,A124,36,A141,A153,3,A173,2,A191,A201
A11,44,A34,A41,6490,A61,A75,3,Male,A101,4,A124,41,A143,A153,2,A173,2,A191,A201
A11,23,A32,A41,6179,A61,A75,4,Female,A101,4,A124,73,A143,A153,1,A174,1,A192,A201
A14,23,A34,A40,3281,A65,A75,4,Male,A101,4,A124,73,A143,A153,2,A174,1,A192,A201
A11,11,A32,A42,1055,A61,A73,4,Male,A101,3,A121,23,A143,A152,1,A173,1,A191,A201
A11,24,A32,A43,1095,A63,A73,4,Female,A101,2,A123,37,A141,A152,1,A173,1,A191,A201
A14,14,A32,A42,1167,A61,A73,2,Male,A101,2,A123,31,A143,A152,1,A173,1,A191,A201
A11,12,A32,A42,1161,A61,A73,4,Male,A101,2,A121,29,A143,A152,1,A173,1,A191,A201
A14,10,A30,A41,716,A61,A73,4,Male,A101,2,A123,35,A141,A152,2,A173,1,A191,A201
